Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Ферзиковская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696					
1	"Число избирателей, внесенных в список"	11828	586	313	293	603	542	682	299	421	378	439	625	288	710	346	754	1018	2448	1083					
2	Число полученных избирательных бюллетеней	11000	550	290	260	550	500	610	260	380	350	390	610	260	670	320	700	900	2300	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6118	304	179	164	310	281	245	105	185	237	239	193	170	339	137	367	577	1390	696					
5	"Число избирательных бюллетеней, выданных вне помещения"	2021	98	39	72	109	76	177	118	77	60	64	258	54	141	123	191	178	119	67					
6	Число погашенных избирательных бюллетеней	2861	148	72	24	131	143	188	37	118	53	87	159	36	190	60	142	145	791	337					
7	Число избирательных бюллетеней в переносных ящиках	2021	98	39	72	109	76	177	118	77	60	64	258	54	141	123	191	178	119	67					
8	Число бюллетеней в стационарных ящиках для голосования	6118	304	179	164	310	281	245	105	185	237	239	193	170	339	137	367	577	1390	696					
9	Число недействительных избирательных бюллетеней	74	2	2	0	3	11	2	1	2	1	4	2	2	10	1	2	5	18	6					
10	Число действительных избирательных бюллетеней	8065	400	216	236	416	346	420	222	260	296	299	449	222	470	259	556	750	1491	757					
11	Число полученных открепительных  удостоверений	193	7	5	5	7	5	5	5	7	5	5	7	5	60	7	10	10	28	10					
12	Число выданных открепительных удостоверений	76	1	5	2	7	1	2	3	1	1	3	3	1	17	1	4	1	20	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	81	6	0	6	1	7	6	3	2	6	1	12	3	3	4	1	4	13	3					
14	Число неиспользованных открепительных удостоверений	117	6	0	3	0	4	3	2	6	4	2	4	4	43	6	6	9	8	7					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	2	0	0	0	0	0	1	0	2	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	247	5	14	8	9	7	13	2	6	5	2	14	7	10	10	13	24	69	29					
		3.03%	1.24%	6.42%	3.39%	2.15%	1.96%	3.08%	0.90%	2.29%	1.68%	0.66%	3.10%	3.12%	2.08%	3.85%	2.33%	3.18%	4.57%	3.80%					
19	. Малышкин Олег Александрович	160	9	5	5	8	12	8	4	3	2	6	10	1	18	3	6	9	33	18					
		1.97%	2.24%	2.29%	2.12%	1.91%	3.36%	1.90%	1.79%	1.15%	0.67%	1.98%	2.22%	0.45%	3.75%	1.15%	1.08%	1.19%	2.19%	2.36%					
20	. Миронов Сергей Михайлович	41	0	1	1	1	2	2	2	0	0	1	2	1	3	3	6	3	13	0					
		0.50%	0.00%	0.46%	0.42%	0.24%	0.56%	0.47%	0.90%	0.00%	0.00%	0.33%	0.44%	0.45%	0.62%	1.15%	1.08%	0.40%	0.86%	0.00%					
21	. Путин Владимир Владимирович	6328	346	140	189	337	285	315	158	199	267	237	377	187	364	198	475	597	1062	595					
		77.75%	86.07%	64.22%	80.08%	80.43%	79.83%	74.64%	70.85%	75.95%	89.90%	78.22%	83.59%	83.48%	75.83%	76.15%	85.13%	79.07%	70.38%	77.98%					
22	. Хакамада Ирина Муцуовна	131	9	7	2	4	3	3	2	3	5	6	6	7	5	7	7	12	28	15					
		1.61%	2.24%	3.21%	0.85%	0.95%	0.84%	0.71%	0.90%	1.15%	1.68%	1.98%	1.33%	3.12%	1.04%	2.69%	1.25%	1.59%	1.86%	1.97%					
23	. Харитонов Николай Михайлович	978	29	42	26	47	29	73	53	44	12	36	31	18	61	32	41	87	246	71					
		12.02%	7.21%	19.27%	11.02%	11.22%	8.12%	17.30%	23.77%	16.79%	4.04%	11.88%	6.87%	8.04%	12.71%	12.31%	7.35%	11.52%	16.30%	9.31%					
																									
24	Против всех	180	2	7	5	10	8	6	1	5	5	11	9	1	9	6	8	18	40	29					
		2.21%	0.50%	3.21%	2.12%	2.39%	2.24%	1.42%	0.45%	1.91%	1.68%	3.63%	2.00%	0.45%	1.88%	2.31%	1.43%	2.38%	2.65%	3.80%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
