Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Гурьевская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180					
1	"Число избирателей, внесенных в список"	8159	915	1021	184	713	109	926	222	741	382	226	133	352	258	134	794	127	447	74	179	117	105					
2	Число полученных избирательных бюллетеней	8085	920	1020	183	710	107	863	217	750	384	224	132	350	257	134	780	126	455	90	164	114	105					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6143	717	631	148	511	93	647	164	597	265	198	128	342	225	107	565	109	267	67	159	105	98					
5	"Число избирательных бюллетеней, выданных вне помещения"	793	40	146	14	92	9	106	26	47	68	13	0	4	17	14	75	13	91	4	5	7	2					
6	Число погашенных избирательных бюллетеней	1149	163	243	21	107	5	110	27	106	51	13	4	4	15	13	140	4	97	19	0	2	5					
7	Число избирательных бюллетеней в переносных ящиках	793	40	146	14	92	9	106	26	47	68	13	0	4	17	14	75	13	91	4	5	7	2					
8	Число бюллетеней в стационарных ящиках для голосования	6143	717	631	148	511	93	647	164	597	265	198	128	342	225	107	565	109	267	67	159	105	98					
9	Число недействительных избирательных бюллетеней	69	6	6	1	9	0	3	6	2	12	2	0	0	5	3	5	1	4	0	4	0	0					
10	Число действительных избирательных бюллетеней	6867	751	771	161	594	102	750	184	642	321	209	128	346	237	118	635	121	354	71	160	112	100					
11	Число полученных открепительных  удостоверений	200	15	15	8	15	8	10	8	15	5	8	8	10	8	8	10	8	10	7	8	8	8					
12	Число выданных открепительных удостоверений	34	5	3	0	4	0	2	1	11	1	0	0	0	2	0	1	0	0	2	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	2	5	1	7	1	21	0	2	2	2	1	4	1	1	4	0	2	1	1	3	5					
14	Число неиспользованных открепительных удостоверений	166	10	12	8	11	8	8	7	4	4	8	8	10	6	8	9	8	10	5	6	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	134	16	23	6	13	0	10	2	21	4	2	2	2	4	0	11	2	5	6	1	4	0					
		1.93%	2.11%	2.96%	3.70%	2.16%	0.00%	1.33%	1.05%	3.26%	1.20%	0.95%	1.56%	0.58%	1.65%	0.00%	1.72%	1.64%	1.40%	8.45%	0.61%	3.57%	0.00%					
19	. Малышкин Олег Александрович	200	36	28	4	15	0	22	2	2	14	10	2	14	5	6	16	1	8	6	1	7	1					
		2.88%	4.76%	3.60%	2.47%	2.49%	0.00%	2.92%	1.05%	0.31%	4.20%	4.74%	1.56%	4.05%	2.07%	4.96%	2.50%	0.82%	2.23%	8.45%	0.61%	6.25%	1.00%					
20	. Миронов Сергей Михайлович	44	3	11	0	5	0	6	0	1	2	2	0	0	0	2	7	1	1	1	1	0	1					
		0.63%	0.40%	1.42%	0.00%	0.83%	0.00%	0.80%	0.00%	0.16%	0.60%	0.95%	0.00%	0.00%	0.00%	1.65%	1.09%	0.82%	0.28%	1.41%	0.61%	0.00%	1.00%					
21	. Путин Владимир Владимирович	5421	585	564	128	424	81	652	171	530	274	173	110	282	187	83	482	107	255	47	131	70	85					
		78.16%	77.28%	72.59%	79.01%	70.32%	79.41%	86.59%	90.00%	82.30%	82.28%	81.99%	85.94%	81.50%	77.27%	68.60%	75.31%	87.70%	71.23%	66.20%	79.88%	62.50%	85.00%					
22	. Хакамада Ирина Муцуовна	120	10	15	5	11	3	12	1	7	1	3	2	10	10	8	10	1	5	0	1	1	4					
		1.73%	1.32%	1.93%	3.09%	1.82%	2.94%	1.59%	0.53%	1.09%	0.30%	1.42%	1.56%	2.89%	4.13%	6.61%	1.56%	0.82%	1.40%	0.00%	0.61%	0.89%	4.00%					
23	. Харитонов Николай Михайлович	798	83	100	14	108	18	35	6	80	23	16	11	36	25	15	96	9	60	11	19	27	6					
		11.51%	10.96%	12.87%	8.64%	17.91%	17.65%	4.65%	3.16%	12.42%	6.91%	7.58%	8.59%	10.40%	10.33%	12.40%	15.00%	7.38%	16.76%	15.49%	11.59%	24.11%	6.00%					
																												
24	Против всех	150	18	30	4	18	0	13	2	1	3	3	1	2	6	4	13	0	20	0	6	3	3					
		2.16%	2.38%	3.86%	2.47%	2.99%	0.00%	1.73%	1.05%	0.16%	0.90%	1.42%	0.78%	0.58%	2.48%	3.31%	2.03%	0.00%	5.59%	0.00%	3.66%	2.68%	3.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
