Выборы Президента Российской Федерации																																																																						
Дата голосования: 04.03.2012																																																																						
																																																																						
Наименование Избирательной комиссии:    Кемерово, Заводская																																																																						
																																																																						
Сводная таблица итогов голосования																																																																						
																																																																						
	Число участковых избирательных комиссий	59																																																																				
	Число участковых избирательных комиссий, приступивших к передаче сведений	59																																																																				
																																																																						
		Сумма	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №1718									
1	Число избирателей, включенных в список избирателей	108966	517	2237	2152	1617	2402	2006	1927	2030	492	1715	1363	1045	1839	1947	1093	2181	1663	1741	1574	1915	2298	1022	2253	852	2479	1857	1391	2592	1749	1610	2153	2339	1757	2556	748	2378	2280	2318	2484	2790	2305	2800	2393	1770	2654	2626	2215	1930	1726	88	563	1563	2650	1908	1913	1210	1839	1446	2005									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	95634	541	1800	1800	1500	2000	1800	1700	1800	400	1500	1000	800	1500	1600	900	2000	1500	1500	1500	1700	2100	1000	1800	700	2100	1450	1200	2200	1500	1400	1800	2000	1500	2000	600	2100	2100	2100	2300	2500	2100	2500	2100	1600	2500	2300	1800	1600	1500	100	643	1500	2200	1700	1800	1200	1750	1450	2000									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	73200	508	1314	1386	998	1756	1455	1304	1121	308	1079	909	585	1092	1553	788	1405	1117	957	1020	986	1378	555	1417	465	1317	1168	883	1351	1130	1032	1434	1563	986	1722	551	1615	1681	1680	1829	1890	1239	2443	1762	1358	1830	1722	1444	1363	1138	70	563	1110	1573	1493	1451	919	1532	1073	1829									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	6047	0	94	67	48	23	9	45	137	10	61	25	45	56	47	30	155	78	190	154	214	126	280	67	92	186	280	77	246	63	58	82	85	71	97	8	96	3	120	145	155	167	24	63	39	79	59	95	26	26	18	0	259	228	183	318	214	215	194	15									
6	Число погашенных избирательных бюллетеней	16387	33	392	347	454	221	336	351	542	82	360	66	170	352	0	82	440	305	353	326	500	596	165	316	143	597	2	240	603	307	310	284	352	443	181	41	389	416	300	326	455	694	33	275	203	591	519	261	211	336	12	80	131	399	24	31	67	3	183	156									
