Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Ленинск-Кузнецкая																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК  1277	УИК  1278	УИК  1279	УИК  1280	УИК  1281	УИК  1282	УИК  1283	УИК  1284	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  1301	УИК  1302	УИК  1303	УИК  1304	УИК  1305	УИК  1306	УИК  1307	УИК  1308	УИК  1309	УИК  1310	УИК  1311	УИК  1312	УИК  1313	УИК  1314	УИК  1315	УИК  1316	УИК  1317	УИК  1318					
1	"Число избирателей, внесенных в список"	18686	529	177	200	609	267	239	995	395	363	246	848	312	146	1003	307	292	554	504	157	1090	1135	497	196	494	121	173	587	1046	665	185	244	253	548	122	89	560	251	142	903	103	933	206					
2	Число полученных избирательных бюллетеней	19000	550	183	205	645	295	260	1000	390	370	265	850	330	150	1000	315	305	552	510	160	1100	1110	500	200	500	125	175	600	1050	680	190	255	260	535	125	95	590	260	145	885	105	970	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15672	399	124	164	570	245	220	812	340	318	223	688	238	114	886	270	244	508	468	151	845	910	396	183	460	109	163	437	781	569	174	204	223	525	121	88	390	180	109	762	103	766	192					
5	"Число избирательных бюллетеней, выданных вне помещения"	1933	105	53	36	36	22	17	16	37	20	11	138	56	29	30	33	38	44	36	0	77	103	67	13	9	12	10	128	172	54	4	18	26	10	0	0	117	63	33	115	0	132	13					
6	Число погашенных избирательных бюллетеней	1395	46	6	5	39	28	23	172	13	32	31	24	36	7	84	12	23	0	6	9	178	97	37	4	31	4	2	35	97	57	12	33	11	0	4	7	83	17	3	8	2	72	5					
7	Число избирательных бюллетеней в переносных ящиках	1933	105	53	36	36	22	17	16	37	20	11	138	56	29	30	33	38	44	36	0	77	103	67	13	9	12	10	128	172	54	4	18	26	10	0	0	117	63	33	115	0	132	13					
8	Число бюллетеней в стационарных ящиках для голосования	15672	399	124	164	570	245	220	812	340	318	223	688	238	114	886	270	244	508	468	151	845	910	396	183	460	109	163	437	781	569	174	204	223	525	121	88	390	180	109	762	103	766	192					
9	Число недействительных избирательных бюллетеней	139	5	0	3	0	0	7	15	3	0	0	0	1	0	7	1	0	0	5	1	7	4	13	4	14	0	2	5	10	1	0	4	2	10	4	0	1	2	1	3	0	3	1					
10	Число действительных избирательных бюллетеней	17466	499	177	197	606	267	230	813	374	338	234	826	293	143	909	302	282	552	499	150	915	1009	450	192	455	121	171	560	943	622	178	218	247	525	117	88	506	241	141	874	103	895	204					
11	Число полученных открепительных  удостоверений	467	19	8	8	24	19	18	9	8	9	8	9	8	8	19	13	8	9	8	8	9	19	13	8	8	8	8	19	9	9	8	8	8	9	8	8	24	14	8	13	8	13	8					
12	Число выданных открепительных удостоверений	281	19	8	4	24	19	18	9	1	1	0	2	3	0	11	8	8	9	3	0	5	10	10	3	1	1	0	14	3	7	4	6	2	3	0	0	24	10	8	13	0	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	171	7	8	1	2	4	3	4	2	1	2	3	3	1	12	5	4	9	3	1	8	7	3	2	3	3	2	6	8	4	2	4	2	6	0	0	7	7	6	11	2	2	1					
14	Число неиспользованных открепительных удостоверений	186	0	0	4	0	0	0	0	7	8	8	7	5	8	8	5	0	0	5	8	4	9	3	5	7	7	8	5	6	2	4	2	6	6	8	8	0	4	0	0	8	3	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	322	10	6	0	9	5	2	28	10	5	2	3	12	1	13	5	4	11	2	2	20	21	7	5	2	1	4	24	20	32	4	6	4	6	0	0	12	4	5	6	1	5	3					
		1.83%	1.98%	3.39%	0.00%	1.49%	1.87%	0.84%	3.38%	2.65%	1.48%	0.85%	0.36%	4.08%	0.70%	1.42%	1.65%	1.42%	1.99%	0.40%	1.32%	2.17%	2.07%	1.51%	2.55%	0.43%	0.83%	2.31%	4.25%	2.10%	5.14%	2.25%	2.70%	1.61%	1.12%	0.00%	0.00%	2.37%	1.65%	3.52%	0.68%	0.97%	0.56%	1.46%					
19	. Малышкин Олег Александрович	531	15	3	11	11	8	4	27	7	16	14	11	13	2	30	12	7	17	11	2	38	37	4	4	21	6	17	9	47	26	4	11	5	4	0	0	16	14	14	10	1	15	7					
		3.02%	2.98%	1.69%	5.50%	1.82%	3.00%	1.69%	3.26%	1.86%	4.73%	5.98%	1.33%	4.42%	1.40%	3.28%	3.96%	2.48%	3.08%	2.18%	1.32%	4.12%	3.65%	0.86%	2.04%	4.48%	4.96%	9.83%	1.59%	4.93%	4.17%	2.25%	4.95%	2.01%	0.75%	0.00%	0.00%	3.16%	5.76%	9.86%	1.14%	0.97%	1.67%	3.41%					
20	. Миронов Сергей Михайлович	108	4	0	0	4	1	0	7	1	2	1	10	6	1	10	0	2	1	1	0	5	8	1	2	1	2	1	3	15	1	0	1	0	0	0	1	2	1	2	5	0	1	5					
		0.61%	0.79%	0.00%	0.00%	0.66%	0.37%	0.00%	0.85%	0.27%	0.59%	0.43%	1.21%	2.04%	0.70%	1.09%	0.00%	0.71%	0.18%	0.20%	0.00%	0.54%	0.79%	0.22%	1.02%	0.21%	1.65%	0.58%	0.53%	1.57%	0.16%	0.00%	0.45%	0.00%	0.00%	0.00%	1.14%	0.39%	0.41%	1.41%	0.57%	0.00%	0.11%	2.44%					
21	. Путин Владимир Владимирович	13656	329	135	138	491	182	203	680	312	270	190	681	192	107	641	234	213	445	433	138	697	743	367	165	380	105	128	442	687	422	111	150	186	426	77	71	388	166	97	786	99	776	173					
		77.57%	65.28%	76.27%	69.00%	81.02%	68.16%	85.65%	82.13%	82.76%	79.88%	81.20%	82.45%	65.31%	74.83%	69.98%	77.23%	75.53%	80.62%	85.91%	91.39%	75.60%	73.35%	79.27%	84.18%	81.02%	86.78%	73.99%	78.23%	72.09%	67.74%	62.36%	67.57%	74.70%	79.63%	63.64%	80.68%	76.53%	68.31%	68.31%	89.62%	96.12%	86.41%	84.39%					
22	. Хакамада Ирина Муцуовна	294	7	1	2	13	4	2	8	9	6	1	10	10	0	6	2	11	4	4	2	14	27	5	1	9	0	3	7	28	22	3	11	0	12	0	1	18	9	1	5	0	13	3					
		1.67%	1.39%	0.56%	1.00%	2.15%	1.50%	0.84%	0.97%	2.39%	1.78%	0.43%	1.21%	3.40%	0.00%	0.66%	0.66%	3.90%	0.72%	0.79%	1.32%	1.52%	2.67%	1.08%	0.51%	1.92%	0.00%	1.73%	1.24%	2.94%	3.53%	1.69%	4.95%	0.00%	2.24%	0.00%	1.14%	3.55%	3.70%	0.70%	0.57%	0.00%	1.45%	1.46%					
23	. Харитонов Николай Михайлович	2231	123	31	42	69	56	15	46	28	26	24	107	41	30	187	46	42	67	45	5	127	144	53	10	37	6	14	62	118	111	53	35	46	64	40	13	62	42	18	53	2	80	11					
		12.67%	24.40%	17.51%	21.00%	11.39%	20.97%	6.33%	5.56%	7.43%	7.69%	10.26%	12.95%	13.95%	20.98%	20.41%	15.18%	14.89%	12.14%	8.93%	3.31%	13.77%	14.22%	11.45%	5.10%	7.89%	4.96%	8.09%	10.97%	12.38%	17.82%	29.78%	15.77%	18.47%	11.96%	33.06%	14.77%	12.23%	17.28%	12.68%	6.04%	1.94%	8.91%	5.37%					
																																																	
24	Против всех	324	11	1	4	9	11	4	17	7	13	2	4	19	2	22	3	3	7	3	1	14	29	13	5	5	1	4	13	28	8	3	4	6	13	0	2	8	5	4	9	0	5	2					
		1.84%	2.18%	0.56%	2.00%	1.49%	4.12%	1.69%	2.05%	1.86%	3.85%	0.85%	0.48%	6.46%	1.40%	2.40%	0.99%	1.06%	1.27%	0.60%	0.66%	1.52%	2.86%	2.81%	2.55%	1.07%	0.83%	2.31%	2.30%	2.94%	1.28%	1.69%	1.80%	2.41%	2.43%	0.00%	2.27%	1.58%	2.06%	2.82%	1.03%	0.00%	0.56%	0.98%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
