Выборы Президента Российской Федерации																																												
																																												
"Наименование Избирательной комиссии:    Новокузнецк, Куйбышевская"																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736					
1	"Число избирателей, внесенных в список"	62539	1374	1124	1003	2289	2185	2220	1605	2015	1467	701	677	571	1619	1600	1636	2366	2102	1149	1359	2530	1090	1889	2329	1879	2913	1653	1692	2062	1928	1988	1986	1993	2813	514	575	2455	1188					
2	Число полученных избирательных бюллетеней	59650	1400	1100	1100	2200	2100	2000	1500	2000	1300	700	700	600	1500	1500	1700	2200	2100	1000	1500	2500	1100	2000	2100	1800	2700	1500	1500	2000	1700	2000	1700	1800	2500	650	500	2200	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31447	605	651	390	1584	1198	1049	694	876	890	431	448	163	897	876	838	1129	1155	634	699	1336	448	606	1209	869	1063	584	483	1271	1024	1030	982	1017	1640	134	326	1651	567					
5	"Число избирательных бюллетеней, выданных вне помещения"	2796	207	0	147	22	27	287	56	125	128	58	31	123	41	37	18	61	27	43	16	37	97	193	49	75	88	46	113	22	44	23	61	51	10	140	17	125	151					
6	Число погашенных избирательных бюллетеней	25407	588	449	563	594	875	664	750	999	282	211	221	314	562	587	844	1010	918	323	785	1127	555	1201	842	856	1549	870	904	707	632	947	657	732	850	376	157	424	482					
7	Число избирательных бюллетеней в переносных ящиках	2796	207	0	147	22	27	287	56	125	128	58	31	123	41	37	18	61	27	43	16	37	97	193	49	75	88	46	113	22	44	23	61	51	10	140	17	125	151					
8	Число бюллетеней в стационарных ящиках для голосования	31438	605	650	390	1584	1198	1049	694	876	890	431	448	163	897	873	838	1129	1155	634	699	1336	448	606	1209	869	1063	584	483	1271	1024	1030	982	1017	1635	134	326	1651	567					
9	Число недействительных избирательных бюллетеней	442	2	5	5	1	9	9	7	16	6	2	5	0	16	6	7	7	18	3	3	18	4	201	0	9	11	11	5	4	8	7	7	9	5	2	0	8	6					
10	Число действительных избирательных бюллетеней	33792	810	645	532	1605	1216	1327	743	985	1012	487	474	286	922	904	849	1183	1164	674	712	1355	541	598	1258	935	1140	619	591	1289	1060	1046	1036	1059	1640	272	343	1768	712					
11	Число полученных открепительных  удостоверений	598	15	15	15	15	15	15	15	15	15	15	15	15	15	15	27	15	15	15	30	21	15	15	15	15	15	15	15	15	15	25	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	299	5	1	2	12	7	9	4	5	5	2	0	0	8	7	26	15	15	7	30	20	3	4	0	1	3	4	4	15	14	24	8	15	15	1	0	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	201	1	4	3	9	6	1	8	11	3	1	2	0	4	10	4	6	7	15	5	7	9	3	0	9	2	11	4	9	2	11	10	4	7	4	3	5	1					
14	Число неиспользованных открепительных удостоверений	299	10	14	13	3	8	6	11	10	10	13	15	15	7	8	1	0	0	8	0	1	12	11	15	14	12	11	11	0	1	1	7	0	0	14	15	8	14					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	1990	28	29	8	92	87	84	46	46	39	23	23	16	56	65	71	93	84	24	48	86	14	35	58	27	63	31	34	112	55	110	78	81	103	20	15	78	28					
		5.81%	3.45%	4.46%	1.49%	5.73%	7.10%	6.29%	6.13%	4.60%	3.83%	4.70%	4.80%	5.59%	5.97%	7.14%	8.29%	7.82%	7.11%	3.55%	6.71%	6.26%	2.57%	4.38%	4.61%	2.86%	5.47%	4.92%	5.70%	8.66%	5.15%	10.45%	7.48%	7.58%	6.26%	7.30%	4.37%	4.39%	3.90%					
19	. Малышкин Олег Александрович	1400	36	17	18	144	41	34	39	51	42	22	18	9	36	24	28	45	60	34	23	52	17	25	80	25	47	28	26	48	24	24	31	36	58	15	20	83	40					
		4.09%	4.43%	2.62%	3.35%	8.97%	3.35%	2.54%	5.20%	5.09%	4.13%	4.50%	3.76%	3.15%	3.84%	2.64%	3.27%	3.78%	5.08%	5.02%	3.22%	3.79%	3.12%	3.13%	6.36%	2.65%	4.08%	4.44%	4.36%	3.71%	2.25%	2.28%	2.97%	3.37%	3.53%	5.47%	5.83%	4.67%	5.57%					
20	. Миронов Сергей Михайлович	456	7	3	3	21	18	19	10	21	12	6	8	3	10	9	10	9	17	7	11	17	5	11	27	16	11	14	5	14	30	13	24	29	24	0	2	3	7					
		1.33%	0.86%	0.46%	0.56%	1.31%	1.47%	1.42%	1.33%	2.10%	1.18%	1.23%	1.67%	1.05%	1.07%	0.99%	1.17%	0.76%	1.44%	1.03%	1.54%	1.24%	0.92%	1.38%	2.15%	1.69%	0.96%	2.22%	0.84%	1.08%	2.81%	1.23%	2.30%	2.72%	1.46%	0.00%	0.58%	0.17%	0.97%					
21	. Путин Владимир Владимирович	22686	635	478	397	849	752	850	499	687	773	365	349	216	622	590	547	751	762	427	494	893	397	399	887	677	766	410	430	780	712	675	663	624	1046	176	259	1326	523					
		66.27%	78.20%	73.54%	73.93%	52.86%	61.39%	63.62%	66.53%	68.63%	75.93%	74.64%	72.86%	75.52%	66.31%	64.84%	63.90%	63.11%	64.47%	63.07%	69.09%	65.04%	72.84%	49.94%	70.51%	71.72%	66.55%	65.08%	72.15%	60.32%	66.67%	64.10%	63.57%	58.43%	63.59%	64.23%	75.51%	74.66%	72.84%					
22	. Хакамада Ирина Муцуовна	1838	19	26	24	70	70	82	35	53	30	7	15	10	53	57	55	90	72	53	31	90	27	33	54	49	59	33	30	96	77	57	58	72	135	17	11	62	26					
		5.37%	2.34%	4.00%	4.47%	4.36%	5.71%	6.14%	4.67%	5.29%	2.95%	1.43%	3.13%	3.50%	5.65%	6.26%	6.43%	7.56%	6.09%	7.83%	4.34%	6.55%	4.95%	4.13%	4.29%	5.19%	5.13%	5.24%	5.03%	7.42%	7.21%	5.41%	5.56%	6.74%	8.21%	6.20%	3.21%	3.49%	3.62%					
23	. Харитонов Николай Михайлович	3529	61	60	38	172	172	174	80	102	88	44	41	22	95	110	89	138	115	79	67	134	49	72	103	118	149	82	54	160	103	95	111	161	148	33	21	132	57					
		10.31%	7.51%	9.23%	7.08%	10.71%	14.04%	13.02%	10.67%	10.19%	8.64%	9.00%	8.56%	7.69%	10.13%	12.09%	10.40%	11.60%	9.73%	11.67%	9.37%	9.76%	8.99%	9.01%	8.19%	12.50%	12.95%	13.02%	9.06%	12.37%	9.64%	9.02%	10.64%	15.07%	9.00%	12.04%	6.12%	7.43%	7.94%					
																																												
24	Против всех	1893	24	32	44	257	76	84	34	25	28	20	20	10	50	49	49	57	54	50	38	83	32	23	49	23	45	21	12	79	59	72	71	56	126	11	15	84	31					
		5.53%	2.96%	4.92%	8.19%	16.00%	6.20%	6.29%	4.53%	2.50%	2.75%	4.09%	4.18%	3.50%	5.33%	5.38%	5.72%	4.79%	4.57%	7.39%	5.31%	6.05%	5.87%	2.88%	3.90%	2.44%	3.91%	3.33%	2.01%	6.11%	5.52%	6.84%	6.81%	5.24%	7.66%	4.01%	4.37%	4.73%	4.32%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
