Выборы Президента Российской Федерации																																											
Дата голосования: 04.03.2012																																											
																																											
Наименование Избирательной комиссии:    Новокузнецк, Орджоникидзевская																																											
																																											
Сводная таблица итогов голосования																																											
																																											
	Число участковых избирательных комиссий	32																																									
	Число участковых избирательных комиссий, приступивших к передаче сведений	32																																									
																																											
		Сумма	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №781									
1	Число избирателей, включенных в список избирателей	61617	660	1585	711	1511	1848	2330	2791	1539	1433	1840	2377	1959	2467	2362	1715	1920	2118	1405	2566	2660	709	1862	816	2614	2101	2660	2374	2420	2593	2567	2083	1021									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	55100	500	1400	600	1400	1700	2100	2500	1400	1300	1700	2100	1800	2200	2100	1500	1700	1900	1300	2300	2300	600	1700	700	2300	1900	2300	2100	2200	2300	2300	1900	1000									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	45830	320	1193	470	1090	1275	1865	2116	1119	1081	1347	1787	1414	1900	1897	1296	989	1825	1056	1899	1997	513	1295	462	1892	1422	1921	1844	2126	1951	2085	1725	658									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3085	150	53	35	56	58	42	86	66	22	110	63	95	58	165	58	343	50	89	259	57	70	368	205	60	19	55	50	31	126	19	30	137									
6	Число погашенных избирательных бюллетеней	6185	30	154	95	254	367	193	298	215	197	243	250	291	242	38	146	368	25	155	142	246	17	37	33	348	459	324	206	43	223	196	145	205									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3085	150	53	35	56	58	42	86	66	22	110	63	95	58	165	58	343	50	89	259	57	70	368	205	60	19	55	50	31	126	19	30	137									
8	Число бюллетеней в стационарных ящиках для голосования	45718	320	1193	470	1090	1274	1865	2116	1119	1081	1347	1787	1414	1900	1897	1296	989	1825	1056	1797	1997	513	1293	462	1889	1422	1921	1844	2126	1947	2085	1725	658									
9	Число недействительных избирательных бюллетеней	365	2	6	6	7	3	21	9	8	8	14	23	7	20	0	5	10	22	8	50	20	3	0	6	24	0	10	13	4	22	15	12	7									
10	Число действительных избирательных бюллетеней	48438	468	1240	499	1139	1329	1886	2193	1177	1095	1443	1827	1502	1938	2062	1349	1322	1853	1137	2006	2034	580	1661	661	1925	1441	1966	1881	2153	2051	2089	1743	788									
11	Число полученных открепительных  удостоверений	1900	20	50	20	45	55	75	80	50	45	55	75	60	75	75	55	60	65	45	80	80	20	55	25	80	65	80	75	75	80	80	65	35									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1900	20	50	20	45	55	75	80	50	45	55	75	60	75	75	55	60	65	45	80	80	20	55	25	80	65	80	75	75	80	80	65	35									
13	Число избирателей, проголосовавших по открепительным удостоверениям	315	6	9	5	6	13	7	3	6	6	13	6	7	12	9	8	7	14	10	27	10	2	9	9	13	12	8	14	11	22	15	7	9									
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	100	5	1	1	0	1	6	3	2	0	1	2	0	4	1	0	5	1	1	1	0	0	1	14	1	1	2	3	1	0	0	1	41									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	Жириновский Владимир Вольфович	5373	57	128	58	105	181	207	248	142	82	173	201	180	234	201	163	138	218	86	232	246	73	215	85	201	166	153	173	237	259	229	209	93									
		11.01%	12.13%	10.27%	11.49%	9.16%	13.59%	10.85%	11.26%	11.98%	7.43%	11.87%	10.86%	11.93%	11.95%	9.75%	12.04%	10.36%	11.63%	7.51%	11.28%	11.98%	12.52%	12.94%	12.74%	10.31%	11.52%	7.74%	9.13%	10.99%	12.49%	10.88%	11.91%	11.70%									
20	Зюганов Геннадий Андреевич	2188	22	35	35	83	89	11	52	44	66	81	55	50	87	31	62	106	121	56	96	67	16	111	20	101	38	115	133	99	108	61	104	33									
		4.48%	4.68%	2.81%	6.93%	7.24%	6.68%	0.58%	2.36%	3.71%	5.98%	5.56%	2.97%	3.31%	4.44%	1.50%	4.58%	7.96%	6.45%	4.89%	4.67%	3.26%	2.74%	6.68%	2.99%	5.18%	2.64%	5.82%	7.02%	4.59%	5.21%	2.90%	5.93%	4.15%									
21	Миронов Сергей Михайлович	924	18	9	6	14	20	45	28	24	33	19	72	35	37	34	27	24	38	31	60	32	7	47	7	58	19	42	47	10	21	11	30	19									
		1.89%	3.83%	0.72%	1.19%	1.22%	1.50%	2.36%	1.27%	2.03%	2.99%	1.30%	3.89%	2.32%	1.89%	1.65%	1.99%	1.80%	2.03%	2.71%	2.92%	1.56%	1.20%	2.83%	1.05%	2.98%	1.32%	2.13%	2.48%	0.46%	1.01%	0.52%	1.71%	2.39%									
22	Прохоров Михаил Дмитриевич	1530	8	49	16	28	17	76	81	19	60	36	74	55	52	36	13	61	12	40	73	46	5	56	24	161	50	84	77	38	105	34	23	21									
		3.14%	1.70%	3.93%	3.17%	2.44%	1.28%	3.99%	3.68%	1.60%	5.44%	2.47%	4.00%	3.64%	2.66%	1.75%	0.96%	4.58%	0.64%	3.49%	3.55%	2.24%	0.86%	3.37%	3.60%	8.26%	3.47%	4.25%	4.07%	1.76%	5.07%	1.62%	1.31%	2.64%									
23	Путин Владимир Владимирович	38423	363	1019	384	909	1022	1547	1784	948	854	1134	1425	1182	1528	1760	1084	993	1464	924	1545	1643	479	1232	525	1404	1168	1572	1451	1769	1558	1754	1377	622									
		78.73%	77.23%	81.78%	76.04%	79.32%	76.73%	81.12%	81.02%	80.00%	77.43%	77.83%	77.03%	78.33%	78.04%	85.35%	80.06%	74.55%	78.08%	80.70%	75.15%	79.99%	82.16%	74.17%	78.71%	72.04%	81.05%	79.55%	76.61%	82.01%	75.16%	83.37%	78.46%	78.24%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
