Выборы Президента Российской Федерации																																												
Дата голосования: 02.03.2008																																												
																																												
"Наименование Избирательной комиссии:    Прокопьевск, Центральная"																																												
																																												
Сводная таблица результатов выборов																																												
																																												
	Число участковых избирательных комиссий	37																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	37																																										
																																												
		Сумма	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867					
1	"Число избирателей, включенных в списки избирателей"	56082	1594	1919	140	250	2258	1855	2268	2207	622	1275	382	1833	2338	2087	557	1048	2006	290	1330	2311	1871	890	1087	2293	1836	125	2154	2318	2090	902	1690	777	2654	1310	1726	1827	1962					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	53320	1480	1800	140	250	2150	1700	2150	2150	550	1500	500	1700	2250	1900	600	920	1900	300	1250	2100	1750	900	1000	2100	1900	150	2000	2250	1900	800	1550	800	2500	1180	1530	1800	1920					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	46831	1379	1561	140	250	1898	1603	1884	1925	537	1275	382	1562	2070	1739	557	886	1635	290	1157	1624	1599	759	891	1825	1507	125	1731	1883	1774	620	1289	777	1778	1124	1450	1561	1784					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3620	53	112	0	0	78	84	145	128	13	0	0	66	88	123	0	26	106	0	93	398	76	32	76	189	117	0	141	157	75	112	237	0	537	54	78	152	74					
6	Число погашенных избирательных бюллетеней	2869	48	127	0	0	174	13	121	97	0	225	118	72	92	38	43	8	159	10	0	78	75	109	33	86	276	25	128	210	51	68	24	23	185	2	2	87	62					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3620	53	112	0	0	78	84	145	128	13	0	0	66	88	123	0	26	106	0	93	398	76	32	76	189	117	0	141	157	75	112	237	0	537	54	78	152	74					
8	Число бюллетеней в стационарных ящиках для голосования	46830	1379	1561	140	250	1898	1603	1884	1925	537	1275	382	1562	2070	1739	557	886	1635	290	1157	1624	1599	759	891	1825	1507	125	1731	1883	1774	620	1289	777	1778	1124	1450	1561	1783					
9	Число недействительных избирательных бюллетеней	4136	186	99	0	3	311	48	280	248	64	0	1	181	170	141	7	60	97	0	121	207	318	50	47	119	112	0	125	220	129	19	76	4	138	83	178	132	162					
10	Число действительных избирательных бюллетеней	46314	1246	1574	140	247	1665	1639	1749	1805	486	1275	381	1447	1988	1721	550	852	1644	290	1129	1815	1357	741	920	1895	1512	125	1747	1820	1720	713	1450	773	2177	1095	1350	1581	1695					
11	Число полученных открепительных  удостоверений	1085	48	51	0	0	55	45	55	45	15	0	0	30	45	45	0	30	50	0	30	25	35	15	20	51	40	0	30	45	45	15	32	0	59	15	25	40	49					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1038	46	50	0	0	55	45	53	40	8	0	0	29	45	44	0	26	50	0	30	25	31	15	19	43	38	0	30	45	44	11	28	0	59	15	25	40	49					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1501	19	25	116	154	20	15	14	19	11	233	16	30	6	22	142	9	12	132	8	123	17	10	10	29	35	34	28	14	19	15	8	23	31	22	47	6	27					
14	Число неиспользованных открепительных удостоверений	47	2	1	0	0	0	0	2	5	7	0	0	1	0	1	0	4	0	0	0	0	4	0	1	8	2	0	0	0	1	4	4	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	15	3	0	0	0	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	Богданов Андрей Владимирович	1378	18	51	0	0	22	20	80	82	15	3	4	66	35	68	2	30	68	0	36	59	4	34	43	63	46	0	51	96	39	8	61	5	93	27	41	65	43					
		2.73%	1.26%	3.05%	0.00%	0.00%	1.11%	1.19%	3.94%	3.99%	2.73%	0.24%	1.05%	4.05%	1.62%	3.65%	0.36%	3.29%	3.91%	0.00%	2.88%	2.92%	0.24%	4.30%	4.45%	3.13%	2.83%	0.00%	2.72%	4.71%	2.11%	1.09%	3.99%	0.64%	4.02%	2.29%	2.68%	3.79%	2.32%					
19	Жириновский Владимир Вольфович	5523	136	234	0	2	160	136	158	182	54	4	16	155	303	254	49	123	241	3	146	202	111	107	135	280	222	5	259	175	258	99	214	39	325	164	135	206	231					
		10.95%	9.50%	13.99%	0.00%	0.80%	8.10%	8.06%	7.79%	8.87%	9.82%	0.31%	4.19%	9.52%	14.04%	13.64%	8.80%	13.49%	13.84%	1.03%	11.68%	9.99%	6.63%	13.53%	13.96%	13.90%	13.67%	4.00%	13.84%	8.58%	13.95%	13.52%	14.02%	5.02%	14.04%	13.92%	8.84%	12.03%	12.44%					
20	Зюганов Геннадий Андреевич	3197	97	117	1	2	100	187	98	104	34	22	8	106	140	130	31	62	119	2	73	138	87	51	67	138	111	3	127	123	129	60	107	34	162	81	106	114	126					
		6.34%	6.77%	6.99%	0.71%	0.80%	5.06%	11.08%	4.83%	5.07%	6.18%	1.73%	2.09%	6.51%	6.49%	6.98%	5.57%	6.80%	6.84%	0.69%	5.84%	6.82%	5.19%	6.45%	6.93%	6.85%	6.83%	2.40%	6.78%	6.03%	6.98%	8.20%	7.01%	4.38%	6.99%	6.88%	6.94%	6.65%	6.79%					
21	Медведев Дмитрий Анатольевич	36216	995	1172	139	243	1383	1296	1413	1437	383	1246	353	1120	1510	1269	468	637	1216	285	874	1416	1155	549	675	1414	1133	117	1310	1426	1294	546	1068	695	1597	823	1068	1196	1295					
		71.79%	69.48%	70.05%	99.29%	97.20%	69.99%	76.82%	69.64%	69.99%	69.64%	97.73%	92.41%	68.80%	69.97%	68.15%	84.02%	69.85%	69.84%	98.28%	69.92%	70.03%	68.96%	69.41%	69.80%	70.21%	69.77%	93.60%	69.98%	69.90%	69.98%	74.59%	69.99%	89.45%	68.98%	69.86%	69.90%	69.82%	69.74%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
