Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Яйская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651					
1	"Число избирателей, внесенных в список"	15253	286	168	323	107	119	244	393	362	226	54	488	303	300	113	667	281	106	420	180	484	269	437	152	611	99	495	821	721	745	280	648	425	610	980	685	770	515	366					
2	Число полученных избирательных бюллетеней	15671	275	170	300	107	118	240	397	363	230	55	475	302	300	114	630	275	106	420	178	480	275	439	154	610	100	530	865	775	800	280	675	445	700	1165	705	770	470	378					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10911	242	102	294	93	117	201	364	313	175	50	400	258	248	84	454	224	77	344	83	359	234	294	117	536	56	351	536	424	378	208	476	330	387	829	421	405	264	183					
5	"Число избирательных бюллетеней, выданных вне помещения"	2776	21	57	5	14	0	30	24	47	50	4	64	33	46	29	152	51	29	44	90	95	19	131	33	47	43	65	116	100	222	52	50	66	115	136	153	233	199	111					
6	Число погашенных избирательных бюллетеней	1984	12	11	1	0	1	9	9	3	5	1	11	11	6	1	24	0	0	32	5	26	22	14	4	27	1	114	213	251	200	20	149	49	198	200	131	132	7	84					
7	Число избирательных бюллетеней в переносных ящиках	2776	21	57	5	14	0	30	24	47	50	4	64	33	46	29	152	51	29	44	90	95	19	131	33	47	43	65	116	100	222	52	50	66	115	136	153	233	199	111					
8	Число бюллетеней в стационарных ящиках для голосования	10909	242	102	294	93	117	201	364	313	175	50	400	258	248	84	454	224	77	344	83	359	234	294	117	536	56	351	535	424	378	208	476	329	387	829	421	405	264	183					
9	Число недействительных избирательных бюллетеней	252	0	2	18	12	3	3	3	1	3	0	19	0	35	15	2	7	0	8	3	23	0	3	2	10	12	10	19	3	2	2	5	0	8	7	6	6	0	0					
10	Число действительных избирательных бюллетеней	13433	263	157	281	95	114	228	385	359	222	54	445	291	259	98	604	268	106	380	170	431	253	422	148	573	87	406	632	521	598	258	521	395	494	958	568	632	463	294					
11	Число полученных открепительных  удостоверений	292	6	6	6	6	4	6	6	6	6	4	6	4	6	4	6	6	4	6	4	6	4	11	4	6	4	10	10	10	10	10	10	10	10	30	10	10	15	10					
12	Число выданных открепительных удостоверений	125	4	0	3	0	0	0	2	2	3	0	0	1	0	0	0	0	0	2	3	0	1	8	2	2	0	9	8	2	4	1	7	5	4	28	8	7	7	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	138	7	2	3	2	3	3	4	3	3	1	2	1	1	2	3	3	2	8	3	10	3	1	3	5	3	2	6	1	3	0	7	9	4	5	7	7	3	3					
14	Число неиспользованных открепительных удостоверений	167	2	6	3	6	4	6	4	4	3	4	6	3	6	4	6	6	4	4	1	6	3	3	2	4	4	1	2	8	6	9	3	5	6	2	2	3	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	296	2	4	2	0	0	4	5	3	4	4	9	1	1	0	13	8	0	14	1	3	2	5	2	12	6	8	22	11	17	3	8	16	10	36	25	12	18	5					
		2.16%	0.76%	2.52%	0.67%	0.00%	0.00%	1.73%	1.29%	0.83%	1.78%	7.41%	1.94%	0.34%	0.34%	0.00%	2.15%	2.91%	0.00%	3.61%	0.58%	0.66%	0.79%	1.18%	1.33%	2.06%	6.06%	1.92%	3.38%	2.10%	2.83%	1.15%	1.52%	4.05%	1.99%	3.73%	4.36%	1.88%	3.89%	1.70%					
