Выборы Президента Российской Федерации																																																		
Дата голосования: 02.03.2008																																																		
																																																		
Наименование Избирательной комиссии:    Верхнекамская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
	Число участковых избирательных комиссий	43																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	43																																																
																																																		
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №272					
1	"Число избирателей, включенных в списки избирателей"	25311	861	638	1441	1294	1301	1344	969	1450	174	126	47	307	293	1204	1164	1365	1246	1035	132	77	624	568	141	515	236	712	940	1049	134	88	96	80	469	518	476	138	217	294	143	398	269	523	215					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26200	895	650	1445	1330	1330	1310	1000	1520	180	150	60	330	305	1286	1260	1425	1307	1118	122	76	650	580	100	470	210	735	995	1100	108	72	100	76	515	555	505	135	240	325	150	415	280	555	230					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	16089	534	354	861	848	821	757	508	839	133	78	31	235	200	848	828	867	851	514	100	42	420	401	97	278	170	500	608	608	78	67	48	42	357	364	327	86	160	230	112	259	182	303	143					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2923	88	55	119	51	96	174	92	114	11	17	8	27	36	181	158	227	126	265	20	23	70	74	0	97	21	74	100	145	30	5	0	0	31	53	57	26	30	34	16	38	25	96	13					
6	Число погашенных избирательных бюллетеней	7188	273	241	465	431	413	379	400	567	36	55	21	68	69	257	274	331	330	339	2	11	160	105	3	95	19	161	287	347	0	0	52	34	127	138	121	23	50	61	22	118	73	156	74					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2923	88	55	119	51	96	174	92	114	11	17	8	27	36	181	158	227	126	265	20	23	70	74	0	97	21	74	100	145	30	5	0	0	31	53	57	26	30	34	16	38	25	96	13					
8	Число бюллетеней в стационарных ящиках для голосования	16084	534	354	861	848	821	756	508	839	133	78	31	235	200	848	826	867	851	514	100	42	420	401	97	278	170	500	606	608	78	67	48	42	357	364	327	86	160	230	112	259	182	303	143					
9	Число недействительных избирательных бюллетеней	763	1	4	11	6	16	11	8	6	2	0	0	0	1	20	17	92	17	72	0	10	64	59	2	5	2	43	55	57	16	0	14	5	33	45	30	12	0	9	12	3	0	2	1					
10	Число действительных избирательных бюллетеней	18244	621	405	969	893	901	919	592	947	142	95	39	262	235	1009	967	1002	960	707	120	55	426	416	95	370	189	531	651	696	92	72	34	37	355	372	354	100	190	255	116	294	207	397	155					
11	Число полученных открепительных  удостоверений	642	15	10	24	10	15	15	10	21	10	15	5	7	7	50	50	30	30	42	2	5	7	10	3	8	4	23	29	29	3	3	0	0	29	31	30	3	5	15	6	7	3	16	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	638	14	10	24	10	14	15	10	21	10	15	5	7	7	50	50	30	30	42	2	5	7	10	3	8	4	23	29	29	3	3	0	0	29	30	30	3	5	14	6	7	3	16	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	183	2	7	15	3	11	8	3	1	3	0	1	0	2	10	5	11	8	3	0	1	6	7	8	2	12	6	5	10	2	1	2	2	1	2	1	7	4	1	1	5	1	1	2					
14	Число неиспользованных открепительных удостоверений	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	58	2	0	10	6	0	4	1	5	0	3	5	0	0	4	1	2	0	1	0	0	3	1	0	0	2	0	0	3	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	Богданов Андрей Владимирович	173	1	5	18	10	14	6	8	17	2	2	1	1	2	10	11	3	14	2	0	0	2	1	2	0	4	3	3	6	0	0	0	0	1	6	5	2	1	1	1	1	1	5	1					
		0.91%	0.16%	1.22%	1.84%	1.11%	1.53%	0.65%	1.33%	1.78%	1.39%	2.11%	2.56%	0.38%	0.85%	0.97%	1.12%	0.27%	1.43%	0.26%	0.00%	0.00%	0.41%	0.21%	2.06%	0.00%	2.09%	0.52%	0.42%	0.80%	0.00%	0.00%	0.00%	0.00%	0.26%	1.44%	1.30%	1.79%	0.53%	0.38%	0.78%	0.34%	0.48%	1.25%	0.64%					
19	Жириновский Владимир Вольфович	1431	63	21	99	110	87	101	56	86	18	15	5	15	28	145	96	25	81	8	5	0	12	5	8	24	30	36	19	33	0	0	0	0	2	13	12	3	11	17	6	49	21	56	10					
		7.53%	10.13%	5.13%	10.10%	12.24%	9.49%	10.86%	9.33%	9.02%	12.50%	15.79%	12.82%	5.73%	11.86%	14.09%	9.76%	2.29%	8.29%	1.03%	4.17%	0.00%	2.45%	1.05%	8.25%	6.40%	15.71%	6.27%	2.69%	4.38%	0.00%	0.00%	0.00%	0.00%	0.52%	3.12%	3.13%	2.68%	5.79%	6.44%	4.69%	16.50%	10.14%	14.04%	6.41%					
20	Зюганов Геннадий Андреевич	2754	74	76	243	230	209	207	81	154	10	11	5	37	22	130	160	168	182	113	15	10	24	25	18	31	6	42	83	66	5	5	3	1	38	39	25	7	18	18	10	26	35	64	28					
		14.49%	11.90%	18.58%	24.80%	25.58%	22.79%	22.26%	13.50%	16.16%	6.94%	11.58%	12.82%	14.12%	9.32%	12.63%	16.26%	15.36%	18.63%	14.51%	12.50%	15.38%	4.90%	5.26%	18.56%	8.27%	3.14%	7.32%	11.76%	8.76%	4.63%	6.94%	6.25%	2.38%	9.79%	9.35%	6.51%	6.25%	9.47%	6.82%	7.81%	8.75%	16.91%	16.04%	17.95%					
21	Медведев Дмитрий Анатольевич	13886	483	303	609	543	591	605	447	690	112	67	28	209	183	724	700	806	683	584	100	45	388	385	67	315	149	450	546	591	87	67	31	36	314	314	312	88	160	219	99	218	150	272	116					
