Выборы Президента Российской Федерации																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Киров, Ленинская"																																																																																																					
																																																																																																					
Итоги голосования 																																																																																																					
																																																																																																					
		Сумма	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
1	"Число избирателей, внесенных в список"	172330	246	512	220	260	127	106	130	118	118	2387	1329	865	1047	1987	2282	230	2222	2317	2264	1950	2856	2274	1109	1272	1690	2833	789	769	2818	2915	2195	1898	1388	2122	2103	1539	1857	1767	2597	2483	2450	2129	2352	2638	1548	2378	1920	1816	2443	2344	2732	1244	2371	2619	2517	2334	2033	1622	2745	1892	347	2704	2926	2806	2493	2768	2697	2537	2784	2098	2521	2094	2534	2729	2239	2682	2160	2456	2366	2684	2147	1177	1789	1721	1630	2576	1497	1664	903	1837	501	1179	865	101					
2	Число полученных избирательных бюллетеней	164970	220	530	220	250	130	100	120	100	120	2300	1250	850	1000	1900	2200	250	2100	2200	2100	1900	2750	2150	1050	1200	1650	2750	800	750	2700	2800	2050	1800	1050	2000	2000	1500	1800	1800	2500	2450	2300	2000	2300	2550	1450	2300	1850	1750	2350	2250	2650	1200	2250	2550	2450	2250	1950	1550	2600	1800	270	2600	2800	2700	2400	2650	2600	2450	2650	1850	2400	2050	2450	2600	2150	2600	2100	2350	2250	2550	2050	1100	1700	1650	1550	2500	1450	1600	850	1800	450	1150	800	110					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	92743	169	354	220	200	69	98	107	98	114	1242	874	529	616	1222	1336	230	1256	1364	1204	1029	1456	1133	367	475	583	1420	353	220	1418	1599	1035	1035	937	1081	1046	869	1042	1026	1503	1384	1312	1068	1404	1521	846	1329	1146	937	1243	1254	1473	673	1278	1454	1333	1187	1112	689	1463	926	134	1485	1285	1619	1440	1514	1486	1289	1459	1293	1483	1187	1470	1385	1198	1372	1248	1424	1311	1049	1196	719	840	972	876	1400	856	897	528	998	327	553	402	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	2574	33	158	0	40	52	0	0	0	0	32	10	12	12	29	60	0	55	41	47	70	57	41	18	12	9	14	63	3	6	50	37	27	11	24	16	19	34	32	25	34	38	16	22	48	22	22	12	40	18	19	14	19	17	32	18	43	22	7	25	40	47	26	10	26	37	27	16	34	14	15	15	9	15	24	6	22	19	27	12	11	7	16	33	20	41	43	18	14	28	61	11	84	100	9					
6	Число погашенных избирательных бюллетеней	69653	18	18	0	10	9	2	13	2	6	1026	366	309	372	649	804	20	789	795	849	801	1237	976	665	713	1058	1316	384	527	1276	1151	978	738	102	895	938	612	724	742	972	1032	950	916	874	981	582	949	692	773	1089	977	1163	508	955	1064	1099	1020	816	854	1112	834	89	1089	1505	1055	923	1109	1098	1127	1177	542	902	854	965	1191	946	1206	833	899	927	1490	847	365	827	658	633	1057	576	689	294	741	112	513	298	14					
7	Число избирательных бюллетеней в переносных ящиках	2574	33	158	0	40	52	0	0	0	0	32	10	12	12	29	60	0	55	41	47	70	57	41	18	12	9	14	63	3	6	50	37	27	11	24	16	19	34	32	25	34	38	16	22	48	22	22	12	40	18	19	14	19	17	32	18	43	22	7	25	40	47	26	10	26	37	27	16	34	14	15	15	9	15	24	6	22	19	27	12	11	7	16	33	20	41	43	18	14	28	61	11	84	100	9					
8	Число бюллетеней в стационарных ящиках для голосования	92661	169	354	220	200	69	98	107	98	114	1238	874	528	616	1222	1336	230	1256	1358	1204	1029	1455	1133	367	475	583	1420	353	220	1412	1598	1034	1008	937	1081	1044	866	1042	1026	1503	1384	1309	1068	1404	1521	846	1328	1146	935	1243	1254	1473	673	1278	1454	1333	1187	1112	689	1463	925	134	1485	1285	1619	1440	1514	1475	1289	1458	1293	1480	1187	1468	1383	1198	1372	1248	1424	1308	1049	1196	719	840	971	876	1400	856	897	528	998	327	553	402	87					
9	Число недействительных избирательных бюллетеней	442	4	4	0	0	1	0	1	0	0	10	1	1	2	6	8	2	6	9	4	3	3	3	3	1	1	1	4	4	6	6	5	4	0	14	4	4	5	5	8	6	7	0	3	5	4	7	7	5	1	6	6	4	6	6	6	0	10	4	6	6	0	6	5	5	7	1	11	14	4	3	7	2	6	10	2	6	8	4	9	4	3	6	5	6	11	10	9	6	5	9	0	8	2	0					
10	Число действительных избирательных бюллетеней	94793	198	508	220	240	120	98	106	98	114	1260	883	539	626	1245	1388	228	1305	1390	1247	1096	1509	1171	382	486	591	1433	412	219	1412	1642	1066	1031	948	1091	1056	881	1071	1053	1520	1412	1340	1084	1423	1564	864	1343	1151	970	1260	1267	1481	688	1289	1480	1345	1230	1124	692	1482	959	181	1505	1290	1640	1470	1540	1480	1309	1468	1305	1488	1194	1477	1397	1202	1388	1259	1447	1311	1056	1200	729	868	985	906	1433	865	905	551	1050	338	629	500	96					
