Выборы Президента Российской Федерации																																													
Дата голосования: 18.03.2018																																													
																																													
Наименование Избирательной комиссии:    Омутнинская																																													
																																													
Сводная таблица итогов голосования																																													
																																													
	Число участковых избирательных комиссий	34																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	34																																											
																																													
		Сумма	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781									
1	"Число избирателей, включенных в список избирателей"	31521	312	489	1172	1324	747	1799	1948	989	1010	1925	594	871	791	1932	1846	1525	1506	1434	942	122	663	865	359	944	1042	1054	150	301	1000	194	202	679	539	251									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32628	324	485	1225	1262	775	1861	2021	998	1034	2011	559	900	735	1973	1922	1595	1584	1484	992	127	700	922	384	1019	1082	1177	168	306	997	195	208	720	573	310									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17233	148	269	525	608	475	1035	1213	669	643	1169	349	432	466	1011	955	908	912	783	444	49	299	393	236	472	610	537	76	153	435	118	117	356	242	126									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2466	46	64	140	165	26	50	100	30	65	107	70	54	41	127	108	39	60	39	66	17	59	117	33	88	42	179	17	43	169	12	21	107	91	74									
6	Число погашенных избирательных бюллетеней	12929	130	152	560	489	274	776	708	299	326	735	140	414	228	835	859	648	612	662	482	61	342	412	115	459	430	461	75	110	393	65	70	257	240	110									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2466	46	64	140	165	26	50	100	30	65	107	70	54	41	127	108	39	60	39	66	17	59	117	33	88	42	179	17	43	169	12	21	107	91	74									
8	Число бюллетеней в стационарных ящиках для голосования	17230	148	269	525	608	475	1035	1212	669	643	1169	349	432	466	1011	955	908	912	782	444	49	299	393	236	472	610	537	76	153	434	118	117	356	242	126									
9	Число недействительных избирательных бюллетеней	271	2	7	12	11	7	18	20	19	12	17	4	9	5	18	7	15	13	11	6	1	2	3	3	8	7	1	1	5	10	3	1	3	7	3									
