Выборы Президента Российской Федерации																																												
Дата голосования: 04.03.2012																																												
																																												
Наименование Избирательной комиссии:    Слободская																																												
																																												
Сводная таблица итогов голосования																																												
																																												
	Число участковых избирательных комиссий	33																																										
	Число участковых избирательных комиссий, приступивших к передаче сведений	33																																										
																																												
		Сумма	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060									
1	Число избирателей, включенных в список избирателей	25507	590	454	396	319	767	682	650	231	202	1543	1346	1430	2602	1466	1398	1377	1268	584	1147	906	338	328	510	536	567	399	487	662	601	403	634	278	406									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	24940	550	450	300	300	750	680	650	200	190	1500	1300	1400	2600	1450	1400	1350	1250	550	1150	850	350	350	500	500	550	370	450	650	600	400	650	300	400									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	12999	346	271	235	125	411	439	117	121	88	717	690	759	1392	824	851	858	445	340	584	470	198	158	218	324	324	224	294	241	198	237	225	109	166									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2112	63	41	47	96	56	16	173	23	42	35	35	41	100	77	23	20	178	35	68	84	31	45	96	46	21	25	16	185	138	47	95	50	64									
6	Число погашенных избирательных бюллетеней	9829	141	138	18	79	283	225	360	56	60	748	575	600	1108	549	526	472	627	175	498	296	121	147	186	130	205	121	140	224	264	116	330	141	170									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2112	63	41	47	96	56	16	173	23	42	35	35	41	100	77	23	20	178	35	68	84	31	45	96	46	21	25	16	185	138	47	95	50	64									
8	Число бюллетеней в стационарных ящиках для голосования	12998	346	271	235	125	411	439	117	121	88	717	690	759	1392	824	851	857	445	340	584	470	198	158	218	324	324	224	294	241	198	237	225	109	166									
9	Число недействительных избирательных бюллетеней	173	3	2	4	3	3	5	0	2	2	12	9	12	17	10	8	9	7	5	7	2	6	1	5	10	4	3	2	5	7	2	2	2	2									
10	Число действительных избирательных бюллетеней	14937	406	310	278	218	464	450	290	142	128	740	716	788	1475	891	866	868	616	370	645	552	223	202	309	360	341	246	308	421	329	282	318	157	228									
11	Число полученных открепительных  удостоверений	577	20	10	10	25	16	15	20	10	10	15	15	10	20	15	20	20	20	10	15	10	40	20	20	19	20	10	10	10	12	40	25	25	20									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	442	8	7	3	21	14	9	14	1	5	14	14	9	14	9	18	13	15	4	15	9	22	20	20	15	19	3	4	10	12	36	25	23	17									
13	Число избирателей, проголосовавших по открепительным удостоверениям	356	15	4	61	8	6	11	12	11	5	9	6	7	17	11	15	14	7	7	10	12	6	6	15	13	10	8	5	4	12	15	4	4	6									
14	Число неиспользованных открепительных удостоверений	135	12	3	7	4	2	6	6	9	5	1	1	1	6	6	2	7	5	6	0	1	18	0	0	4	1	7	6	0	0	4	0	2	3									
15	Число открепительных удостоверений, выданных избирателям ТИК	22	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0	3	0	0	0	0	1	3	4	0	0	0	0	2	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
