Выборы Президента Российской Федерации																																											
Дата голосования: 18.03.2018																																											
																																											
Наименование Избирательной комиссии:    Слободская																																											
																																											
Сводная таблица итогов голосования																																											
																																											
	Число участковых избирательных комиссий	32																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	32																																									
																																											
		Сумма	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946									
1	"Число избирателей, включенных в список избирателей"	24746	595	674	474	502	1041	747	637	220	262	1464	1223	1334	2397	1367	1886	1921	538	1077	818	324	301	448	483	591	397	428	574	522	385	456	316	344									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22785	550	640	375	500	950	650	600	210	240	1300	1100	1200	2000	1200	1800	1800	500	1000	750	330	320	450	450	550	350	400	550	500	380	450	340	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13569	330	408	300	187	582	474	259	134	140	664	633	695	1266	759	1184	1016	332	687	496	205	153	249	306	388	229	255	243	237	248	196	156	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1588	34	37	47	88	38	24	43	13	39	22	35	48	113	68	51	93	23	87	91	26	24	43	49	17	22	13	136	86	25	60	44	49									
6	Число погашенных избирательных бюллетеней	7628	186	195	28	225	330	152	298	63	61	614	432	457	621	373	565	691	145	226	163	99	143	158	95	145	99	132	171	177	107	194	140	143									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1588	34	37	47	88	38	24	43	13	39	22	35	48	113	68	51	93	23	87	91	26	24	43	49	17	22	13	136	86	25	60	44	49									
8	Число бюллетеней в стационарных ящиках для голосования	13547	330	408	300	187	582	474	259	134	140	642	633	695	1266	759	1184	1016	332	687	496	205	153	249	306	388	229	255	243	237	248	196	156	158									
9	Число недействительных избирательных бюллетеней	183	2	3	2	2	5	7	3	1	2	5	14	14	21	16	20	13	4	12	3	6	1	2	8	2	2	0	2	7	0	2	2	0									
10	Число действительных избирательных бюллетеней	14952	362	442	345	273	615	491	299	146	177	659	654	729	1358	811	1215	1096	351	762	584	225	176	290	347	403	249	268	377	316	273	254	198	207									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
13	Бабурин Сергей Николаевич	106	4	1	0	2	5	0	1	1	3	11	3	4	7	9	10	18	1	3	3	1	2	1	1	1	0	0	2	1	4	5	1	1									
		0.70%	1.10%	0.22%	0.00%	0.73%	0.81%	0.00%	0.33%	0.68%	1.68%	1.66%	0.45%	0.54%	0.51%	1.09%	0.81%	1.62%	0.28%	0.39%	0.51%	0.43%	1.13%	0.34%	0.28%	0.25%	0.00%	0.00%	0.53%	0.31%	1.47%	1.95%	0.50%	0.48%									
14	Грудинин Павел Николаевич	1793	31	77	30	27	69	67	34	28	24	109	87	76	209	112	155	161	31	95	34	8	14	30	28	41	39	12	77	35	23	6	7	17									
		11.85%	8.52%	17.30%	8.65%	9.82%	11.13%	13.45%	11.26%	19.05%	13.41%	16.42%	13.02%	10.23%	15.16%	13.54%	12.55%	14.52%	8.73%	12.27%	5.79%	3.46%	7.91%	10.27%	7.89%	10.12%	15.54%	4.48%	20.32%	10.84%	8.42%	2.34%	3.50%	8.21%									
15	Жириновский Владимир Вольфович	1385	30	24	33	20	45	39	35	15	13	56	86	104	96	72	146	106	30	54	53	31	16	15	26	44	28	20	32	34	22	19	16	25									
		9.15%	8.24%	5.39%	9.51%	7.27%	7.26%	7.83%	11.59%	10.20%	7.26%	8.43%	12.87%	13.99%	6.96%	8.71%	11.82%	9.56%	8.45%	6.98%	9.03%	13.42%	9.04%	5.14%	7.32%	10.86%	11.16%	7.46%	8.44%	10.53%	8.06%	7.42%	8.00%	12.08%									
16	Путин Владимир Владимирович	11165	281	319	268	213	470	361	220	98	127	458	454	516	1004	591	861	764	277	595	478	180	140	228	284	302	173	230	256	241	220	223	171	162									
		73.77%	77.20%	71.69%	77.23%	77.45%	75.81%	72.49%	72.85%	66.67%	70.95%	68.98%	67.96%	69.45%	72.81%	71.46%	69.72%	68.89%	78.03%	76.87%	81.43%	77.92%	79.10%	78.08%	80.00%	74.57%	68.92%	85.82%	67.55%	74.61%	80.59%	87.11%	85.50%	78.26%									
17	Собчак Ксения Анатольевна	196	7	10	5	1	12	7	3	1	4	15	10	14	18	12	15	18	5	4	5	1	0	7	3	7	1	3	3	2	0	1	1	1									
		1.30%	1.92%	2.25%	1.44%	0.36%	1.94%	1.41%	0.99%	0.68%	2.23%	2.26%	1.50%	1.88%	1.31%	1.45%	1.21%	1.62%	1.41%	0.52%	0.85%	0.43%	0.00%	2.40%	0.85%	1.73%	0.40%	1.12%	0.79%	0.62%	0.00%	0.39%	0.50%	0.48%									
18	Сурайкин Максим Александрович	101	3	0	1	1	5	2	2	1	2	3	5	5	3	7	12	7	3	4	10	1	2	4	4	3	3	1	2	2	2	0	1	0									
		0.67%	0.82%	0.00%	0.29%	0.36%	0.81%	0.40%	0.66%	0.68%	1.12%	0.45%	0.75%	0.67%	0.22%	0.85%	0.97%	0.63%	0.85%	0.52%	1.70%	0.43%	1.13%	1.37%	1.13%	0.74%	1.20%	0.37%	0.53%	0.62%	0.73%	0.00%	0.50%	0.00%									
19	Титов Борис Юрьевич	119	3	9	4	6	7	8	3	1	4	4	4	6	12	0	9	17	1	6	1	2	1	1	0	3	2	1	1	0	2	0	1	0									
		0.79%	0.82%	2.02%	1.15%	2.18%	1.13%	1.61%	0.99%	0.68%	2.23%	0.60%	0.60%	0.81%	0.87%	0.00%	0.73%	1.53%	0.28%	0.78%	0.17%	0.87%	0.56%	0.34%	0.00%	0.74%	0.80%	0.37%	0.26%	0.00%	0.73%	0.00%	0.50%	0.00%									
20	Явлинский Григорий Алексеевич	87	3	2	4	3	2	7	1	1	0	3	5	4	9	8	7	5	3	1	0	1	1	4	1	2	3	1	4	1	0	0	0	1									
		0.57%	0.82%	0.45%	1.15%	1.09%	0.32%	1.41%	0.33%	0.68%	0.00%	0.45%	0.75%	0.54%	0.65%	0.97%	0.57%	0.45%	0.85%	0.13%	0.00%	0.43%	0.56%	1.37%	0.28%	0.49%	1.20%	0.37%	1.06%	0.31%	0.00%	0.00%	0.00%	0.48%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
