Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Косинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  4901	УИК  4902	УИК  4903	УИК  4904	УИК  4905	УИК  4906	УИК  4907	УИК  4908	УИК  4909	УИК  4910	УИК  4911	УИК  4912	УИК  4913	УИК  4914	УИК  4915	УИК  4916	УИК  4917	УИК  4918	УИК  4919	УИК  4920	УИК  4921	УИК  4922					
1	"Число избирателей, внесенных в список"	6096	1796	860	89	77	131	354	287	352	183	66	47	209	151	308	69	138	20	324	144	176	181	134					
2	Число полученных избирательных бюллетеней	6215	1760	850	95	80	140	380	290	360	190	70	60	220	160	320	70	150	20	350	160	180	180	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3458	935	437	49	53	78	193	133	234	121	54	39	119	85	170	46	68	19	212	90	129	98	96					
5	"Число избирательных бюллетеней, выданных вне помещения"	572	96	19	18	6	23	51	91	39	9	8	4	31	10	69	11	36	1	19	5	8	9	9					
6	Число погашенных избирательных бюллетеней	2185	729	394	28	21	39	136	66	87	60	8	17	70	65	81	13	46	0	119	65	43	73	25					
7	Число избирательных бюллетеней в переносных ящиках	572	96	19	18	6	23	51	91	39	9	8	4	31	10	69	11	36	1	19	5	8	9	9					
8	Число бюллетеней в стационарных ящиках для голосования	3458	935	437	49	53	78	193	133	234	121	54	39	119	85	170	46	68	19	212	90	129	98	96					
9	Число недействительных избирательных бюллетеней	44	8	4	0	1	2	4	1	6	1	0	2	1	1	1	1	2	0	8	0	0	1	0					
10	Число действительных избирательных бюллетеней	3986	1023	452	67	58	99	240	223	267	129	62	41	149	94	238	56	102	20	223	95	137	106	105					
11	Число полученных открепительных  удостоверений	250	40	20	10	10	5	15	13	15	10	3	3	10	10	15	3	10	3	15	10	10	10	10					
12	Число выданных открепительных удостоверений	40	16	5	0	1	0	1	2	1	0	0	0	1	1	4	0	1	0	3	0	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	15	2	2	0	0	0	1	0	1	2	0	0	0	0	1	1	0	1	0	0	1	1	2					
14	Число неиспользованных открепительных удостоверений	210	24	15	10	9	5	14	11	14	10	3	3	9	9	11	3	9	3	12	10	8	8	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	100	32	14	0	0	0	4	2	9	2	0	0	2	1	5	0	2	1	3	3	7	2	11					
		2.48%	3.10%	3.07%	0.00%	0.00%	0.00%	1.64%	0.89%	3.30%	1.54%	0.00%	0.00%	1.33%	1.05%	2.09%	0.00%	1.92%	5.00%	1.30%	3.16%	5.11%	1.87%	10.48%					
19	. Малышкин Олег Александрович	85	15	5	0	0	1	9	13	2	7	4	6	3	2	1	3	2	1	5	2	1	1	2					
		2.11%	1.45%	1.10%	0.00%	0.00%	0.99%	3.69%	5.80%	0.73%	5.38%	6.45%	13.95%	2.00%	2.11%	0.42%	5.26%	1.92%	5.00%	2.16%	2.11%	0.73%	0.93%	1.90%					
20	. Миронов Сергей Михайлович	42	5	5	0	0	2	2	2	2	2	3	1	0	2	4	0	1	0	2	0	0	2	7					
		1.04%	0.48%	1.10%	0.00%	0.00%	1.98%	0.82%	0.89%	0.73%	1.54%	4.84%	2.33%	0.00%	2.11%	1.67%	0.00%	0.96%	0.00%	0.87%	0.00%	0.00%	1.87%	6.67%					
21	. Путин Владимир Владимирович	3152	766	355	64	49	84	195	162	223	112	44	34	113	72	186	51	81	16	185	85	115	89	71					
		78.21%	74.30%	77.85%	95.52%	83.05%	83.17%	79.92%	72.32%	81.68%	86.15%	70.97%	79.07%	75.33%	75.79%	77.82%	89.47%	77.88%	80.00%	80.09%	89.47%	83.94%	83.18%	67.62%					
22	. Хакамада Ирина Муцуовна	89	39	13	0	0	3	2	4	5	4	5	0	0	1	2	0	2	0	0	0	3	6	0					
		2.21%	3.78%	2.85%	0.00%	0.00%	2.97%	0.82%	1.79%	1.83%	3.08%	8.06%	0.00%	0.00%	1.05%	0.84%	0.00%	1.92%	0.00%	0.00%	0.00%	2.19%	5.61%	0.00%					
23	. Харитонов Николай Михайлович	462	156	53	3	6	9	24	39	21	2	6	0	26	13	37	0	14	1	24	5	10	4	9					
		11.46%	15.13%	11.62%	4.48%	10.17%	8.91%	9.84%	17.41%	7.69%	1.54%	9.68%	0.00%	17.33%	13.68%	15.48%	0.00%	13.46%	5.00%	10.39%	5.26%	7.30%	3.74%	8.57%					
																													
24	Против всех	56	10	7	0	3	0	4	1	5	0	0	0	5	3	3	2	0	1	4	0	1	2	5					
		1.39%	0.97%	1.54%	0.00%	5.08%	0.00%	1.64%	0.45%	1.83%	0.00%	0.00%	0.00%	3.33%	3.16%	1.26%	3.51%	0.00%	5.00%	1.73%	0.00%	0.73%	1.87%	4.76%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
