Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Буйская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44					
1	"Число избирателей, внесенных в список"	6546	342	328	88	448	204	176	192	190	213	283	154	244	238	212	496	567	261	160	354	139	63	147	590	457					
2	Число полученных избирательных бюллетеней	6500	350	330	90	440	200	170	190	190	210	280	150	240	230	210	500	560	260	160	340	130	70	150	590	460					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3989	175	212	60	267	75	102	135	133	100	130	102	103	150	138	354	459	144	66	222	89	36	96	349	292					
5	"Число избирательных бюллетеней, выданных вне помещения"	1120	79	51	8	53	78	46	31	31	45	77	16	92	53	31	42	21	53	67	52	22	23	21	53	75					
6	Число погашенных избирательных бюллетеней	1391	96	67	22	120	47	22	24	26	65	73	32	45	27	41	104	80	63	27	66	19	11	33	188	93					
7	Число избирательных бюллетеней в переносных ящиках	1120	79	51	8	53	78	46	31	31	45	77	16	92	53	31	42	21	53	67	52	22	23	21	53	75					
8	Число бюллетеней в стационарных ящиках для голосования	3989	175	212	60	267	75	102	135	133	100	130	102	103	150	138	354	459	144	66	222	89	36	96	349	292					
9	Число недействительных избирательных бюллетеней	32	0	1	2	1	0	1	1	0	0	2	2	0	0	1	1	4	1	1	3	1	0	1	4	5					
10	Число действительных избирательных бюллетеней	5077	254	262	66	319	153	147	165	164	145	205	116	195	203	168	395	476	196	132	271	110	59	116	398	362					
11	Число полученных открепительных  удостоверений	99	6	4	3	6	3	3	3	3	3	4	3	3	3	3	7	7	3	3	4	3	3	5	8	6					
12	Число выданных открепительных удостоверений	40	2	1	3	1	2	0	2	1	3	0	1	0	1	1	3	3	2	1	2	1	1	3	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	2	0	1	2	2	2	2	2	2	6	1	2	1	2	1	4	0	2	12	0	1	1	4	3					
14	Число неиспользованных открепительных удостоверений	59	4	3	0	5	1	3	1	2	0	4	2	3	2	2	4	4	1	2	2	2	2	2	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	79	0	1	1	7	4	3	1	1	0	1	0	8	4	5	11	3	2	2	0	2	0	6	0	17					
		1.55%	0.00%	0.38%	1.47%	2.19%	2.61%	2.03%	0.60%	0.61%	0.00%	0.48%	0.00%	4.10%	1.97%	2.96%	2.78%	0.62%	1.02%	1.50%	0.00%	1.80%	0.00%	5.13%	0.00%	4.63%					
19	. Малышкин Олег Александрович	116	9	6	3	8	2	13	4	2	2	3	0	3	3	3	9	10	2	0	9	4	0	7	8	6					
		2.27%	3.54%	2.28%	4.41%	2.50%	1.31%	8.78%	2.41%	1.22%	1.38%	1.45%	0.00%	1.54%	1.48%	1.78%	2.27%	2.08%	1.02%	0.00%	3.28%	3.60%	0.00%	5.98%	1.99%	1.63%					
20	. Миронов Сергей Михайлович	34	0	2	1	2	0	5	1	0	0	0	1	1	0	3	5	3	2	0	3	1	0	0	1	3					
		0.67%	0.00%	0.76%	1.47%	0.62%	0.00%	3.38%	0.60%	0.00%	0.00%	0.00%	0.85%	0.51%	0.00%	1.78%	1.26%	0.62%	1.02%	0.00%	1.09%	0.90%	0.00%	0.00%	0.25%	0.82%					
21	. Путин Владимир Владимирович	3908	224	205	59	254	114	91	125	136	120	105	98	142	154	124	312	396	144	115	186	71	52	67	343	271					
