Выборы Президента Российской Федерации																																					
Дата голосования: 18.03.2018																																					
																																					
Наименование Избирательной комиссии:    Калининская																																					
																																					
Сводная таблица итогов голосования																																					
																																					
	Число участковых избирательных комиссий	26																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	26																																			
																																					
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626									
1	"Число избирателей, включенных в список избирателей"	37081	2363	2780	2643	2603	379	1091	1797	1263	2209	1902	2612	2527	994	179	1093	707	456	741	2599	236	1165	870	1218	1216	292	1146									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37500	2417	2716	2648	2626	383	1136	1785	1300	2273	1932	2640	2535	1012	170	1120	719	453	746	2616	230	1193	920	1250	1240	294	1146									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25356	1583	1990	1806	1861	268	483	1130	577	1638	1369	1306	2008	629	151	810	630	394	522	2173	151	788	604	837	696	252	700									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6391	473	310	388	342	97	314	377	202	330	323	339	362	282	19	210	50	46	189	261	76	321	182	265	295	27	311									
6	Число погашенных избирательных бюллетеней	5753	361	416	454	423	18	339	278	521	305	240	995	165	101	0	100	39	13	35	182	3	84	134	148	249	15	135									
7	Число избирательных бюллетеней в переносных ящиках для голосования	6391	473	310	388	342	97	314	377	202	330	323	339	362	282	19	210	50	46	189	261	76	321	182	265	295	27	311									
8	Число бюллетеней в стационарных ящиках для голосования	25355	1583	1990	1806	1861	268	483	1130	577	1638	1369	1306	2008	628	151	810	630	394	522	2173	151	788	604	837	696	252	700									
9	Число недействительных избирательных бюллетеней	252	19	25	19	11	5	12	18	9	20	9	28	12	1	0	6	3	0	2	11	0	8	6	12	7	2	7									
10	Число действительных избирательных бюллетеней	31494	2037	2275	2175	2192	360	785	1489	770	1948	1683	1617	2358	909	170	1014	677	440	709	2423	227	1101	780	1090	984	277	1004									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
13	Бабурин Сергей Николаевич	154	11	10	16	20	0	2	2	5	11	13	6	15	1	0	3	0	2	8	7	0	4	4	3	7	0	4									
		0.49%	0.54%	0.43%	0.73%	0.91%	0.00%	0.25%	0.13%	0.64%	0.56%	0.77%	0.36%	0.63%	0.11%	0.00%	0.29%	0.00%	0.45%	1.13%	0.29%	0.00%	0.36%	0.51%	0.27%	0.71%	0.00%	0.40%									
14	Грудинин Павел Николаевич	2281	79	262	322	95	15	91	46	136	78	50	226	121	58	12	75	43	21	34	78	15	66	74	66	129	21	68									
		7.19%	3.84%	11.39%	14.68%	4.31%	4.11%	11.42%	3.05%	17.46%	3.96%	2.96%	13.74%	5.11%	6.37%	7.06%	7.35%	6.32%	4.77%	4.78%	3.20%	6.61%	5.95%	9.41%	5.99%	13.02%	7.53%	6.73%									
15	Жириновский Владимир Вольфович	1780	91	110	64	110	17	43	105	67	116	117	92	124	55	9	60	33	37	43	117	16	120	43	27	59	3	102									
		5.61%	4.43%	4.78%	2.92%	4.99%	4.66%	5.40%	6.97%	8.60%	5.89%	6.91%	5.59%	5.23%	6.04%	5.29%	5.88%	4.85%	8.41%	6.05%	4.81%	7.05%	10.82%	5.47%	2.45%	5.95%	1.08%	10.09%									
16	Путин Владимир Владимирович	26528	1773	1838	1737	1870	324	641	1333	550	1695	1451	1259	2062	778	149	853	595	372	614	2094	192	898	640	980	762	252	816									
		83.56%	86.24%	79.91%	79.17%	84.88%	88.77%	80.43%	88.45%	70.60%	86.13%	85.76%	76.53%	87.00%	85.49%	87.65%	83.63%	87.50%	84.55%	86.36%	86.03%	84.58%	80.97%	81.42%	88.93%	76.89%	90.32%	80.71%									
17	Собчак Ксения Анатольевна	202	27	23	11	15	2	2	2	4	12	10	14	16	8	0	4	2	3	0	16	1	6	2	5	10	1	6									
		0.64%	1.31%	1.00%	0.50%	0.68%	0.55%	0.25%	0.13%	0.51%	0.61%	0.59%	0.85%	0.68%	0.88%	0.00%	0.39%	0.29%	0.68%	0.00%	0.66%	0.44%	0.54%	0.25%	0.45%	1.01%	0.36%	0.59%									
18	Сурайкин Максим Александрович	193	6	13	5	35	2	3	0	5	12	11	7	9	5	0	9	2	3	5	34	3	1	8	3	9	0	3									
		0.61%	0.29%	0.57%	0.23%	1.59%	0.55%	0.38%	0.00%	0.64%	0.61%	0.65%	0.43%	0.38%	0.55%	0.00%	0.88%	0.29%	0.68%	0.70%	1.40%	1.32%	0.09%	1.02%	0.27%	0.91%	0.00%	0.30%									
19	Титов Борис Юрьевич	161	14	14	11	24	0	3	1	3	7	16	7	3	2	0	2	2	2	2	30	0	4	4	4	3	0	3									
		0.51%	0.68%	0.61%	0.50%	1.09%	0.00%	0.38%	0.07%	0.39%	0.36%	0.95%	0.43%	0.13%	0.22%	0.00%	0.20%	0.29%	0.45%	0.28%	1.23%	0.00%	0.36%	0.51%	0.36%	0.30%	0.00%	0.30%									
20	Явлинский Григорий Алексеевич	195	36	5	9	23	0	0	0	0	17	15	6	8	2	0	8	0	0	3	47	0	2	5	2	5	0	2									
		0.61%	1.75%	0.22%	0.41%	1.04%	0.00%	0.00%	0.00%	0.00%	0.86%	0.89%	0.36%	0.34%	0.22%	0.00%	0.78%	0.00%	0.00%	0.42%	1.93%	0.00%	0.18%	0.64%	0.18%	0.50%	0.00%	0.20%									
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
