Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Кореновская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847					
1	"Число избирателей, внесенных в список"	64521	1870	2602	2598	1618	1772	1717	1669	2122	1872	1531	2163	1838	1754	1483	1252	1794	355	396	584	1470	2530	432	862	2717	1739	2149	1359	1046	122	484	2285	821	1249	1253	942	294	854	870	322	598	2025	583	1468	1075	2005	457	1520					
2	Число полученных избирательных бюллетеней	60860	1770	2450	2440	1500	1660	1610	1590	1970	1810	1450	1660	1750	1670	1380	1200	1710	330	380	560	1400	2410	420	840	2590	1670	2070	1300	1000	120	450	2160	770	1190	1160	900	280	820	830	320	570	1920	570	1400	1020	1910	440	1440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	35346	977	1300	1397	871	988	871	941	1139	1171	795	1291	992	989	797	567	981	240	253	326	765	1237	218	430	1326	960	1153	731	402	91	270	1321	429	758	730	498	168	556	506	237	392	1164	390	888	662	1217	234	727					
5	"Число избирательных бюллетеней, выданных вне помещения"	3102	150	93	82	61	53	79	73	77	69	118	130	57	43	39	109	64	17	44	15	154	277	40	80	80	42	49	52	136	12	64	61	13	28	28	50	76	19	44	10	34	36	43	28	0	116	67	90					
6	Число погашенных избирательных бюллетеней	22412	643	1057	961	568	619	660	576	754	570	537	239	701	638	544	524	665	73	83	219	481	896	162	330	1184	668	868	517	462	17	116	778	328	404	402	352	36	245	280	73	144	720	137	484	358	577	139	623					
7	Число избирательных бюллетеней в переносных ящиках	3102	150	93	82	61	53	79	73	77	69	118	130	57	43	39	109	64	17	44	15	154	277	40	80	80	42	49	52	136	12	64	61	13	28	28	50	76	19	44	10	34	36	43	28	0	116	67	90					
8	Число бюллетеней в стационарных ящиках для голосования	35341	977	1300	1397	871	988	871	941	1139	1171	795	1290	992	989	797	563	981	240	253	326	765	1237	218	430	1326	960	1153	731	402	91	270	1321	429	758	730	498	168	556	506	237	392	1164	390	888	662	1217	234	727					
9	Число недействительных избирательных бюллетеней	260	7	12	12	6	7	5	7	4	13	3	7	3	4	8	8	3	1	0	3	4	7	3	2	13	0	13	19	4	1	5	15	5	3	8	5	0	0	0	0	1	8	2	6	4	7	3	9					
10	Число действительных избирательных бюллетеней	38183	1120	1381	1467	926	1034	945	1007	1212	1227	910	1413	1046	1028	828	664	1042	256	297	338	915	1507	255	508	1393	1002	1189	764	534	102	329	1367	437	783	750	543	244	575	550	247	425	1192	431	910	658	1326	298	808					
11	Число полученных открепительных  удостоверений	660	10	10	10	10	10	10	10	10	10	10	200	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	269	3	4	3	4	3	6	1	5	1	8	134	4	10	6	2	2	0	1	0	6	7	3	0	8	3	2	0	3	0	8	0	0	3	0	3	0	1	0	0	0	10	3	5	1	5	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	171	4	2	6	0	5	3	9	7	2	6	11	7	2	4	4	1	0	0	1	4	8	5	2	7	5	5	7	2	1	9	6	1	4	3	4	0	2	0	0	1	5	4	5	0	4	3	0					
