Выборы Президента Российской Федерации																																																																											
Дата голосования: 04.03.2012																																																																											
																																																																											
Наименование Избирательной комиссии:    Краснодар, Западная																																																																											
																																																																											
Сводная таблица итогов голосования																																																																											
																																																																											
	Число участковых избирательных комиссий	64																																																																									
	Число участковых избирательных комиссий, приступивших к передаче сведений	64																																																																									
																																																																											
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099									
1	Число избирателей, включенных в список избирателей	123371	2498	2237	2425	2202	2315	2404	2010	2503	1168	1701	2132	2245	2459	1640	2084	2465	2231	1392	1698	2359	1882	2122	1320	2271	1719	1337	2111	2330	2478	2263	1504	1730	2290	2061	2076	1519	1858	2163	1996	2235	1791	2209	2066	2054	2129	2627	2546	2456	2148	2471	1986	2430	2354	2470	1566	2785	2581	1916	92	87	317	115	621	121									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	117153	2500	2100	2300	2100	2200	2300	2000	2500	1100	1600	2100	2000	2400	1500	1900	2400	2100	1300	1500	2100	1800	2000	1300	2100	1600	1300	2000	2200	2300	2200	1500	1600	2200	2000	2000	1500	1800	2000	2000	2100	1700	2200	1900	1900	1900	2600	2400	2300	2100	2400	1900	2300	2200	2300	1500	2600	2400	1700	92	87	317	115	621	121									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	76819	1339	1496	2058	1327	1368	1435	1350	1371	682	1222	1297	1233	1392	1011	1141	1522	1501	1076	1155	1611	1241	1420	804	1437	1049	817	1156	1478	1479	1480	1017	1137	1393	1303	1367	1032	1170	1212	1113	1290	992	1354	1120	1045	1431	1746	1468	1447	1326	1561	1094	1504	1461	1524	1022	1654	1736	1214	92	40	264	102	519	121									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	5936	136	192	91	101	87	78	77	161	72	35	82	36	98	68	87	132	63	123	122	141	79	85	245	38	37	45	104	106	122	77	231	126	249	47	125	196	192	89	83	45	121	77	109	69	81	131	77	54	236	40	38	24	42	26	49	29	160	55	0	47	53	13	102	0									
6	Число погашенных избирательных бюллетеней	34398	1025	412	151	672	745	787	573	968	346	343	721	731	910	421	672	746	536	101	223	348	480	495	251	625	514	438	740	616	699	643	252	337	558	650	508	272	438	699	804	765	587	769	671	786	388	723	855	799	538	799	768	772	697	750	429	917	504	431	0	0	0	0	0	0									
7	Число избирательных бюллетеней в переносных ящиках для голосования	5936	136	192	91	101	87	78	77	161	72	35	82	36	98	68	87	132	63	123	122	141	79	85	245	38	37	45	104	106	122	77	231	126	249	47	125	196	192	89	83	45	121	77	109	69	81	131	77	54	236	40	38	24	42	26	49	29	160	55	0	47	53	13	102	0									
8	Число бюллетеней в стационарных ящиках для голосования	76808	1339	1495	2058	1327	1368	1435	1350	1371	681	1222	1297	1233	1392	1011	1141	1521	1501	1075	1155	1611	1241	1420	804	1437	1049	817	1156	1478	1479	1480	1017	1137	1393	1303	1367	1032	1170	1212	1113	1290	992	1354	1120	1044	1430	1746	1468	1447	1325	1561	1091	1504	1461	1524	1022	1654	1736	1213	92	40	264	102	519	121									
9	Число недействительных избирательных бюллетеней	1084	17	29	30	21	25	19	28	14	9	9	15	16	14	13	14	27	26	17	11	18	12	19	9	18	7	16	23	27	72	19	5	6	0	12	19	9	19	2	17	15	12	23	9	7	23	12	18	24	19	22	14	24	11	22	10	19	37	19	1	1	34	11	11	3									
10	Число действительных избирательных бюллетеней	81660	1458	1658	2119	1407	1430	1494	1399	1518	744	1248	1364	1253	1476	1066	1214	1626	1538	1181	1266	1734	1308	1486	1040	1457	1079	846	1237	1557	1529	1538	1243	1257	1642	1338	1473	1219	1343	1299	1179	1320	1101	1408	1220	1106	1488	1865	1527	1477	1542	1579	1115	1504	1492	1528	1061	1664	1859	1249	91	86	283	104	610	118									
11	Число полученных открепительных  удостоверений	3938	70	90	50	70	70	80	50	120	50	60	60	50	70	50	70	70	80	50	50	50	50	80	50	70	50	50	50	50	60	85	70	60	88	50	50	50	50	60	50	50	50	70	50	65	70	120	85	98	100	100	80	90	90	70	50	90	112	65	0	0	0	0	0	0									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	3373	70	71	44	67	61	67	46	98	34	51	55	43	57	43	57	64	80	39	45	34	42	68	37	57	29	40	46	50	53	70	57	53	74	49	47	30	30	52	41	48	41	58	49	58	59	106	80	92	82	94	66	71	86	70	33	81	95	53	0	0	0	0	0	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	4103	12	60	56	24	46	52	73	57	57	215	17	50	33	81	36	31	88	160	65	413	56	48	20	47	61	27	34	64	46	44	32	31	30	41	49	49	41	55	32	65	31	22	82	34	119	73	26	24	22	50	21	50	39	78	23	99	114	116	31	40	151	28	270	62									
14	Число неиспользованных открепительных удостоверений	565	0	19	6	3	9	13	4	22	16	9	5	7	13	7	13	6	0	11	5	16	8	12	13	13	21	10	4	0	7	15	13	7	14	1	3	20	20	8	9	2	9	12	1	7	11	14	5	6	18	6	14	19	4	0	17	9	17	12	0	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям ТИК	471	14	14	3	5	13	9	7	21	3	5	11	11	9	7	6	9	10	6	10	7	6	5	1	10	0	2	8	9	5	7	9	4	7	9	11	6	6	5	6	2	8	5	1	8	6	15	9	10	7	11	8	17	12	16	9	10	12	9	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																											
19	Жириновский Владимир Вольфович	5026	89	79	235	94	94	91	82	50	39	76	81	106	121	72	67	97	80	76	31	108	83	84	59	109	45	66	74	104	117	112	87	65	68	81	103	59	70	82	86	94	72	76	72	72	80	101	105	100	85	110	70	109	103	89	59	94	95	70	4	4	15	9	11	5									
		6.07%	6.03%	4.68%	10.94%	6.58%	6.46%	6.01%	5.75%	3.26%	5.18%	6.05%	5.87%	8.35%	8.12%	6.67%	5.46%	5.87%	5.12%	6.34%	2.43%	6.16%	6.29%	5.58%	5.62%	7.39%	4.14%	7.66%	5.87%	6.57%	7.31%	7.19%	6.97%	5.15%	4.14%	6.00%	6.90%	4.80%	5.14%	6.30%	7.19%	7.04%	6.47%	5.31%	5.86%	6.47%	5.29%	5.38%	6.80%	6.66%	5.45%	6.87%	6.20%	7.13%	6.85%	5.74%	5.51%	5.59%	5.01%	5.52%	4.35%	4.60%	4.73%	7.83%	1.77%	4.13%									
20	Зюганов Геннадий Андреевич	17036	316	274	279	326	340	378	333	331	172	228	300	238	285	238	205	324	361	293	273	282	318	339	181	342	223	208	316	336	348	329	256	297	280	263	399	207	256	278	228	258	212	312	279	231	301	354	309	345	310	326	272	356	327	324	227	294	355	225	12	3	15	10	182	17									
		20.59%	21.42%	16.24%	12.98%	22.83%	23.37%	24.98%	23.34%	21.61%	22.84%	18.14%	21.75%	18.75%	19.13%	22.06%	16.69%	19.60%	23.08%	24.46%	21.38%	16.10%	24.09%	22.52%	17.25%	23.19%	20.53%	24.13%	25.08%	21.21%	21.74%	21.13%	20.51%	23.52%	17.05%	19.48%	26.74%	16.86%	18.80%	21.37%	19.06%	19.33%	19.05%	21.80%	22.70%	20.75%	19.92%	18.86%	20.00%	22.98%	19.86%	20.36%	24.09%	23.30%	21.76%	20.90%	21.20%	17.47%	18.72%	17.74%	13.04%	3.45%	4.73%	8.70%	29.31%	14.05%									
21	Миронов Сергей Михайлович	3327	64	49	67	74	72	54	64	65	37	56	50	62	61	45	61	49	62	43	30	68	49	56	35	60	51	21	65	64	80	79	63	43	51	53	65	39	44	46	58	47	38	48	64	35	65	75	90	77	63	76	48	64	71	62	41	69	54	49	4	1	6	1	19	5									
		4.02%	4.34%	2.90%	3.12%	5.18%	4.95%	3.57%	4.48%	4.24%	4.91%	4.46%	3.63%	4.89%	4.09%	4.17%	4.97%	2.96%	3.96%	3.59%	2.35%	3.88%	3.71%	3.72%	3.34%	4.07%	4.70%	2.44%	5.16%	4.04%	4.99%	5.07%	5.05%	3.40%	3.11%	3.93%	4.36%	3.18%	3.23%	3.54%	4.85%	3.52%	3.41%	3.35%	5.21%	3.14%	4.30%	3.99%	5.83%	5.13%	4.04%	4.75%	4.25%	4.19%	4.72%	4.00%	3.83%	4.10%	2.85%	3.86%	4.35%	1.15%	1.89%	0.87%	3.06%	4.13%									
22	Прохоров Михаил Дмитриевич	10526	189	141	166	199	170	236	225	181	132	169	195	163	201	133	155	197	218	106	58	249	183	220	111	211	136	139	155	181	209	171	121	61	138	222	168	103	136	147	165	207	164	161	154	180	222	289	222	177	177	254	152	235	211	233	176	306	278	208	5	10	8	7	22	8									
		12.72%	12.81%	8.36%	7.72%	13.94%	11.68%	15.60%	15.77%	11.81%	17.53%	13.44%	14.14%	12.84%	13.49%	12.33%	12.62%	11.92%	13.94%	8.85%	4.54%	14.21%	13.86%	14.62%	10.58%	14.31%	12.52%	16.13%	12.30%	11.43%	13.05%	10.98%	9.70%	4.83%	8.40%	16.44%	11.26%	8.39%	9.99%	11.30%	13.80%	15.51%	14.73%	11.25%	12.53%	16.17%	14.69%	15.40%	14.37%	11.79%	11.34%	15.87%	13.46%	15.38%	14.04%	15.03%	16.43%	18.18%	14.66%	16.40%	5.43%	11.49%	2.52%	6.09%	3.54%	6.61%									
23	Путин Владимир Владимирович	45745	800	1115	1372	714	754	735	695	891	364	719	738	684	808	578	726	959	817	663	874	1027	675	787	654	735	624	412	627	872	775	847	716	791	1105	719	738	811	837	746	642	714	615	811	651	588	820	1046	801	778	907	813	573	740	780	820	558	901	1077	697	66	68	239	77	376	83									
		55.28%	54.24%	66.09%	63.84%	50.00%	51.82%	48.58%	48.70%	58.16%	48.34%	57.20%	53.52%	53.90%	54.23%	53.57%	59.12%	58.02%	52.24%	55.34%	68.44%	58.62%	51.14%	52.29%	62.35%	49.83%	57.46%	47.80%	49.76%	55.05%	48.41%	54.40%	57.37%	62.63%	67.30%	53.26%	49.46%	66.04%	61.45%	57.34%	53.68%	53.48%	55.26%	56.67%	52.97%	52.83%	54.27%	55.73%	51.84%	51.83%	58.10%	50.78%	50.75%	48.43%	51.90%	52.90%	52.10%	53.54%	56.80%	54.97%	71.74%	78.16%	75.39%	66.96%	60.55%	68.60%									
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
