Выборы Президента Российской Федерации																																																												
Дата голосования: 18.03.2018																																																												
																																																												
Наименование Избирательной комиссии:    Кущевская																																																												
																																																												
Сводная таблица итогов голосования																																																												
																																																												
	Число участковых избирательных комиссий	49																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	49																																																										
																																																												
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849									
1	"Число избирателей, включенных в список избирателей"	51518	1964	2201	1930	1596	2313	2571	1516	1527	1508	2790	2867	286	528	196	329	234	172	418	1163	155	1021	2725	1334	239	732	2498	1494	331	963	311	1930	1016	660	851	1071	150	231	177	452	496	558	331	808	239	209	217	2380	1302	528									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49485	1950	2100	1850	1550	2250	2500	1500	1450	1415	2700	2850	250	500	150	300	200	150	400	1100	140	950	2600	1250	230	700	2450	1400	320	950	300	1850	1000	650	850	1050	140	200	150	450	450	550	300	750	200	190	200	2300	1250	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29384	1319	1404	1048	847	1290	1336	958	735	1138	1619	1788	164	393	136	167	148	97	247	784	101	619	1504	691	126	457	1502	768	218	558	187	954	638	456	518	501	86	114	108	328	238	265	113	341	92	111	85	1272	578	237									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4936	104	170	160	65	155	182	141	309	14	111	151	21	54	8	35	26	13	44	205	30	141	237	126	23	53	157	82	24	94	31	243	225	111	98	94	9	33	20	74	27	71	123	180	55	50	72	205	167	113									
6	Число погашенных избирательных бюллетеней	15165	527	526	642	638	805	982	401	406	263	970	911	65	53	6	98	26	40	109	111	9	190	859	433	81	190	791	550	78	298	82	653	137	83	234	455	45	53	22	48	185	214	64	229	53	29	43	823	505	150									
7	Число избирательных бюллетеней в переносных ящиках для голосования	4936	104	170	160	65	155	182	141	309	14	111	151	21	54	8	35	26	13	44	205	30	141	237	126	23	53	157	82	24	94	31	243	225	111	98	94	9	33	20	74	27	71	123	180	55	50	72	205	167	113									
8	Число бюллетеней в стационарных ящиках для голосования	29384	1319	1404	1048	847	1290	1336	958	735	1138	1619	1788	164	393	136	167	148	97	247	784	101	619	1504	691	126	457	1502	768	218	558	187	954	638	456	518	501	86	114	108	328	238	265	113	341	92	111	85	1272	578	237									
9	Число недействительных избирательных бюллетеней	384	16	29	13	12	14	16	7	12	23	13	22	3	15	0	4	3	1	2	4	0	6	13	10	0	3	12	14	5	6	2	13	6	5	14	12	0	2	3	2	2	1	0	2	1	3	4	28	5	1									
10	Число действительных избирательных бюллетеней	33936	1407	1545	1195	900	1431	1502	1092	1032	1129	1717	1917	182	432	144	198	171	109	289	985	131	754	1728	807	149	507	1647	836	237	646	216	1184	857	562	602	583	95	145	125	400	263	335	236	519	146	158	153	1449	740	349									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
13	Бабурин Сергей Николаевич	257	10	12	4	9	13	16	6	4	13	5	14	1	2	0	4	0	0	4	17	3	4	9	1	5	3	6	3	0	1	1	9	17	3	4	2	0	4	1	5	4	3	1	8	0	2	0	18	5	1									
		0.75%	0.70%	0.76%	0.33%	0.99%	0.90%	1.05%	0.55%	0.38%	1.13%	0.29%	0.72%	0.54%	0.45%	0.00%	1.98%	0.00%	0.00%	1.37%	1.72%	2.29%	0.53%	0.52%	0.12%	3.36%	0.59%	0.36%	0.35%	0.00%	0.15%	0.46%	0.75%	1.97%	0.53%	0.65%	0.34%	0.00%	2.72%	0.78%	1.24%	1.51%	0.89%	0.42%	1.54%	0.00%	1.24%	0.00%	1.22%	0.67%	0.29%									
14	Грудинин Павел Николаевич	4768	175	223	196	129	211	270	129	133	176	315	321	27	35	14	23	18	4	33	92	11	102	266	123	8	77	163	132	29	74	27	215	114	47	77	76	5	27	18	37	28	72	33	79	31	13	15	217	89	39									
		13.89%	12.30%	14.17%	16.23%	14.14%	14.60%	17.79%	11.74%	12.74%	15.28%	18.21%	16.55%	14.59%	7.83%	9.72%	11.39%	10.34%	3.64%	11.34%	9.30%	8.40%	13.42%	15.28%	15.06%	5.37%	15.10%	9.83%	15.53%	11.98%	11.35%	12.39%	17.96%	13.21%	8.29%	12.50%	12.77%	5.26%	18.37%	14.06%	9.20%	10.57%	21.43%	13.98%	15.16%	21.09%	8.07%	9.55%	14.69%	11.95%	11.14%									
