Выборы Президента Российской Федерации																																																																					
Дата голосования: 02.03.2008																																																																					
																																																																					
Наименование Избирательной комиссии:    Славянская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
	Число участковых избирательных комиссий	62																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	62																																																																			
																																																																					
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234	УИК №4235	УИК №4236	УИК №4237	УИК №4238	УИК №4239	УИК №4240	УИК №4241	УИК №4242	УИК №4243	УИК №4244	УИК №4245	УИК №4246	УИК №4247	УИК №4248	УИК №4249	УИК №4250	УИК №4251	УИК №4252	УИК №4253	УИК №4254	УИК №4255	УИК №4256	УИК №4257	УИК №4258	УИК №4259	УИК №4260	УИК №4261	УИК №4299					
1	"Число избирателей, включенных в списки избирателей"	97119	2715	1633	1690	1247	2582	1737	2733	2801	1743	2365	2739	2459	1496	2330	1450	2964	1321	1162	2816	1592	2642	2786	1256	2470	1742	1332	2583	257	1130	1987	210	1711	668	347	2928	668	760	1078	2199	1846	1869	1898	1693	815	307	2793	1290	1269	2100	874	1112	1265	1314	1028	1401	1061	690	320	449	396	466	534					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	93969	2500	1500	1550	1200	2600	1600	2600	2800	1600	2300	2700	2500	1400	2300	1400	2400	1200	1100	2900	1500	2600	2600	1100	2400	1600	1300	2500	247	1100	1900	207	1600	660	355	2900	680	760	1100	2200	1900	1900	1800	1700	800	310	2800	1300	1200	2000	900	1100	1300	1300	1000	1300	1000	700	330	460	400	460	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	72449	2061	1339	1364	651	1839	1185	1953	1765	1116	1566	1862	1869	1013	1411	1100	1878	956	867	1964	879	1521	1812	665	1894	1382	1181	1759	216	1024	1614	196	1416	584	324	2128	445	520	953	1885	1678	1703	1652	1553	713	269	2060	1141	1044	1904	805	1062	1095	1149	772	1009	726	531	218	361	319	213	315					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	11954	360	153	181	524	307	265	353	451	318	263	448	225	289	224	113	384	200	184	499	395	680	632	351	310	202	90	436	25	30	183	10	116	44	19	443	78	106	71	98	16	102	56	35	6	32	188	63	120	96	29	36	107	64	65	55	103	94	83	73	53	209	209					
6	Число погашенных избирательных бюллетеней	9566	79	8	5	25	454	150	294	584	166	471	390	406	98	665	187	138	44	49	437	226	399	156	84	196	16	29	305	6	46	103	1	68	32	12	329	157	134	76	217	206	95	92	112	81	9	552	96	36	0	66	2	98	87	163	236	171	75	29	26	28	38	26					
7	Число избирательных бюллетеней в переносных ящиках для голосования	11954	360	153	181	524	307	265	353	451	318	263	448	225	289	224	113	384	200	184	499	395	680	632	351	310	202	90	436	25	30	183	10	116	44	19	443	78	106	71	98	16	102	56	35	6	32	188	63	120	96	29	36	107	64	65	55	103	94	83	73	53	209	209					
8	Число бюллетеней в стационарных ящиках для голосования	72400	2061	1339	1364	649	1839	1185	1953	1759	1116	1563	1862	1869	1013	1411	1100	1878	956	867	1964	877	1513	1812	665	1894	1382	1181	1759	216	1024	1614	196	1416	584	324	2104	445	520	953	1885	1678	1703	1652	1553	713	269	2060	1141	1040	1904	805	1062	1095	1149	772	1009	726	531	218	361	319	213	315					
9	Число недействительных избирательных бюллетеней	2192	19	166	16	2	12	12	24	20	59	29	38	65	25	21	3	12	22	32	64	6	22	12	11	56	62	8	56	19	48	6	3	45	3	45	25	3	7	7	391	10	2	127	211	67	35	25	40	13	7	21	8	10	12	52	14	14	3	2	0	39	0	4					
10	Число действительных избирательных бюллетеней	82162	2402	1326	1529	1171	2134	1438	2282	2190	1375	1797	2272	2029	1277	1614	1210	2250	1134	1019	2399	1266	2171	2432	1005	2148	1522	1263	2139	222	1006	1791	203	1487	625	298	2522	520	619	1017	1592	1684	1803	1581	1377	652	266	2223	1164	1147	1993	813	1090	1192	1201	785	1050	815	622	299	434	333	422	520					
11	Число полученных открепительных  удостоверений	841	13	10	20	10	10	15	14	20	18	15	20	15	10	38	15	20	10	10	28	5	20	15	5	15	12	10	18	0	10	30	5	30	5	5	58	10	13	10	10	10	10	13	10	5	2	15	10	10	15	20	5	10	20	24	10	10	5	10	10	15	5	0					
