Выборы Президента Российской Федерации																																																																					
																																																																					
"Наименование Избирательной комиссии:    Сочи, Центральная"																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656	УИК №4657	УИК №4658	УИК №4659	УИК №4660	УИК №4661	УИК №4662					
1	"Число избирателей, внесенных в список"	101623	1417	1079	871	1271	2060	1829	1580	1890	1330	890	592	872	1116	1362	2029	2004	1675	1517	951	2629	1580	2209	1832	1325	1650	2501	2222	1948	2629	1875	1633	673	2012	2235	1724	1464	1130	1064	2140	1126	1554	1186	1865	2226	2059	854	2738	2292	2455	1145	1531	1868	1340	1798	1486	1040	1635	1014	2404	2394	1395	1408					
2	Число полученных избирательных бюллетеней	93670	1300	1000	800	1100	1900	1700	1500	1700	1300	800	550	800	1000	1170	1900	1900	1600	1400	900	2500	1500	2000	1700	1200	1400	2400	2000	1800	2400	1800	1600	650	1700	2100	1600	1400	1100	1000	2000	1000	1400	1100	1700	2000	2000	650	2500	2200	2400	1100	1300	1800	1300	1700	1300	1000	1400	850	2300	2200	1000	1300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	60358	844	806	436	965	1138	1053	671	1104	989	520	361	522	656	807	1250	1094	1293	881	558	1537	958	1125	993	675	896	1236	1339	1181	2166	938	1254	430	1144	1916	889	943	675	570	1557	717	853	653	1007	1058	998	525	1553	1292	1779	757	863	1043	854	1077	1024	628	898	504	1236	1188	796	685					
5	"Число избирательных бюллетеней, выданных вне помещения"	1384	53	23	13	30	30	13	20	17	9	14	15	4	12	16	31	38	32	17	17	27	16	20	5	9	7	15	21	24	27	17	6	3	17	60	24	7	17	8	13	18	27	30	30	18	14	37	33	16	31	12	21	28	15	30	41	22	17	85	40	30	22	20					
6	Число погашенных избирательных бюллетеней	31928	403	171	351	105	732	634	809	579	302	266	174	274	332	347	619	768	275	502	325	936	526	855	702	516	497	1149	640	595	207	845	340	217	539	124	687	450	408	422	430	265	520	417	663	924	988	88	914	892	590	331	416	729	431	593	235	350	485	261	1024	982	182	595					
7	Число избирательных бюллетеней в переносных ящиках	1384	53	23	13	30	30	13	20	17	9	14	15	4	12	16	31	38	32	17	17	27	16	20	5	9	7	15	21	24	27	17	6	3	17	60	24	7	17	8	13	18	27	30	30	18	14	37	33	16	31	12	21	28	15	30	41	22	17	85	40	30	22	20					
8	Число бюллетеней в стационарных ящиках для голосования	60321	844	806	436	965	1138	1053	671	1104	989	520	361	522	656	807	1250	1094	1293	881	557	1537	958	1125	993	675	895	1236	1339	1181	2166	938	1253	430	1144	1916	889	942	675	570	1557	717	852	653	1005	1056	998	525	1553	1292	1779	757	863	1042	854	1074	1024	626	898	504	1235	1167	796	685					
9	Число недействительных избирательных бюллетеней	390	9	4	2	3	0	2	9	7	0	3	2	4	0	3	4	7	4	6	9	13	11	8	12	2	6	15	11	8	3	3	0	3	11	26	4	1	5	4	9	1	4	2	13	3	13	5	10	10	19	4	3	5	1	2	6	2	11	4	12	9	10	8					
10	Число действительных избирательных бюллетеней	61315	888	825	447	992	1168	1064	682	1114	998	531	374	522	668	820	1277	1125	1321	892	565	1551	963	1137	986	682	896	1236	1349	1197	2190	952	1259	430	1150	1950	909	948	687	574	1561	734	875	681	1022	1071	999	557	1576	1298	1791	765	881	1065	868	1102	1059	646	904	585	1263	1188	808	697					
11	Число полученных открепительных  удостоверений	1300	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	80	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
