Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Тбилисская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №4801	УИК №4802	УИК №4803	УИК №4804	УИК №4805	УИК №4806	УИК №4807	УИК №4808	УИК №4809	УИК №4810	УИК №4811	УИК №4812	УИК №4813	УИК №4814	УИК №4815	УИК №4816	УИК №4817	УИК №4818	УИК №4819	УИК №4820	УИК №4821	УИК №4822	УИК №4823	УИК №4824	УИК №4825	УИК №4826	УИК №4827	УИК №4828	УИК №4829	УИК №4830	УИК №4831	УИК №4832	УИК №4833	УИК №4834	УИК №4835	УИК №4836	УИК №4837	УИК №4838	УИК №4839	УИК №4840	УИК №4841	УИК №4842					
1	"Число избирателей, внесенных в список"	37064	2056	1060	1392	1504	1209	847	1548	1228	2616	1785	1255	1847	274	1335	108	128	277	1113	214	171	87	238	1004	952	1352	444	1371	123	428	1254	129	1506	714	841	174	468	196	1652	368	386	955	455					
2	Число полученных избирательных бюллетеней	34290	1918	987	1289	1382	1102	808	1483	1126	2387	1658	1182	1693	248	1237	99	123	257	1019	195	159	83	214	923	881	1256	412	1262	116	395	1160	122	1371	658	774	164	424	177	1552	335	360	886	413					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22221	1269	597	789	901	688	505	938	756	1393	1047	728	1081	163	907	74	105	184	681	175	115	64	168	545	590	795	262	962	80	227	690	88	883	378	481	115	235	134	1063	273	284	495	313					
5	"Число избирательных бюллетеней, выданных вне помещения"	1418	49	40	67	51	28	30	38	63	55	47	27	72	15	33	5	0	0	6	0	5	7	0	27	29	41	24	34	7	52	40	8	42	35	106	20	106	0	110	0	11	76	12					
6	Число погашенных избирательных бюллетеней	10651	600	350	433	430	386	273	507	307	939	564	427	540	70	297	20	18	73	332	20	39	12	46	351	262	420	126	266	29	116	430	26	446	245	187	29	83	43	379	62	65	315	88					
7	Число избирательных бюллетеней в переносных ящиках	1418	49	40	67	51	28	30	38	63	55	47	27	72	15	33	5	0	0	6	0	5	7	0	27	29	41	24	34	7	52	40	8	42	35	106	20	106	0	110	0	11	76	12					
8	Число бюллетеней в стационарных ящиках для голосования	22215	1269	597	789	901	688	505	938	756	1393	1047	727	1078	163	907	74	105	184	681	175	115	64	168	545	590	795	262	962	79	227	689	88	883	378	481	115	235	134	1063	273	284	495	313					
9	Число недействительных избирательных бюллетеней	165	8	3	4	5	3	6	11	3	0	6	10	12	2	9	0	0	1	5	1	0	1	2	7	1	5	4	9	0	4	5	2	5	4	8	0	0	2	7	1	1	4	4					
10	Число действительных избирательных бюллетеней	23468	1310	634	852	947	713	529	965	816	1448	1088	744	1138	176	931	79	105	183	682	174	120	70	166	565	618	831	282	987	86	275	724	94	920	409	579	135	341	132	1166	272	294	567	321					
11	Число полученных открепительных  удостоверений	400	20	10	15	10	15	10	10	10	20	15	12	15	5	20	5	5	6	10	5	5	4	4	10	10	15	5	15	4	5	10	4	15	4	10	4	5	4	15	4	5	20	5					
12	Число выданных открепительных удостоверений	162	11	3	2	4	9	9	9	3	9	6	7	11	0	13	1	3	2	0	0	1	0	0	0	2	8	0	5	0	0	5	2	1	2	5	0	3	0	5	0	4	13	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	119	4	2	2	3	9	1	11	3	5	6	4	3	1	10	2	3	3	3	6	1	0	0	3	1	2	0	6	0	0	2	2	3	1	3	0	1	1	3	1	0	3	5					
14	Число неиспользованных открепительных удостоверений	238	9	7	13	6	6	1	1	7	11	9	5	4	5	7	4	2	4	10	5	4	4	4	10	8	7	5	10	4	5	5	2	14	2	5	4	2	4	10	4	1	7	1					
15	"Число открепительных удостоверений, выданных в ТИК"	13	4	0	0	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	767	44	17	26	48	34	13	43	44	50	41	22	43	7	30	0	0	5	38	3	0	2	3	14	24	26	11	25	0	10	21	0	19	9	17	1	9	7	40	0	8	11	2					
		3.25%	3.34%	2.67%	3.04%	5.04%	4.75%	2.43%	4.41%	5.37%	3.45%	3.75%	2.92%	3.74%	3.93%	3.19%	0.00%	0.00%	2.72%	5.53%	1.71%	0.00%	2.82%	1.79%	2.45%	3.88%	3.11%	3.85%	2.51%	0.00%	3.58%	2.88%	0.00%	2.05%	2.18%	2.90%	0.74%	2.64%	5.22%	3.41%	0.00%	2.71%	1.93%	0.62%					
19	. Малышкин Олег Александрович	629	36	21	24	25	22	22	24	12	47	27	19	23	7	15	1	3	2	22	1	0	2	12	13	24	21	7	21	1	20	18	6	18	18	7	3	5	14	20	8	11	15	12					
		2.66%	2.73%	3.30%	2.80%	2.63%	3.07%	4.11%	2.46%	1.47%	3.25%	2.47%	2.52%	2.00%	3.93%	1.60%	1.27%	2.86%	1.09%	3.20%	0.57%	0.00%	2.82%	7.14%	2.27%	3.88%	2.51%	2.45%	2.11%	1.16%	7.17%	2.47%	6.25%	1.95%	4.36%	1.19%	2.22%	1.47%	10.45%	1.71%	2.93%	3.73%	2.63%	3.69%					
20	. Миронов Сергей Михайлович	136	12	1	1	5	3	2	4	6	1	10	4	12	3	6	0	0	1	2	4	4	0	3	1	7	6	2	7	0	1	9	0	3	2	4	1	0	1	4	1	0	2	1					
		0.58%	0.91%	0.16%	0.12%	0.53%	0.42%	0.37%	0.41%	0.73%	0.07%	0.91%	0.53%	1.04%	1.69%	0.64%	0.00%	0.00%	0.54%	0.29%	2.29%	3.33%	0.00%	1.79%	0.17%	1.13%	0.72%	0.70%	0.70%	0.00%	0.36%	1.23%	0.00%	0.32%	0.48%	0.68%	0.74%	0.00%	0.75%	0.34%	0.37%	0.00%	0.35%	0.31%					
21	. Путин Владимир Владимирович	15665	819	402	597	599	466	341	659	551	939	742	524	789	129	674	62	79	113	401	146	101	53	119	387	366	557	216	673	72	156	422	80	609	267	449	105	289	89	663	154	181	388	237					
		66.28%	62.14%	63.11%	69.74%	62.92%	65.08%	63.74%	67.52%	67.28%	64.85%	67.82%	69.50%	68.61%	72.47%	71.70%	78.48%	75.24%	61.41%	58.37%	83.43%	84.17%	74.65%	70.83%	67.66%	59.13%	66.63%	75.52%	67.57%	83.72%	55.91%	57.89%	83.33%	65.84%	64.65%	76.49%	77.78%	84.75%	66.42%	56.52%	56.41%	61.36%	67.95%	72.92%					
22	. Хакамада Ирина Муцуовна	434	33	12	12	15	14	6	25	20	37	24	16	17	2	14	1	2	1	21	2	4	1	3	16	11	19	5	24	0	4	12	3	11	8	6	3	2	1	15	2	3	5	2					
		1.84%	2.50%	1.88%	1.40%	1.58%	1.96%	1.12%	2.56%	2.44%	2.56%	2.19%	2.12%	1.48%	1.12%	1.49%	1.27%	1.90%	0.54%	3.06%	1.14%	3.33%	1.41%	1.79%	2.80%	1.78%	2.27%	1.75%	2.41%	0.00%	1.43%	1.65%	3.12%	1.19%	1.94%	1.02%	2.22%	0.59%	0.75%	1.28%	0.73%	1.02%	0.88%	0.62%					
23	. Харитонов Николай Михайлович	5295	320	157	161	230	154	128	181	164	334	229	150	226	23	173	13	21	61	168	18	10	12	22	124	170	184	37	219	13	78	227	5	240	99	86	18	32	18	403	100	87	135	65					
		22.41%	24.28%	24.65%	18.81%	24.16%	21.51%	23.93%	18.55%	20.02%	23.07%	20.93%	19.89%	19.65%	12.92%	18.40%	16.46%	20.00%	33.15%	24.45%	10.29%	8.33%	16.90%	13.10%	21.68%	27.46%	22.01%	12.94%	21.99%	15.12%	27.96%	31.14%	5.21%	25.95%	23.97%	14.65%	13.33%	9.38%	13.43%	34.36%	36.63%	29.49%	23.64%	20.00%					
																																																	
24	Против всех	542	46	24	31	25	20	17	29	19	40	15	9	28	5	19	2	0	0	30	0	1	0	4	10	16	18	4	18	0	6	15	0	20	6	10	4	4	2	21	7	4	11	2					
		2.29%	3.49%	3.77%	3.62%	2.63%	2.79%	3.18%	2.97%	2.32%	2.76%	1.37%	1.19%	2.43%	2.81%	2.02%	2.53%	0.00%	0.00%	4.37%	0.00%	0.83%	0.00%	2.38%	1.75%	2.58%	2.15%	1.40%	1.81%	0.00%	2.15%	2.06%	0.00%	2.16%	1.45%	1.70%	2.96%	1.17%	1.49%	1.79%	2.56%	1.36%	1.93%	0.62%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
