Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Ачинская городская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №2146					
1	"Число избирателей, внесенных в список"	91123	2741	2731	2599	2807	2536	770	2387	1588	1291	1024	2286	2372	2741	2903	2518	2697	2561	2520	2231	2709	2534	2532	2082	2288	2462	2719	2673	2703	2826	2794	2443	1726	2537	2268	2641	2279	2762	890	79	166	1395	312					
2	Число полученных избирательных бюллетеней	83956	2500	2500	2400	2600	2300	700	2200	1500	1200	1000	2100	2200	2500	2700	2300	2500	2300	2300	2100	2500	2400	2300	1900	2100	2300	2500	2400	2500	2600	2600	2200	1600	2300	2100	2400	2100	2500	800	102	202	1300	352					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	40529	1099	1086	1012	1287	1259	253	826	533	540	327	833	906	1281	1581	1408	1339	1237	1297	1118	1101	1176	1274	1015	1026	1161	1289	1407	1306	1284	1173	762	543	1147	1051	1178	1026	1069	284	52	55	616	312					
5	"Число избирательных бюллетеней, выданных вне помещения"	1463	34	28	14	7	39	20	63	29	23	50	37	44	53	22	28	33	43	44	34	19	34	34	34	68	84	23	54	27	16	16	21	14	21	34	35	21	11	104	27	111	10	0					
6	Число погашенных избирательных бюллетеней	41964	1367	1386	1374	1306	1002	427	1311	938	637	623	1230	1250	1166	1097	864	1128	1020	959	948	1380	1190	992	851	1006	1055	1188	939	1167	1300	1411	1417	1043	1132	1015	1187	1053	1420	412	23	36	674	40					
7	Число избирательных бюллетеней в переносных ящиках	1462	34	28	14	7	39	20	63	29	23	50	37	44	53	22	27	33	43	44	34	19	34	34	34	68	84	23	54	27	16	16	21	14	21	34	35	21	11	104	27	111	10	0					
8	Число бюллетеней в стационарных ящиках для голосования	40525	1099	1086	1012	1287	1259	253	826	533	540	327	833	906	1281	1581	1408	1339	1237	1296	1118	1101	1176	1274	1015	1026	1161	1289	1407	1306	1284	1173	762	543	1147	1051	1177	1024	1069	284	52	55	616	312					
9	Число недействительных избирательных бюллетеней	308	11	4	13	10	16	4	10	5	7	2	6	8	8	12	5	8	13	15	12	8	11	8	5	4	8	13	6	8	12	7	9	5	5	6	5	4	7	5	0	1	2	0					
10	Число действительных избирательных бюллетеней	41679	1122	1110	1013	1284	1282	269	879	557	556	375	864	942	1326	1591	1430	1364	1267	1325	1140	1112	1199	1300	1044	1090	1237	1299	1455	1325	1288	1182	774	552	1163	1079	1207	1041	1073	383	79	165	624	312					
