Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Ачинская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837					
1	"Число избирателей, внесенных в список"	12027	1239	206	538	214	148	745	543	374	138	2178	281	1377	976	334	664	832	193	1047					
2	Число полученных избирательных бюллетеней	11967	1237	202	532	201	147	738	545	376	138	2123	323	1385	974	330	656	835	179	1046					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5757	595	132	321	123	59	320	260	166	70	974	167	539	410	185	295	483	65	593					
5	"Число избирательных бюллетеней, выданных вне помещения"	828	131	16	8	7	40	73	13	15	11	44	54	127	9	37	142	29	65	7					
6	Число погашенных избирательных бюллетеней	5382	511	54	203	71	48	345	272	195	57	1105	102	719	555	108	219	323	49	446					
7	Число избирательных бюллетеней в переносных ящиках	828	131	16	8	7	40	73	13	15	11	44	54	127	9	37	142	29	65	7					
8	Число бюллетеней в стационарных ящиках для голосования	5757	595	132	321	123	59	320	260	166	70	974	167	539	410	185	295	483	65	593					
9	Число недействительных избирательных бюллетеней	80	7	0	2	1	1	3	3	2	1	14	3	11	5	4	8	6	0	9					
10	Число действительных избирательных бюллетеней	6505	719	148	327	129	98	390	270	179	80	1004	218	655	414	218	429	506	130	591					
11	Число полученных открепительных  удостоверений	139	9	3	6	3	2	9	6	4	2	23	4	18	12	4	9	10	2	13					
12	Число выданных открепительных удостоверений	39	5	1	0	0	0	2	6	1	0	7	0	2	0	0	2	10	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	4	0	1	4	0	0	3	1	0	3	0	3	1	0	4	4	10	4					
14	Число неиспользованных открепительных удостоверений	100	4	2	6	3	2	7	0	3	2	16	4	16	12	4	7	0	2	10					
15	"Число открепительных удостоверений, выданных в ТИК"	11	2	0	0	0	0	0	0	0	0	2	1	0	3	0	1	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	1086	119	6	49	20	12	77	53	20	5	266	12	135	55	44	70	79	12	52					
		16.49%	16.39%	4.05%	14.89%	15.38%	12.12%	19.59%	19.41%	11.05%	6.17%	26.13%	5.43%	20.27%	13.13%	19.82%	16.02%	15.43%	9.23%	8.67%					
19	. Малышкин Олег Александрович	262	33	3	9	6	2	18	13	8	0	35	30	28	21	5	4	21	6	20					
		3.98%	4.55%	2.03%	2.74%	4.62%	2.02%	4.58%	4.76%	4.42%	0.00%	3.44%	13.57%	4.20%	5.01%	2.25%	0.92%	4.10%	4.62%	3.33%					
20	. Миронов Сергей Михайлович	47	6	0	1	0	0	1	1	2	1	8	0	10	2	1	7	2	1	4					
		0.71%	0.83%	0.00%	0.30%	0.00%	0.00%	0.25%	0.37%	1.10%	1.23%	0.79%	0.00%	1.50%	0.48%	0.45%	1.60%	0.39%	0.77%	0.67%					
21	. Путин Владимир Владимирович	3680	444	128	197	82	59	234	153	112	47	454	141	276	218	115	228	268	90	434					
		55.88%	61.16%	86.49%	59.88%	63.08%	59.60%	59.54%	56.04%	61.88%	58.02%	44.60%	63.80%	41.44%	52.03%	51.80%	52.17%	52.34%	69.23%	72.33%					
22	. Хакамада Ирина Муцуовна	160	10	0	5	5	2	7	14	4	1	34	1	16	13	2	16	16	2	12					
		2.43%	1.38%	0.00%	1.52%	3.85%	2.02%	1.78%	5.13%	2.21%	1.23%	3.34%	0.45%	2.40%	3.10%	0.90%	3.66%	3.12%	1.54%	2.00%					
23	. Харитонов Николай Михайлович	1059	85	9	54	11	20	42	27	24	25	169	31	171	90	44	89	101	18	49					
		16.08%	11.71%	6.08%	16.41%	8.46%	20.20%	10.69%	9.89%	13.26%	30.86%	16.60%	14.03%	25.68%	21.48%	19.82%	20.37%	19.73%	13.85%	8.17%					
																									
24	Против всех	211	22	2	12	5	3	11	9	9	1	38	3	19	15	7	15	19	1	20					
		3.20%	3.03%	1.35%	3.65%	3.85%	3.03%	2.80%	3.30%	4.97%	1.23%	3.73%	1.36%	2.85%	3.58%	3.15%	3.43%	3.71%	0.77%	3.33%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
