Выборы Президента Российской Федерации																																																					
Дата голосования: 02.03.2008																																																					
																																																					
Наименование Избирательной комиссии:    Ужурская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
	Число участковых избирательных комиссий	46																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	46																																																			
																																																					
		Сумма	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2147	УИК №2148	УИК №2149	УИК №2150					
1	"Число избирателей, включенных в списки избирателей"	24668	2648	1392	761	1030	1063	1655	1125	1232	1531	995	286	615	170	586	1030	181	141	249	137	101	180	142	251	1031	205	85	267	715	114	198	576	168	234	401	125	113	334	261	838	189	108	787	108	99	133	78					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23973	2400	1303	769	1032	1030	1642	1131	1238	1495	975	268	589	168	667	992	182	127	231	133	96	163	132	230	981	202	98	267	719	109	189	605	153	226	398	125	102	332	253	826	175	102	738	100	100	115	65					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	14247	1516	531	287	566	577	825	618	607	636	561	138	440	131	501	697	143	87	176	110	71	132	115	152	603	151	74	140	392	102	151	346	92	165	244	114	98	245	195	467	160	90	445	97	92	106	61					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1213	59	138	19	17	40	42	60	45	38	32	66	33	11	56	83	0	14	24	10	21	17	0	51	26	15	2	34	21	0	7	17	40	4	12	0	0	0	4	102	0	9	41	0	0	3	0					
6	Число погашенных избирательных бюллетеней	8513	825	634	463	449	413	775	453	586	821	382	64	116	26	110	212	39	26	31	13	4	14	17	27	352	36	22	93	306	7	31	242	21	57	142	11	4	87	54	257	15	3	252	3	8	6	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1213	59	138	19	17	40	42	60	45	38	32	66	33	11	56	83	0	14	24	10	21	17	0	51	26	15	2	34	21	0	7	17	40	4	12	0	0	0	4	102	0	9	41	0	0	3	0					
8	Число бюллетеней в стационарных ящиках для голосования	14247	1516	531	287	566	577	825	618	607	636	561	138	440	131	501	697	143	87	176	110	71	132	115	152	603	151	74	140	392	102	151	346	92	165	244	114	98	245	195	467	160	90	445	97	92	106	61					
9	Число недействительных избирательных бюллетеней	131	11	6	3	5	18	6	14	8	4	2	0	4	3	2	10	0	0	0	0	0	0	0	0	2	3	0	4	6	1	0	2	0	1	0	0	0	3	1	0	0	1	7	1	0	2	1					
10	Число действительных избирательных бюллетеней	15329	1564	663	303	578	599	861	664	644	670	591	204	469	139	555	770	143	101	200	120	92	149	115	203	627	163	76	170	407	101	158	361	132	168	256	114	98	242	198	569	160	98	479	96	92	107	60					
11	Число полученных открепительных  удостоверений	290	20	10	5	15	10	24	7	8	8	10	5	5	5	5	5	5	2	5	5	5	5	5	5	10	5	5	5	5	5	3	5	3	3	7	3	3	5	5	12	4	5	10	2	2	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	169	20	7	3	15	6	21	3	8	6	9	0	2	0	2	3	1	0	1	1	1	4	1	1	6	0	0	0	5	1	2	5	0	0	7	0	0	3	1	11	2	2	6	0	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	146	12	3	1	9	5	3	0	8	10	3	1	2	0	2	4	1	2	0	0	1	2	0	2	5	1	1	0	1	1	1	2	3	1	3	4	3	1	4	4	0	2	34	1	2	0	1					
14	Число неиспользованных открепительных удостоверений	121	0	3	2	0	4	3	4	0	2	1	5	3	5	3	2	4	2	4	4	4	1	4	4	4	5	5	5	0	4	1	0	3	3	0	3	3	2	4	1	2	3	4	2	1	0	2					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	3	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	Богданов Андрей Владимирович	153	25	4	2	4	20	9	3	4	6	4	1	4	0	6	6	0	1	0	0	0	0	0	0	8	5	1	0	7	0	1	1	0	3	8	3	1	2	0	6	0	0	7	0	1	0	0					
		0.99%	1.59%	0.60%	0.65%	0.69%	3.24%	1.04%	0.44%	0.61%	0.89%	0.67%	0.49%	0.85%	0.00%	1.08%	0.77%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	3.01%	1.32%	0.00%	1.69%	0.00%	0.63%	0.28%	0.00%	1.78%	3.13%	2.63%	1.02%	0.82%	0.00%	1.05%	0.00%	0.00%	1.44%	0.00%	1.09%	0.00%	0.00%					
19	Жириновский Владимир Вольфович	2284	280	116	79	70	88	121	105	101	82	117	28	54	32	66	114	31	23	27	12	5	16	13	17	69	31	24	30	56	22	24	41	24	27	48	12	21	41	19	56	26	25	46	7	13	14	11					
		14.77%	17.78%	17.34%	25.82%	12.01%	14.26%	13.96%	15.49%	15.49%	12.17%	19.73%	13.73%	11.42%	22.54%	11.85%	14.62%	21.68%	22.77%	13.50%	10.00%	5.43%	10.74%	11.30%	8.37%	10.97%	18.67%	31.58%	17.24%	13.56%	21.57%	15.19%	11.29%	18.18%	15.98%	18.75%	10.53%	21.43%	16.73%	9.55%	9.84%	16.25%	25.25%	9.47%	7.22%	14.13%	12.84%	18.03%					
