Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Шарыповская городская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694					
1	"Число избирателей, внесенных в список"	38056	2137	1367	2421	2427	2680	2201	2139	2036	1838	2283	1971	1119	2188	2603	661	1133	2169	2600	2083					
2	Число полученных избирательных бюллетеней	36300	2000	1200	2100	2200	2500	2000	2000	2000	2000	2100	2000	1200	2100	2500	700	1100	2000	2500	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18897	958	701	1117	1166	1372	1174	1122	1099	1011	1136	1029	564	1139	1107	239	636	933	1205	1189					
5	"Число избирательных бюллетеней, выданных вне помещения"	671	87	4	98	18	12	11	21	20	5	13	12	11	10	43	129	76	55	24	22					
6	Число погашенных избирательных бюллетеней	16732	955	495	885	1016	1116	815	857	881	984	951	959	625	951	1350	332	388	1012	1271	889					
7	Число избирательных бюллетеней в переносных ящиках	671	87	4	98	18	12	11	21	20	5	13	12	11	10	43	129	76	55	24	22					
8	Число бюллетеней в стационарных ящиках для голосования	18890	954	701	1117	1166	1372	1174	1122	1099	1011	1135	1029	564	1139	1107	239	635	932	1205	1189					
9	Число недействительных избирательных бюллетеней	80	6	6	6	5	2	8	4	5	2	0	0	6	2	4	3	4	7	6	4					
10	Число действительных избирательных бюллетеней	19481	1035	699	1209	1179	1382	1177	1139	1114	1014	1148	1041	569	1147	1146	365	707	980	1223	1207					
11	Число полученных открепительных  удостоверений	380	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	170	6	3	19	7	10	9	12	10	8	10	15	6	15	10	3	2	8	10	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	5	1	7	3	3	6	2	6	4	6	5	2	3	7	1	0	2	3	4					
14	Число неиспользованных открепительных удостоверений	210	14	17	1	13	10	11	8	10	12	10	5	14	5	10	17	18	12	10	13					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	0	1	0	4	1	2	1	0	0	0	0	2	1	0	0	1	2	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	5459	323	241	365	320	407	325	348	266	213	312	286	172	266	288	49	258	269	340	411					
		27.91%	31.03%	34.18%	30.04%	27.03%	29.41%	27.43%	30.45%	23.77%	20.96%	27.18%	27.47%	29.91%	23.15%	25.04%	13.32%	36.29%	27.25%	27.66%	33.94%					
19	. Малышкин Олег Александрович	555	22	21	36	28	30	21	29	29	22	29	43	17	31	28	9	21	46	46	47					
		2.84%	2.11%	2.98%	2.96%	2.36%	2.17%	1.77%	2.54%	2.59%	2.17%	2.53%	4.13%	2.96%	2.70%	2.43%	2.45%	2.95%	4.66%	3.74%	3.88%					
20	. Миронов Сергей Михайлович	113	5	5	6	11	4	4	8	7	6	5	4	4	6	3	10	6	3	11	5					
		0.58%	0.48%	0.71%	0.49%	0.93%	0.29%	0.34%	0.70%	0.63%	0.59%	0.44%	0.38%	0.70%	0.52%	0.26%	2.72%	0.84%	0.30%	0.90%	0.41%					
21	. Путин Владимир Владимирович	9874	454	310	609	641	706	631	590	519	594	614	528	282	661	637	236	275	485	626	476					
		50.48%	43.61%	43.97%	50.12%	54.14%	51.01%	53.25%	51.62%	46.38%	58.46%	53.48%	50.72%	49.04%	57.53%	55.39%	64.13%	38.68%	49.14%	50.94%	39.31%					
22	. Хакамада Ирина Муцуовна	519	15	23	30	29	42	34	29	39	28	31	28	12	35	29	3	19	29	26	38					
		2.65%	1.44%	3.26%	2.47%	2.45%	3.03%	2.87%	2.54%	3.49%	2.76%	2.70%	2.69%	2.09%	3.05%	2.52%	0.82%	2.67%	2.94%	2.12%	3.14%					
23	. Харитонов Николай Михайлович	2243	200	67	127	108	136	107	83	215	124	111	107	55	100	107	45	105	125	137	184					
		11.47%	19.21%	9.50%	10.45%	9.12%	9.83%	9.03%	7.26%	19.21%	12.20%	9.67%	10.28%	9.57%	8.70%	9.30%	12.23%	14.77%	12.66%	11.15%	15.19%					
																										
24	Против всех	718	16	32	36	42	57	55	52	39	27	46	45	27	48	54	13	23	23	37	46					
		3.67%	1.54%	4.54%	2.96%	3.55%	4.12%	4.64%	4.55%	3.49%	2.66%	4.01%	4.32%	4.70%	4.18%	4.70%	3.53%	3.23%	2.33%	3.01%	3.80%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
