Выборы Президента Российской Федерации																																															
Дата голосования: 18.03.2018																																															
																																															
Наименование Избирательной комиссии:    Белозерская																																															
																																															
Сводная таблица итогов голосования																																															
																																															
	Число участковых избирательных комиссий	36																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	36																																													
																																															
		Сумма	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №212	УИК №213	УИК №214	УИК №215	УИК №217	УИК №218	УИК №219	УИК №221	УИК №222	УИК №223	УИК №224	УИК №226	УИК №227	УИК №230	УИК №232	УИК №234	УИК №236	УИК №238	УИК №239	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №247	УИК №249	УИК №250	УИК №251	УИК №252	УИК №254	УИК №255									
1	"Число избирателей, включенных в список избирателей"	13388	208	77	1104	1014	1111	658	320	626	320	527	190	250	172	263	106	274	202	469	235	243	494	165	559	184	264	127	117	375	426	139	634	190	293	317	322	413									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13000	200	80	1000	1000	1000	650	300	600	300	550	200	250	180	250	90	280	200	450	250	250	500	170	570	180	250	130	100	350	400	150	650	190	280	300	300	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7315	122	47	652	530	625	396	154	295	167	272	84	123	111	131	64	153	85	253	140	122	253	62	279	113	147	80	74	230	234	95	341	68	178	185	190	260									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1489	17	9	33	69	33	37	41	90	27	96	25	69	23	45	19	38	59	68	42	54	85	39	66	21	23	18	16	37	74	13	48	25	28	34	29	39									
6	Число погашенных избирательных бюллетеней	4196	61	24	315	401	342	217	105	215	106	182	91	58	46	74	7	89	56	129	68	74	162	69	225	46	80	32	10	83	92	42	261	97	74	81	81	101									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1488	17	9	33	69	33	37	41	90	27	96	25	69	23	45	19	38	59	68	42	54	85	39	66	21	23	18	16	37	74	13	48	25	28	33	29	39									
8	Число бюллетеней в стационарных ящиках для голосования	7315	122	47	652	530	625	396	154	295	167	272	84	123	111	131	64	153	85	253	140	122	253	62	279	113	147	80	74	230	234	95	341	68	178	185	190	260									
9	Число недействительных избирательных бюллетеней	81	2	2	3	2	12	4	3	2	0	9	0	1	0	1	0	0	0	6	1	1	6	2	0	1	1	2	0	4	0	0	3	0	1	4	6	2									
10	Число действительных избирательных бюллетеней	8722	137	54	682	597	646	429	192	383	194	359	109	191	134	175	83	191	144	315	181	175	332	99	345	133	169	96	90	263	308	108	386	93	205	214	213	297									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
13	Бабурин Сергей Николаевич	42	2	0	4	2	2	1	0	2	0	2	0	0	3	0	0	2	1	0	1	2	3	0	0	0	1	0	0	4	1	0	0	1	1	2	4	1									
		0.48%	1.44%	0.00%	0.58%	0.33%	0.30%	0.23%	0.00%	0.52%	0.00%	0.54%	0.00%	0.00%	2.24%	0.00%	0.00%	1.05%	0.69%	0.00%	0.55%	1.14%	0.89%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	1.50%	0.32%	0.00%	0.00%	1.08%	0.49%	0.92%	1.83%	0.33%									
14	Грудинин Павел Николаевич	1076	8	9	124	78	85	58	10	53	11	52	7	15	15	6	8	25	7	33	27	40	34	9	63	22	9	3	16	22	36	12	67	4	10	11	33	54									
		12.22%	5.76%	16.07%	18.10%	13.02%	12.92%	13.39%	5.13%	13.77%	5.67%	14.13%	6.42%	7.81%	11.19%	3.41%	9.64%	13.09%	4.86%	10.28%	14.84%	22.73%	10.06%	8.91%	18.26%	16.42%	5.29%	3.06%	17.78%	8.24%	11.69%	11.11%	17.22%	4.30%	4.85%	5.05%	15.07%	18.06%									
15	Жириновский Владимир Вольфович	833	8	5	56	61	67	44	10	42	12	21	10	17	13	14	5	15	20	27	17	15	34	9	51	12	17	12	6	24	35	13	33	11	25	20	25	27									
		9.46%	5.76%	8.93%	8.18%	10.18%	10.18%	10.16%	5.13%	10.91%	6.19%	5.71%	9.17%	8.85%	9.70%	7.95%	6.02%	7.85%	13.89%	8.41%	9.34%	8.52%	10.06%	8.91%	14.78%	8.96%	10.00%	12.24%	6.67%	8.99%	11.36%	12.04%	8.48%	11.83%	12.14%	9.17%	11.42%	9.03%									
16	Путин Владимир Владимирович	6628	115	39	488	445	484	307	168	278	169	277	89	158	102	152	70	142	116	253	134	113	257	78	228	97	141	80	68	206	230	81	283	77	166	178	149	210									
		75.29%	82.73%	69.64%	71.24%	74.29%	73.56%	70.90%	86.15%	72.21%	87.11%	75.27%	81.65%	82.29%	76.12%	86.36%	84.34%	74.35%	80.56%	78.82%	73.63%	64.20%	76.04%	77.23%	66.09%	72.39%	82.94%	81.63%	75.56%	77.15%	74.68%	75.00%	72.75%	82.80%	80.58%	81.65%	68.04%	70.23%									
17	Собчак Ксения Анатольевна	53	2	0	3	5	4	8	2	4	1	3	0	0	1	2	0	4	0	0	1	0	0	2	0	0	0	0	0	1	4	0	3	0	0	2	0	1									
		0.60%	1.44%	0.00%	0.44%	0.83%	0.61%	1.85%	1.03%	1.04%	0.52%	0.82%	0.00%	0.00%	0.75%	1.14%	0.00%	2.09%	0.00%	0.00%	0.55%	0.00%	0.00%	1.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	1.30%	0.00%	0.77%	0.00%	0.00%	0.92%	0.00%	0.33%									
18	Сурайкин Максим Александрович	41	1	1	3	0	0	3	1	3	0	3	0	0	0	0	0	1	0	2	1	5	1	0	1	2	0	1	0	4	2	0	0	0	3	1	1	1									
