Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Макушинская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646					
1	"Число избирателей, внесенных в список"	17335	1752	1547	1490	1052	815	927	261	178	99	452	116	99	71	528	146	155	101	653	796	613	438	328	137	233	317	441	137	330	76	651	101	117	501	231	448	101	201	241	331	83	41					
2	Число полученных избирательных бюллетеней	17683	1778	1534	1485	1064	850	940	270	185	100	470	118	97	75	545	152	153	105	660	825	630	446	335	140	235	325	450	135	337	76	660	103	118	514	230	450	105	205	306	342	90	45					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11566	978	673	771	535	411	555	227	150	94	326	95	94	62	422	136	125	88	459	618	495	353	237	99	192	270	311	101	287	70	442	72	87	347	203	375	84	168	209	240	71	34					
5	"Число избирательных бюллетеней, выданных вне помещения"	767	92	76	106	74	78	38	15	9	0	19	0	0	0	0	0	0	6	45	0	0	20	18	9	0	0	34	5	4	5	37	0	0	36	0	0	0	0	32	9	0	0					
6	Число погашенных избирательных бюллетеней	5350	708	785	608	455	361	347	28	26	6	125	23	3	13	123	16	28	11	156	207	135	73	80	32	43	55	105	29	46	1	181	31	31	131	27	75	21	37	65	93	19	11					
7	Число избирательных бюллетеней в переносных ящиках	767	92	76	106	74	78	38	15	9	0	19	0	0	0	0	0	0	6	45	0	0	20	18	9	0	0	34	5	4	5	37	0	0	36	0	0	0	0	32	9	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11566	978	673	771	535	411	555	227	150	94	326	95	94	62	422	136	125	88	459	618	495	353	237	99	192	270	311	101	287	70	442	72	87	347	203	375	84	168	209	240	71	34					
9	Число недействительных избирательных бюллетеней	74	4	11	12	3	6	1	1	0	0	6	2	0	0	0	0	3	0	2	2	2	1	4	0	0	0	3	1	2	0	4	0	0	1	0	2	0	0	1	0	0	0					
10	Число действительных избирательных бюллетеней	12259	1066	738	865	606	483	592	241	159	94	339	93	94	62	422	136	122	94	502	616	493	372	251	108	192	270	342	105	289	75	475	72	87	382	203	373	84	168	240	249	71	34					
11	Число полученных открепительных  удостоверений	447	42	39	38	27	21	24	7	5	3	12	3	3	2	14	4	4	3	17	21	16	11	8	4	6	8	11	3	8	2	17	3	3	13	6	11	3	5	8	9	2	1					
12	Число выданных открепительных удостоверений	105	17	8	14	2	1	4	4	1	0	3	0	0	0	10	0	1	2	5	7	2	5	0	0	0	0	8	1	1	0	2	0	0	2	0	3	0	0	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	0	3	8	3	0	0	3	1	1	3	2	0	0	2	0	2	0	0	0	2	2	1	0	2	0	1	1	2	1	3	1	2	1	1	3	1	4	1	2	2	0					
14	Число неиспользованных открепительных удостоверений	342	25	31	24	25	20	20	3	4	3	9	3	3	2	4	4	3	1	12	14	14	6	8	4	6	8	3	2	7	2	15	3	3	11	6	8	3	5	8	7	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	322	35	25	44	11	16	9	8	3	0	6	3	6	1	9	8	3	0	2	15	8	8	2	0	1	5	13	5	17	1	7	3	2	12	6	13	0	3	5	7	0	0					
		2.61%	3.27%	3.34%	5.02%	1.81%	3.27%	1.52%	3.31%	1.89%	0.00%	1.74%	3.16%	6.38%	1.61%	2.13%	5.88%	2.40%	0.00%	0.40%	2.43%	1.62%	2.14%	0.78%	0.00%	0.52%	1.85%	3.77%	4.72%	5.84%	1.33%	1.46%	4.17%	2.30%	3.13%	2.96%	3.47%	0.00%	1.79%	2.07%	2.81%	0.00%	0.00%					
19	. Малышкин Олег Александрович	579	48	26	39	20	29	26	7	7	1	9	3	13	2	18	18	15	3	15	19	37	40	2	5	9	6	19	8	21	5	19	3	3	15	21	10	6	3	9	12	8	0					
		4.69%	4.49%	3.47%	4.45%	3.28%	5.93%	4.38%	2.89%	4.40%	1.06%	2.61%	3.16%	13.83%	3.23%	4.27%	13.24%	12.00%	3.19%	2.98%	3.07%	7.47%	10.72%	0.78%	4.63%	4.69%	2.22%	5.51%	7.55%	7.22%	6.67%	3.97%	4.17%	3.45%	3.92%	10.34%	2.67%	7.14%	1.79%	3.73%	4.82%	11.27%	0.00%					
20	. Миронов Сергей Михайлович	107	21	11	6	2	4	4	1	0	4	4	0	0	0	7	0	0	0	4	3	2	5	2	0	0	0	3	0	1	2	6	0	2	3	1	3	0	0	3	1	2	0					
		0.87%	1.96%	1.47%	0.68%	0.33%	0.82%	0.67%	0.41%	0.00%	4.26%	1.16%	0.00%	0.00%	0.00%	1.66%	0.00%	0.00%	0.00%	0.79%	0.49%	0.40%	1.34%	0.78%	0.00%	0.00%	0.00%	0.87%	0.00%	0.34%	2.67%	1.25%	0.00%	2.30%	0.78%	0.49%	0.80%	0.00%	0.00%	1.24%	0.40%	2.82%	0.00%					
21	. Путин Владимир Владимирович	8421	760	517	613	439	329	414	181	133	63	246	65	53	49	305	81	73	75	406	393	322	245	216	96	124	207	222	67	151	46	302	51	54	233	105	185	28	139	194	174	44	21					
		68.28%	71.03%	69.03%	69.90%	72.09%	67.28%	69.81%	74.79%	83.65%	67.02%	71.30%	68.42%	56.38%	79.03%	72.27%	59.56%	58.40%	79.79%	80.56%	63.59%	65.05%	65.68%	84.71%	88.89%	64.58%	76.67%	64.35%	63.21%	51.89%	61.33%	63.05%	70.83%	62.07%	60.84%	51.72%	49.33%	33.33%	82.74%	80.50%	69.88%	61.97%	61.76%					
22	. Хакамада Ирина Муцуовна	203	20	16	21	8	13	9	3	1	2	3	1	0	0	5	2	1	0	9	6	12	9	4	0	3	1	7	2	7	0	7	1	0	5	3	12	0	3	5	2	0	0					
		1.65%	1.87%	2.14%	2.39%	1.31%	2.66%	1.52%	1.24%	0.63%	2.13%	0.87%	1.05%	0.00%	0.00%	1.18%	1.47%	0.80%	0.00%	1.79%	0.97%	2.42%	2.41%	1.57%	0.00%	1.56%	0.37%	2.03%	1.89%	2.41%	0.00%	1.46%	1.39%	0.00%	1.31%	1.48%	3.20%	0.00%	1.79%	2.07%	0.80%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	2400	154	126	120	117	78	113	37	14	19	68	21	21	9	71	25	29	16	61	167	100	59	25	6	45	48	70	21	88	20	128	11	25	110	66	146	49	20	21	50	14	12					
		19.46%	14.39%	16.82%	13.68%	19.21%	15.95%	19.06%	15.29%	8.81%	20.21%	19.71%	22.11%	22.34%	14.52%	16.82%	18.38%	23.20%	17.02%	12.10%	27.02%	20.20%	15.82%	9.80%	5.56%	23.44%	17.78%	20.29%	19.81%	30.24%	26.67%	26.72%	15.28%	28.74%	28.72%	32.51%	38.93%	58.33%	11.90%	8.71%	20.08%	19.72%	35.29%					
																																																
24	Против всех	227	28	17	22	9	14	17	4	1	5	3	0	1	1	7	2	1	0	5	13	12	6	0	1	10	3	8	2	4	1	6	3	1	4	1	4	1	0	3	3	3	1					
		1.84%	2.62%	2.27%	2.51%	1.48%	2.86%	2.87%	1.65%	0.63%	5.32%	0.87%	0.00%	1.06%	1.61%	1.66%	1.47%	0.80%	0.00%	0.99%	2.10%	2.42%	1.61%	0.00%	0.93%	5.21%	1.11%	2.32%	1.89%	1.37%	1.33%	1.25%	4.17%	1.15%	1.04%	0.49%	1.07%	1.19%	0.00%	1.24%	1.20%	4.23%	2.94%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
