Выборы Президента Российской Федерации																																												
Дата голосования: 18.03.2018																																												
																																												
Наименование Избирательной комиссии:    Петуховская																																												
																																												
Сводная таблица итогов голосования																																												
																																												
	Число участковых избирательных комиссий	33																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	33																																										
																																												
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №738	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №751	УИК №754	УИК №755	УИК №756	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763									
1	"Число избирателей, включенных в список избирателей"	15698	410	96	928	1056	1159	803	1163	856	991	788	893	218	501	151	236	273	249	290	90	225	195	648	458	464	75	729	420	172	59	311	223	84	484									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15895	404	96	923	1024	1185	834	1190	859	885	810	922	227	506	165	248	289	254	287	93	231	195	634	464	478	78	780	448	185	52	316	243	85	505									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8701	239	59	571	620	606	440	538	412	592	359	416	104	280	75	149	173	163	171	53	128	119	413	249	289	42	441	207	86	46	205	142	46	268									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	800	34	7	42	68	26	20	40	29	30	14	40	15	47	8	12	21	12	27	5	15	9	31	27	49	3	40	46	7	0	27	11	22	16									
6	Число погашенных избирательных бюллетеней	6394	131	30	310	336	553	374	612	418	263	437	466	108	179	82	87	95	79	89	35	88	67	190	188	140	33	299	195	92	6	84	90	17	221									
7	Число избирательных бюллетеней в переносных ящиках для голосования	800	34	7	42	68	26	20	40	29	30	14	40	15	47	8	12	21	12	27	5	15	9	31	27	49	3	40	46	7	0	27	11	22	16									
8	Число бюллетеней в стационарных ящиках для голосования	8701	239	59	571	620	606	440	538	412	592	359	416	104	280	75	149	173	163	171	53	128	119	413	249	289	42	441	207	86	46	205	142	46	268									
9	Число недействительных избирательных бюллетеней	80	4	1	5	2	2	1	9	6	4	4	11	0	2	0	1	1	2	2	0	0	1	4	0	2	0	9	4	0	0	2	0	0	1									
10	Число действительных избирательных бюллетеней	9421	269	65	608	686	630	459	569	435	618	369	445	119	325	83	160	193	173	196	58	143	127	440	276	336	45	472	249	93	46	230	153	68	283									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
13	Бабурин Сергей Николаевич	57	4	1	3	4	1	2	5	1	3	1	1	1	4	1	0	0	0	1	1	1	0	6	1	4	1	4	1	0	0	0	0	3	2									
		0.60%	1.47%	1.52%	0.49%	0.58%	0.16%	0.43%	0.87%	0.23%	0.48%	0.27%	0.22%	0.84%	1.22%	1.20%	0.00%	0.00%	0.00%	0.51%	1.72%	0.70%	0.00%	1.35%	0.36%	1.18%	2.22%	0.83%	0.40%	0.00%	0.00%	0.00%	0.00%	4.41%	0.70%									
14	Грудинин Павел Николаевич	1837	46	6	121	128	151	139	125	94	126	101	85	34	52	8	19	29	47	14	4	32	10	77	35	119	7	87	31	7	9	40	14	5	35									
		19.33%	16.85%	9.09%	19.74%	18.60%	23.89%	30.22%	21.63%	21.32%	20.26%	27.08%	18.64%	28.57%	15.90%	9.64%	11.80%	14.95%	26.86%	7.07%	6.90%	22.38%	7.81%	17.34%	12.68%	35.21%	15.56%	18.09%	12.25%	7.53%	19.57%	17.24%	9.15%	7.35%	12.32%									
