Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Железногорская городская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230					
1	"Число избирателей, внесенных в список"	76787	1543	2054	1613	1742	1771	1867	1857	1878	2442	1511	2288	1690	1433	2088	1739	1772	1697	1831	1754	1805	1602	2076	2119	1940	2095	2181	1988	1971	2084	2024	696	3006	1949	2252	1706	2363	1993	2186	1927	2254					
2	Число полученных избирательных бюллетеней	68833	1419	1843	1435	1580	1598	1681	1695	1691	2147	1316	2021	1529	1278	1888	1547	1590	1530	1654	1580	1650	1466	1891	1912	1746	1864	1937	1767	1770	1871	1805	620	2680	1692	2020	1515	2123	1789	1952	1748	1993					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42620	758	1063	917	968	1022	1053	1075	1065	1269	813	1232	974	798	1197	876	1052	873	1034	1004	1060	967	1115	1074	1113	1206	1274	1034	1054	1207	1125	386	1676	1011	1178	920	1300	1163	1255	1142	1317					
5	"Число избирательных бюллетеней, выданных вне помещения"	1115	280	48	33	30	15	20	14	12	20	86	33	25	20	33	21	19	12	26	30	16	16	13	23	35	39	13	7	17	21	15	39	13	8	24	8	4	6	9	9	3					
6	Число погашенных избирательных бюллетеней	25098	381	732	485	582	561	608	606	614	858	417	756	530	460	658	650	519	645	594	546	574	483	763	815	598	619	650	726	699	643	665	195	991	673	818	587	819	620	688	597	673					
7	Число избирательных бюллетеней в переносных ящиках	1114	280	48	33	29	15	20	14	12	20	86	33	25	20	33	21	19	12	26	30	16	16	13	23	35	39	13	7	17	21	15	39	13	8	24	8	4	6	9	9	3					
8	Число бюллетеней в стационарных ящиках для голосования	42604	757	1063	916	968	1022	1053	1075	1065	1267	813	1232	974	798	1197	876	1051	873	1034	1004	1059	965	1113	1074	1113	1206	1274	1034	1054	1207	1125	386	1674	1011	1178	920	1296	1163	1255	1142	1317					
9	Число недействительных избирательных бюллетеней	305	5	10	6	4	6	9	10	9	9	8	6	6	8	8	5	3	13	5	10	5	4	5	10	8	6	8	10	13	11	7	6	5	6	8	8	7	9	13	7	9					
10	Число действительных избирательных бюллетеней	43413	1032	1101	943	993	1031	1064	1079	1068	1278	891	1259	993	810	1222	892	1067	872	1055	1024	1070	977	1121	1087	1140	1239	1279	1031	1058	1217	1133	419	1682	1013	1194	920	1293	1160	1251	1144	1311					
11	Число полученных открепительных  удостоверений	437	17	10	10	10	10	10	10	10	15	10	20	15	10	10	10	10	10	10	13	10	10	12	12	10	10	13	10	10	10	10	5	15	10	10	10	10	10	10	10	10					
