Выборы Президента Российской Федерации																																	
Дата голосования: 18.03.2018																																	
																																	
Наименование Избирательной комиссии:    Медвенская																																	
																																	
Сводная таблица итогов голосования																																	
																																	
	Число участковых избирательных комиссий	22																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	22																															
																																	
		Сумма	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745									
1	"Число избирателей, включенных в список избирателей"	13398	1355	2381	863	658	510	681	516	362	245	271	265	213	480	159	675	284	1028	620	658	265	284	625									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12935	1300	2100	860	650	500	675	510	360	230	265	260	210	480	155	670	280	1000	620	650	260	280	620									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7554	870	1627	518	271	305	442	220	189	143	171	111	146	266	94	351	106	470	329	402	116	168	239									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2833	65	204	191	320	112	161	182	126	63	35	107	25	141	50	166	125	240	190	96	87	62	85									
6	Число погашенных избирательных бюллетеней	2548	365	269	151	59	83	72	108	45	24	59	42	39	73	11	153	49	290	101	152	57	50	296									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2833	65	204	191	320	112	161	182	126	63	35	107	25	141	50	166	125	240	190	96	87	62	85									
8	Число бюллетеней в стационарных ящиках для голосования	7553	870	1626	518	271	305	442	220	189	143	171	111	146	266	94	351	106	470	329	402	116	168	239									
9	Число недействительных избирательных бюллетеней	72	9	19	6	0	2	5	3	0	0	0	11	1	2	0	1	2	4	0	2	0	1	4									
10	Число действительных избирательных бюллетеней	10314	926	1811	703	591	415	598	399	315	206	206	207	170	405	144	516	229	706	519	496	203	229	320									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
13	Бабурин Сергей Николаевич	42	1	9	3	1	1	2	1	6	1	0	2	1	0	1	2	2	2	0	5	0	2	0									
		0.40%	0.11%	0.49%	0.42%	0.17%	0.24%	0.33%	0.25%	1.90%	0.49%	0.00%	0.92%	0.58%	0.00%	0.69%	0.39%	0.87%	0.28%	0.00%	1.00%	0.00%	0.87%	0.00%									
14	Грудинин Павел Николаевич	851	109	242	29	36	22	36	41	3	4	6	7	15	36	2	42	19	39	38	64	16	19	26									
		8.19%	11.66%	13.22%	4.09%	6.09%	5.28%	5.97%	10.20%	0.95%	1.94%	2.91%	3.21%	8.77%	8.85%	1.39%	8.12%	8.23%	5.49%	7.32%	12.85%	7.88%	8.26%	8.02%									
15	Жириновский Владимир Вольфович	516	53	95	32	21	31	18	19	1	9	11	4	4	18	4	18	12	57	32	37	11	8	21									
		4.97%	5.67%	5.19%	4.51%	3.55%	7.43%	2.99%	4.73%	0.32%	4.37%	5.34%	1.83%	2.34%	4.42%	2.78%	3.48%	5.19%	8.03%	6.17%	7.43%	5.42%	3.48%	6.48%									
16	Путин Владимир Владимирович	8783	756	1444	630	527	357	539	334	304	190	188	190	150	346	137	450	188	592	440	379	172	199	271									
		84.57%	80.86%	78.91%	88.86%	89.17%	85.61%	89.39%	83.08%	96.51%	92.23%	91.26%	87.16%	87.72%	85.01%	95.14%	87.04%	81.39%	83.38%	84.78%	76.10%	84.73%	86.52%	83.64%									
17	Собчак Ксения Анатольевна	45	1	10	3	3	2	1	1	0	1	0	0	0	2	0	2	1	6	4	3	2	1	2									
		0.43%	0.11%	0.55%	0.42%	0.51%	0.48%	0.17%	0.25%	0.00%	0.49%	0.00%	0.00%	0.00%	0.49%	0.00%	0.39%	0.43%	0.85%	0.77%	0.60%	0.99%	0.43%	0.62%									
18	Сурайкин Максим Александрович	38	3	5	4	2	1	1	1	0	0	1	3	0	2	0	2	2	6	2	2	1	0	0									
		0.37%	0.32%	0.27%	0.56%	0.34%	0.24%	0.17%	0.25%	0.00%	0.00%	0.49%	1.38%	0.00%	0.49%	0.00%	0.39%	0.87%	0.85%	0.39%	0.40%	0.49%	0.00%	0.00%									
19	Титов Борис Юрьевич	26	1	4	1	0	1	1	1	0	1	0	0	0	1	0	0	5	3	0	6	1	0	0									
		0.25%	0.11%	0.22%	0.14%	0.00%	0.24%	0.17%	0.25%	0.00%	0.49%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	2.16%	0.42%	0.00%	1.20%	0.49%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	13	2	2	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	3	0	0	0	0									
		0.13%	0.21%	0.11%	0.14%	0.17%	0.00%	0.00%	0.25%	0.32%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.58%	0.00%	0.00%	0.00%	0.00%									
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
