Выборы Президента Российской Федерации																																																		
Дата голосования: 18.03.2018																																																		
																																																		
Наименование Избирательной комиссии:     Советская																																																		
																																																		
Сводная таблица итогов голосования																																																		
																																																		
	Число участковых избирательных комиссий	39																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	39																																																
																																																		
		Сумма	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948									
1	"Число избирателей, включенных в список избирателей"	15489	1112	1113	1659	1188	259	162	138	288	151	362	436	871	236	198	372	200	106	382	369	171	137	404	248	495	209	220	206	256	301	285	174	272	219	248	517	344	436	520	225									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13479	970	952	1459	1020	220	145	120	255	138	318	381	760	203	177	324	162	92	328	323	142	115	348	215	419	179	160	194	219	257	240	161	247	192	230	461	299	389	451	214									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7950	574	656	827	635	180	80	68	144	61	189	165	462	120	80	183	112	50	210	180	87	85	209	116	271	102	85	92	126	155	138	98	179	118	103	245	175	171	306	113									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2375	66	60	106	84	31	52	35	58	53	67	132	70	33	31	67	40	27	87	82	30	24	112	75	49	45	62	53	61	65	65	40	36	28	80	106	48	98	59	58									
6	Число погашенных избирательных бюллетеней	3154	330	236	526	301	9	13	17	53	24	62	84	228	50	66	74	10	15	31	61	25	6	27	24	99	32	13	49	32	37	37	23	32	46	47	110	76	120	86	43									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2375	66	60	106	84	31	52	35	58	53	67	132	70	33	31	67	40	27	87	82	30	24	112	75	49	45	62	53	61	65	65	40	36	28	80	106	48	98	59	58									
8	Число бюллетеней в стационарных ящиках для голосования	7950	574	656	827	635	180	80	68	144	61	189	165	462	120	80	183	112	50	210	180	87	85	209	116	271	102	85	92	126	155	138	98	179	118	103	245	175	171	306	113									
9	Число недействительных избирательных бюллетеней	87	5	8	16	6	4	0	0	3	0	4	0	4	0	0	0	0	1	3	0	1	0	0	0	4	2	0	2	1	0	5	2	1	2	0	5	1	0	6	1									
10	Число действительных избирательных бюллетеней	10238	635	708	917	713	207	132	103	199	114	252	297	528	153	111	250	152	76	294	262	116	109	321	191	316	145	147	143	186	220	198	136	214	144	183	346	222	269	359	170									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
13	Бабурин Сергей Николаевич	60	3	4	9	2	3	0	0	0	1	1	1	4	2	1	0	1	1	4	0	1	0	2	0	2	0	1	0	0	3	0	1	1	1	3	0	2	4	2	0									
		0.58%	0.47%	0.56%	0.96%	0.28%	1.42%	0.00%	0.00%	0.00%	0.88%	0.39%	0.34%	0.75%	1.31%	0.90%	0.00%	0.66%	1.30%	1.35%	0.00%	0.85%	0.00%	0.62%	0.00%	0.63%	0.00%	0.68%	0.00%	0.00%	1.36%	0.00%	0.72%	0.47%	0.68%	1.64%	0.00%	0.90%	1.49%	0.55%	0.00%									
14	Грудинин Павел Николаевич	746	69	79	100	84	17	7	4	19	2	25	10	43	2	3	28	10	3	19	14	6	5	18	15	10	5	7	4	3	8	8	14	13	13	4	23	10	7	32	3									
		7.23%	10.78%	11.03%	10.72%	11.68%	8.06%	5.30%	3.88%	9.41%	1.75%	9.77%	3.37%	8.08%	1.31%	2.70%	11.20%	6.58%	3.90%	6.40%	5.34%	5.13%	4.59%	5.61%	7.85%	3.13%	3.40%	4.76%	2.76%	1.60%	3.64%	3.94%	10.14%	6.05%	8.90%	2.19%	6.55%	4.48%	2.60%	8.77%	1.75%									
15	Жириновский Владимир Вольфович	692	48	45	54	37	23	10	6	10	7	8	10	40	13	8	21	12	4	13	27	7	7	17	13	27	14	7	11	16	13	19	9	11	5	14	40	24	14	18	10									
		6.70%	7.50%	6.28%	5.79%	5.15%	10.90%	7.58%	5.83%	4.95%	6.14%	3.13%	3.37%	7.52%	8.50%	7.21%	8.40%	7.89%	5.19%	4.38%	10.31%	5.98%	6.42%	5.30%	6.81%	8.44%	9.52%	4.76%	7.59%	8.56%	5.91%	9.36%	6.52%	5.12%	3.42%	7.65%	11.40%	10.76%	5.20%	4.93%	5.85%									
16	Путин Владимир Владимирович	8575	499	556	732	580	163	114	92	167	103	215	270	435	135	96	198	128	67	257	215	101	95	280	158	273	123	131	125	167	193	168	111	188	122	160	277	182	241	301	157									
		83.05%	77.97%	77.65%	78.46%	80.67%	77.25%	86.36%	89.32%	82.67%	90.35%	83.98%	90.91%	81.77%	88.24%	86.49%	79.20%	84.21%	87.01%	86.53%	82.06%	86.32%	87.16%	87.23%	82.72%	85.31%	83.67%	89.12%	86.21%	89.30%	87.73%	82.76%	80.43%	87.44%	83.56%	87.43%	78.92%	81.61%	89.59%	82.47%	91.81%									
17	Собчак Ксения Анатольевна	53	6	6	4	1	1	0	1	1	1	2	2	2	0	0	2	1	1	0	2	0	0	1	3	2	1	0	1	0	0	1	0	1	1	1	4	2	2	0	0									
		0.51%	0.94%	0.84%	0.43%	0.14%	0.47%	0.00%	0.97%	0.50%	0.88%	0.78%	0.67%	0.38%	0.00%	0.00%	0.80%	0.66%	1.30%	0.00%	0.76%	0.00%	0.00%	0.31%	1.57%	0.63%	0.68%	0.00%	0.69%	0.00%	0.00%	0.49%	0.00%	0.47%	0.68%	0.55%	1.14%	0.90%	0.74%	0.00%	0.00%									
18	Сурайкин Максим Александрович	61	3	5	13	5	0	1	0	1	0	0	2	3	0	2	1	0	0	1	3	0	2	2	2	1	0	1	2	0	1	0	1	0	1	1	0	1	1	5	0									
		0.59%	0.47%	0.70%	1.39%	0.70%	0.00%	0.76%	0.00%	0.50%	0.00%	0.00%	0.67%	0.56%	0.00%	1.80%	0.40%	0.00%	0.00%	0.34%	1.15%	0.00%	1.83%	0.62%	1.05%	0.31%	0.00%	0.68%	1.38%	0.00%	0.45%	0.00%	0.72%	0.00%	0.68%	0.55%	0.00%	0.45%	0.37%	1.37%	0.00%									
19	Титов Борис Юрьевич	32	5	5	3	4	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	2	2	0	0	0	0	2	1	0	1	0									
		0.31%	0.78%	0.70%	0.32%	0.56%	0.00%	0.00%	0.00%	0.50%	0.00%	0.39%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.31%	1.36%	0.00%	0.00%	0.00%	0.91%	0.99%	0.00%	0.00%	0.00%	0.00%	0.57%	0.45%	0.00%	0.27%	0.00%									
20	Явлинский Григорий Алексеевич	19	2	8	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
		0.18%	0.31%	1.12%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.19%	0.65%	0.90%	0.00%	0.00%	0.00%	0.00%	0.38%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
