Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Кингисеппская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521					
1	"Число избирателей, внесенных в список"	58765	2117	2883	1440	1464	2192	2513	2635	2919	2384	2482	1860	1541	2494	1705	1690	2040	2215	2244	1805	1771	821	688	1055	324	1261	223	172	1753	174	288	429	271	262	1153	773	1160	1526	506	1540	681	258	1003	50					
2	Число полученных избирательных бюллетеней	59600	2100	2905	1455	1480	2100	2530	2675	2960	2400	2500	1700	1575	2495	1720	1715	2060	2235	2265	1830	1780	835	708	1105	358	1320	213	173	1840	201	318	436	287	287	1110	846	1225	1510	521	1713	763	269	1030	52					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30414	1017	1502	754	718	942	1392	1481	1535	1289	1414	846	846	1416	936	843	957	1183	1202	1005	1003	488	265	493	174	754	113	103	926	78	75	167	108	114	562	421	637	615	290	903	199	32	567	49					
5	"Число избирательных бюллетеней, выданных вне помещения"	2880	74	57	45	43	155	41	38	29	12	12	211	19	20	8	15	14	5	5	4	5	13	146	186	48	86	38	17	61	15	81	18	53	72	169	107	60	217	103	43	226	186	122	1					
6	Число погашенных избирательных бюллетеней	26306	1009	1346	656	719	1003	1097	1156	1396	1099	1074	643	710	1059	776	857	1089	1047	1058	821	772	334	297	426	136	480	62	53	853	108	162	251	126	101	379	318	528	678	128	767	338	51	341	2					
7	Число избирательных бюллетеней в переносных ящиках	2880	74	57	45	43	155	41	38	29	12	12	211	19	20	8	15	14	5	5	4	5	13	146	186	48	86	38	17	61	15	81	18	53	72	169	107	60	217	103	43	226	186	122	1					
8	Число бюллетеней в стационарных ящиках для голосования	30399	1017	1498	754	718	942	1392	1481	1534	1286	1414	844	845	1416	936	843	957	1179	1202	1005	1003	488	265	493	174	754	113	103	926	78	75	167	108	114	562	421	637	615	290	903	199	32	567	49					
9	Число недействительных избирательных бюллетеней	158	9	13	0	2	5	9	10	5	10	13	3	2	2	0	2	2	7	2	3	1	3	4	5	0	5	0	2	1	1	0	4	1	0	3	6	6	0	3	10	3	1	0	0					
10	Число действительных избирательных бюллетеней	33121	1082	1542	799	759	1092	1424	1509	1558	1288	1413	1052	862	1434	944	856	969	1177	1205	1006	1007	498	407	674	222	835	151	118	986	92	156	181	160	186	728	522	691	832	390	936	422	217	689	50					
11	Число полученных открепительных  удостоверений	878	30	42	22	22	30	38	40	42	24	35	24	23	37	25	25	30	33	33	26	25	12	11	16	16	20	4	3	26	4	5	7	4	5	16	18	12	24	8	29	11	4	15	2					
12	Число выданных открепительных удостоверений	414	14	16	13	7	8	9	13	28	10	18	15	9	9	9	12	10	17	14	15	9	8	2	4	11	20	1	1	16	0	2	0	2	2	12	15	5	8	3	27	10	3	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	386	4	6	8	13	7	9	14	12	5	20	21	3	8	6	13	6	8	3	4	9	1	5	7	6	11	5	11	9	5	3	2	5	2	19	11	20	24	13	11	26	8	3	0					
14	Число неиспользованных открепительных удостоверений	464	16	26	9	15	22	29	27	14	14	17	9	14	28	16	13	20	16	19	11	16	4	9	12	5	0	3	2	10	4	3	7	2	3	4	3	7	16	5	2	1	1	8	2					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	1339	47	64	43	27	62	56	94	92	69	66	40	32	73	31	42	34	41	52	55	48	26	12	23	9	15	3	2	41	2	2	4	0	8	21	18	21	9	4	17	14	7	12	1					
		4.02%	4.31%	4.12%	5.38%	3.55%	5.65%	3.91%	6.19%	5.89%	5.32%	4.63%	3.79%	3.70%	5.08%	3.28%	4.90%	3.50%	3.46%	4.31%	5.45%	4.76%	5.19%	2.92%	3.39%	4.05%	1.79%	1.99%	1.67%	4.15%	2.15%	1.28%	2.16%	0.00%	4.30%	2.87%	3.41%	3.01%	1.08%	1.02%	1.80%	3.29%	3.21%	1.74%	2.00%					
19	. Малышкин Олег Александрович	481	15	21	9	13	17	18	22	14	17	25	17	12	19	15	17	19	21	15	23	13	8	7	8	5	11	4	3	9	0	2	2	1	7	9	9	4	17	6	11	1	5	10	0					
		1.45%	1.37%	1.35%	1.13%	1.71%	1.55%	1.26%	1.45%	0.90%	1.31%	1.75%	1.61%	1.39%	1.32%	1.59%	1.98%	1.96%	1.77%	1.24%	2.28%	1.29%	1.60%	1.70%	1.18%	2.25%	1.31%	2.65%	2.50%	0.91%	0.00%	1.28%	1.08%	0.62%	3.76%	1.23%	1.70%	0.57%	2.04%	1.53%	1.16%	0.24%	2.29%	1.45%	0.00%					
20	. Миронов Сергей Михайлович	322	11	13	7	9	1	16	9	19	17	14	14	9	18	7	7	9	16	6	10	9	3	6	7	5	1	3	1	9	3	1	1	4	2	11	4	11	11	3	7	2	1	3	2					
