Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Кировская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597					
1	"Число избирателей, внесенных в список"	65997	2588	2596	2585	2974	2895	2895	2946	2407	338	2543	2627	2682	2747	2563	2142	1868	2931	2657	2377	820	841	633	2564	305	1878	2340	86	1231	99	1296	1537	1261	589	111	139	187	1525	378	157	456	203					
2	Число полученных избирательных бюллетеней	66000	2660	2620	2620	3000	2943	2900	2950	2400	344	2550	2650	2700	2800	2600	2150	1850	2950	2650	1670	845	900	630	2620	310	1900	2400	89	1250	94	1310	1600	1250	590	110	145	190	1550	385	160	470	195					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	34819	1387	1427	1494	1725	1565	1702	1501	1378	133	1325	1362	1514	1568	1345	1174	694	1465	1301	1317	423	451	266	1337	181	1029	1497	70	617	53	595	749	583	226	14	12	120	743	191	45	174	66					
5	"Число избирательных бюллетеней, выданных вне помещения"	2164	48	35	44	15	45	40	128	75	64	33	19	24	25	23	11	184	26	52	38	55	19	56	38	8	6	8	6	132	20	67	57	49	101	57	91	13	88	52	55	158	99					
6	Число погашенных избирательных бюллетеней	29017	1225	1158	1082	1260	1333	1158	1321	947	147	1192	1269	1162	1207	1232	965	972	1459	1297	315	367	430	308	1245	121	865	895	13	501	21	648	794	618	263	39	42	57	719	142	60	138	30					
7	Число избирательных бюллетеней в переносных ящиках	2164	48	35	44	15	45	40	128	75	64	33	19	24	25	23	11	184	26	52	38	55	19	56	38	8	6	8	6	132	20	67	57	49	101	57	91	13	88	52	55	158	99					
8	Число бюллетеней в стационарных ящиках для голосования	34769	1387	1398	1494	1725	1564	1702	1499	1378	133	1325	1360	1514	1568	1344	1172	694	1465	1301	1317	423	451	266	1324	181	1029	1497	70	617	53	595	749	583	226	14	12	120	743	191	45	174	66					
9	Число недействительных избирательных бюллетеней	276	4	7	9	11	7	11	14	11	3	13	16	12	10	15	9	2	15	13	10	6	8	1	14	1	2	13	3	10	1	8	6	0	3	0	0	0	6	1	1	0	0					
10	Число действительных избирательных бюллетеней	36657	1431	1426	1529	1729	1602	1731	1613	1442	194	1345	1363	1526	1583	1352	1174	876	1476	1340	1345	472	462	321	1348	188	1033	1492	73	739	72	654	800	632	324	71	103	133	825	242	99	332	165					
11	Число полученных открепительных  удостоверений	992	32	30	30	30	30	35	35	35	10	35	35	35	35	35	30	30	35	35	25	25	25	10	35	10	30	35	10	25	10	20	25	20	10	10	10	10	30	10	10	15	10					
12	Число выданных открепительных удостоверений	552	11	9	18	26	22	22	19	12	4	15	9	22	19	15	5	5	17	19	13	25	21	4	21	2	21	26	0	23	2	11	16	10	8	8	7	4	30	10	4	11	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	493	25	11	16	13	13	33	18	14	11	4	7	25	13	8	19	11	15	6	13	17	5	12	16	5	11	8	9	21	11	5	14	12	4	10	5	3	16	8	2	3	21					
14	Число неиспользованных открепительных удостоверений	440	21	21	12	4	8	13	16	23	6	20	26	13	16	20	25	25	18	16	12	0	4	6	14	8	9	9	10	2	8	9	9	10	2	2	3	6	0	0	6	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	28	1	0	1	1	2	3	1	0	0	0	0	0	0	0	0	5	2	0	2	0	0	1	2	0	0	0	0	2	0	1	0	0	0	2	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	1066	34	56	58	62	55	80	59	30	2	38	34	52	52	38	33	20	34	39	29	21	5	4	34	1	43	33	4	16	1	18	18	17	6	1	3	4	19	2	2	7	2					
		2.89%	2.37%	3.91%	3.77%	3.56%	3.42%	4.59%	3.63%	2.06%	1.02%	2.80%	2.47%	3.38%	3.26%	2.78%	2.79%	2.28%	2.28%	2.88%	2.14%	4.39%	1.06%	1.24%	2.50%	0.53%	4.15%	2.19%	5.26%	2.14%	1.37%	2.72%	2.23%	2.69%	1.83%	1.41%	2.91%	3.01%	2.29%	0.82%	2.00%	2.11%	1.21%					
19	. Малышкин Олег Александрович	382	20	11	17	15	13	21	25	10	3	10	12	9	13	14	15	8	23	13	13	2	5	2	20	4	9	12	0	10	0	10	12	7	5	0	2	3	8	2	1	1	2					
		1.03%	1.39%	0.77%	1.11%	0.86%	0.81%	1.21%	1.54%	0.69%	1.52%	0.74%	0.87%	0.59%	0.82%	1.02%	1.27%	0.91%	1.54%	0.96%	0.96%	0.42%	1.06%	0.62%	1.47%	2.12%	0.87%	0.80%	0.00%	1.34%	0.00%	1.51%	1.49%	1.11%	1.53%	0.00%	1.94%	2.26%	0.96%	0.82%	1.00%	0.30%	1.21%					
20	. Миронов Сергей Михайлович	356	11	13	15	24	8	15	7	21	3	15	17	24	17	20	10	8	11	13	14	1	4	5	13	0	3	11	0	4	0	12	10	8	2	2	1	1	3	1	1	6	2					
		0.96%	0.77%	0.91%	0.98%	1.38%	0.50%	0.86%	0.43%	1.45%	1.52%	1.10%	1.23%	1.56%	1.07%	1.46%	0.85%	0.91%	0.74%	0.96%	1.03%	0.21%	0.85%	1.55%	0.95%	0.00%	0.29%	0.73%	0.00%	0.53%	0.00%	1.81%	1.24%	1.27%	0.61%	2.82%	0.97%	0.75%	0.36%	0.41%	1.00%	1.81%	1.21%					
