Выборы Президента Российской Федерации																																																							
Дата голосования: 02.03.2008																																																							
																																																							
Наименование Избирательной комиссии:    Кировская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
	Число участковых избирательных комиссий	48																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	48																																																					
																																																							
		Сумма	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615					
1	"Число избирателей, включенных в списки избирателей"	73550	2455	2642	1280	2154	2153	2356	2362	2000	1387	1020	294	2861	2174	2650	624	470	862	529	2739	2692	2684	2734	2720	2676	2648	2348	2441	2230	2357	1316	1144	255	2216	1900	99	659	576	1265	1053	972	780	366	164	1143	366	145	404	185					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	73238	2400	2600	1300	2100	2100	2200	2300	1900	1300	1000	340	2700	2100	2500	750	550	850	500	2600	2600	2600	2600	2600	2700	2600	2400	2600	2400	2600	1400	1150	300	2200	2000	104	650	600	1300	1000	1000	800	400	187	1200	400	141	440	176					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	39725	1199	1341	679	1162	1191	1240	1212	838	847	560	130	1447	1030	1377	406	193	505	329	1537	1582	1588	1518	1451	1569	1461	1368	1235	1334	1339	774	705	192	1185	1090	82	371	452	552	536	419	367	150	91	641	179	42	164	65					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2927	30	45	18	21	28	61	30	106	33	66	51	89	87	87	50	122	38	19	36	37	28	76	25	26	264	25	88	61	34	27	27	7	13	18	13	148	33	96	38	117	83	123	18	68	86	68	164	99					
6	Число погашенных избирательных бюллетеней	30586	1171	1214	603	917	881	899	1058	956	420	374	159	1164	983	1036	294	235	307	152	1027	981	984	1006	1124	1105	875	1007	1277	1005	1227	599	418	101	1002	892	9	131	115	652	426	464	350	127	78	491	135	31	112	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2927	30	45	18	21	28	61	30	106	33	66	51	89	87	87	50	122	38	19	36	37	28	76	25	26	264	25	88	61	34	27	27	7	13	18	13	148	33	96	38	117	83	123	18	68	86	68	164	99					
8	Число бюллетеней в стационарных ящиках для голосования	39653	1199	1336	679	1162	1190	1239	1212	837	847	559	130	1447	1026	1377	406	193	505	329	1501	1580	1588	1517	1447	1568	1451	1366	1235	1333	1339	774	705	192	1185	1090	82	371	452	551	536	418	367	150	91	641	179	42	164	65					
9	Число недействительных избирательных бюллетеней	480	17	18	1	11	9	16	17	10	7	3	0	16	9	18	8	2	1	5	14	24	18	23	20	33	32	26	13	21	16	5	10	1	12	11	0	1	5	6	4	5	2	2	1	5	0	0	2	0					
10	Число действительных избирательных бюллетеней	42100	1212	1363	696	1172	1209	1284	1225	933	873	622	181	1520	1104	1446	448	313	542	343	1523	1593	1598	1570	1452	1561	1683	1365	1310	1373	1357	796	722	198	1186	1097	95	518	480	641	570	530	448	271	108	704	265	110	326	164					
11	Число полученных открепительных  удостоверений	1361	23	23	20	25	30	20	30	30	10	10	5	38	35	25	30	30	35	5	30	20	55	30	30	32	20	30	30	30	30	31	19	20	40	40	5	50	70	30	30	30	20	30	20	60	30	20	40	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1242	18	18	10	21	21	17	30	14	3	9	5	38	33	25	30	30	35	4	30	20	55	28	24	30	20	30	30	26	27	31	19	19	40	40	4	50	70	21	22	18	20	29	20	57	30	16	40	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	769	12	7	13	18	21	14	12	26	6	19	10	38	12	32	18	18	19	25	47	23	18	18	6	22	21	25	12	18	17	7	23	4	6	16	19	20	15	7	14	7	11	8	7	14	11	2	9	22					
14	Число неиспользованных открепительных удостоверений	119	5	5	10	4	9	3	0	16	7	1	0	0	2	0	0	0	0	1	0	0	0	2	6	2	0	0	0	4	3	0	0	1	0	0	1	0	0	9	8	12	0	1	0	3	0	4	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	31	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	2	2	2	1	6	1	2	0	2	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																							
18	Богданов Андрей Владимирович	696	25	17	12	29	15	35	19	18	12	7	3	30	14	24	12	2	4	5	27	26	27	26	25	33	22	25	26	23	26	21	5	5	13	20	1	6	8	15	6	2	5	1	0	10	3	1	4	1					
		1.63%	2.03%	1.23%	1.72%	2.45%	1.23%	2.69%	1.53%	1.91%	1.36%	1.12%	1.66%	1.95%	1.26%	1.64%	2.63%	0.63%	0.74%	1.44%	1.76%	1.61%	1.67%	1.63%	1.70%	2.07%	1.28%	1.80%	1.97%	1.65%	1.89%	2.62%	0.68%	2.51%	1.09%	1.81%	1.05%	1.16%	1.65%	2.32%	1.05%	0.37%	1.11%	0.37%	0.00%	1.41%	1.13%	0.91%	1.22%	0.61%					
19	Жириновский Владимир Вольфович	4082	117	117	74	99	101	109	110	89	102	61	18	157	112	204	23	14	57	45	158	148	133	163	145	165	172	139	109	124	132	84	70	16	132	121	9	61	47	46	40	33	54	31	12	56	28	10	20	15					
		9.59%	9.52%	8.47%	10.62%	8.37%	8.29%	8.38%	8.86%	9.44%	11.59%	9.76%	9.94%	10.22%	10.06%	13.93%	5.04%	4.44%	10.50%	12.93%	10.28%	9.15%	8.23%	10.23%	9.85%	10.35%	10.03%	9.99%	8.24%	8.90%	9.61%	10.49%	9.56%	8.04%	11.02%	10.92%	9.47%	11.75%	9.69%	7.11%	6.97%	6.17%	12.00%	11.36%	11.01%	7.90%	10.57%	9.09%	6.10%	9.15%					
20	Зюганов Геннадий Андреевич	8192	266	281	105	209	252	242	190	156	167	97	23	333	264	238	73	33	113	58	300	338	325	327	269	291	313	337	302	330	307	141	143	32	180	176	7	74	90	142	141	137	88	46	10	153	34	8	26	25					
		19.24%	21.64%	20.35%	15.06%	17.67%	20.69%	18.62%	15.30%	16.54%	18.98%	15.52%	12.71%	21.68%	23.72%	16.26%	16.01%	10.48%	20.81%	16.67%	19.52%	20.90%	20.11%	20.53%	18.27%	18.26%	18.25%	24.23%	22.83%	23.67%	22.36%	17.60%	19.54%	16.08%	15.03%	15.88%	7.37%	14.26%	18.56%	21.95%	24.56%	25.61%	19.56%	16.85%	9.17%	21.58%	12.83%	7.27%	7.93%	15.24%					
21	Медведев Дмитрий Анатольевич	29130	804	948	505	835	841	898	906	670	592	457	137	1000	714	980	340	264	368	235	1038	1081	1113	1054	1013	1072	1176	864	873	896	892	550	504	145	861	780	78	377	335	438	383	358	301	193	86	485	200	91	276	123					
		68.41%	65.42%	68.65%	72.45%	70.58%	69.05%	69.08%	72.95%	71.05%	67.27%	73.12%	75.69%	65.10%	64.15%	66.94%	74.56%	83.81%	67.77%	67.53%	67.53%	66.85%	68.87%	66.16%	68.82%	67.25%	68.57%	62.11%	65.99%	64.28%	64.97%	68.66%	68.85%	72.86%	71.87%	70.40%	82.11%	72.64%	69.07%	67.70%	66.72%	66.92%	66.89%	70.70%	78.90%	68.41%	75.47%	82.73%	84.15%	75.00%					
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
