Выборы Президента Российской Федерации												
												
Наименование Избирательной комиссии:    Новоладожская городская												
												
Итоги голосования 												
												
		Сумма	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114					
1	"Число избирателей, внесенных в список"	7528	1113	1931	1604	1626	1254					
2	Число полученных избирательных бюллетеней	7418	1098	1900	1600	1600	1220					
3	"Число избирательных бюллетеней, выданных  досрочно"	18	18	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3880	474	943	814	962	687					
5	"Число избирательных бюллетеней, выданных вне помещения"	209	74	38	42	26	29					
6	Число погашенных избирательных бюллетеней	3311	532	919	744	612	504					
7	Число избирательных бюллетеней в переносных ящиках	227	92	38	42	26	29					
8	Число бюллетеней в стационарных ящиках для голосования	3880	474	943	814	962	687					
9	Число недействительных избирательных бюллетеней	19	5	2	5	3	4					
10	Число действительных избирательных бюллетеней	4088	561	979	851	985	712					
11	Число полученных открепительных  удостоверений	104	18	27	24	25	10					
12	Число выданных открепительных удостоверений	99	13	27	24	25	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	4	22	4	12	8					
14	Число неиспользованных открепительных удостоверений	5	5	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	1	1	2	6	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"												
18	. Глазьев Сергей Юрьевич	103	9	23	29	21	21					
		2.51%	1.59%	2.34%	3.39%	2.13%	2.93%					
19	. Малышкин Олег Александрович	57	6	15	14	15	7					
		1.39%	1.06%	1.53%	1.64%	1.52%	0.98%					
20	. Миронов Сергей Михайлович	36	2	10	5	9	10					
		0.88%	0.35%	1.02%	0.58%	0.91%	1.40%					
21	. Путин Владимир Владимирович	3326	460	795	684	793	594					
		80.98%	81.27%	81.04%	79.91%	80.26%	82.96%					
22	. Хакамада Ирина Муцуовна	104	11	26	28	23	16					
		2.53%	1.94%	2.65%	3.27%	2.33%	2.23%					
23	. Харитонов Николай Михайлович	408	69	95	78	112	54					
		9.93%	12.19%	9.68%	9.11%	11.34%	7.54%					
												
24	Против всех	54	4	15	13	12	10					
		1.31%	0.71%	1.53%	1.52%	1.21%	1.40%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
