Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Елецкая городская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342					
1	"Число избирателей, внесенных в список"	94528	1756	1522	1315	1329	1651	2148	1207	1823	2669	1716	2437	1737	1493	2500	2391	2621	2791	2565	2728	2149	1904	1795	2260	1125	1474	1779	1352	1814	2557	2054	636	1786	1703	1230	171	1296	1868	2109	2604	1457	2327	2155	1646	1848	1107	2312	410	2004	1886	633	189	125	2249	2115					
2	Число полученных избирательных бюллетеней	91918	1700	1500	1300	1300	1800	2000	1170	1800	2600	1700	2400	1700	1500	2400	2300	2600	2700	2500	2700	2100	1800	1800	2200	1100	1400	1700	1300	1700	2500	2000	600	1700	1600	1200	160	1200	1800	2100	2500	1400	2300	2100	1600	1800	1100	2200	396	1900	1800	600	184	108	2200	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	45935	687	677	552	526	824	856	671	923	1497	798	1228	749	631	1166	1320	1544	1404	1387	1406	1053	1004	798	986	583	642	951	794	893	1279	1079	256	771	776	666	82	589	935	1073	1302	714	1221	1131	761	753	424	1045	216	1068	840	318	110	47	905	1024					
5	"Число избирательных бюллетеней, выданных вне помещения"	5965	257	134	147	147	65	316	49	83	91	166	55	182	196	152	81	62	58	80	116	114	42	100	214	43	158	45	58	90	90	72	72	211	101	136	74	67	51	92	82	65	52	58	115	179	136	158	166	126	42	18	74	37	262	128					
6	Число погашенных избирательных бюллетеней	40018	756	689	601	627	911	828	450	794	1012	736	1117	769	673	1082	899	994	1238	1033	1178	933	754	902	1000	474	600	704	448	717	1131	849	272	718	723	398	4	544	814	935	1116	621	1027	911	724	868	540	997	14	706	918	264	0	24	1033	948					
7	Число избирательных бюллетеней в переносных ящиках	5965	257	134	147	147	65	316	49	83	91	166	55	182	196	152	81	62	58	80	116	114	42	100	214	43	158	45	58	90	90	72	72	211	101	136	74	67	51	92	82	65	52	58	115	179	136	158	166	126	42	18	74	37	262	128					
8	Число бюллетеней в стационарных ящиках для голосования	45921	687	677	552	525	821	856	671	923	1497	798	1228	749	631	1166	1320	1544	1404	1387	1406	1053	1004	798	986	583	642	950	791	892	1279	1079	256	768	776	666	82	589	933	1073	1302	714	1221	1131	761	753	424	1045	216	1068	840	318	110	47	905	1024					
9	Число недействительных избирательных бюллетеней	400	15	3	4	3	6	18	6	2	10	3	8	7	7	6	16	8	11	20	9	8	9	5	4	1	7	5	7	7	14	7	4	6	10	0	0	6	7	9	5	2	13	8	5	10	17	8	18	11	6	1	1	2	8	7					
10	Число действительных избирательных бюллетеней	51486	929	808	695	669	880	1154	714	1004	1578	961	1275	924	820	1312	1385	1598	1451	1447	1513	1159	1037	893	1196	625	793	990	842	975	1355	1144	324	973	867	802	156	650	977	1156	1379	777	1260	1181	871	922	543	1195	364	1183	876	335	183	82	1159	1145					
