Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Тербунская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783					
1	"Число избирателей, внесенных в список"	17495	606	352	482	463	172	540	527	202	377	513	227	131	559	265	130	522	104	178	446	321	121	476	1022	362	1890	1658	1767	1016	439	309	636	257	425					
2	Число полученных избирательных бюллетеней	17841	632	367	487	450	171	567	523	235	375	546	250	136	574	267	136	531	112	196	459	320	125	488	1018	373	1906	1659	1796	1046	434	312	649	268	433					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9452	331	193	292	296	92	301	333	124	228	275	118	102	343	69	50	277	54	119	223	269	94	258	344	227	1003	790	959	519	268	168	430	94	209					
5	"Число избирательных бюллетеней, выданных вне помещения"	3423	164	109	77	89	72	134	80	48	95	128	82	18	134	164	63	140	41	47	109	30	20	160	302	70	87	119	107	247	85	56	94	117	135					
6	Число погашенных избирательных бюллетеней	4966	137	65	118	65	7	132	110	63	52	143	50	16	97	34	23	114	17	30	127	21	11	70	372	76	816	750	730	280	81	88	125	57	89					
7	Число избирательных бюллетеней в переносных ящиках	3423	164	109	77	89	72	134	80	48	95	128	82	18	134	164	63	140	41	47	109	30	20	160	302	70	87	119	107	247	85	56	94	117	135					
8	Число бюллетеней в стационарных ящиках для голосования	9452	331	193	292	296	92	301	333	124	228	275	118	102	343	69	50	277	54	119	223	269	94	258	344	227	1003	790	959	519	268	168	430	94	209					
9	Число недействительных избирательных бюллетеней	92	2	0	3	2	0	3	5	3	0	6	0	1	10	0	0	7	1	2	3	0	0	3	2	0	3	6	10	9	2	5	2	2	0					
10	Число действительных избирательных бюллетеней	12783	493	302	366	383	164	432	408	169	323	397	200	119	467	233	113	410	94	164	329	299	114	415	644	297	1087	903	1056	757	351	219	522	209	344					
11	Число полученных открепительных  удостоверений	340	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	49	5	0	1	1	0	0	0	0	0	14	1	1	0	0	0	1	1	2	2	0	0	2	0	1	4	3	7	0	0	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	0	0	0	3	0	2	0	0	0	2	1	0	1	0	0	0	1	1	1	0	0	1	1	1	4	3	4	5	0	1	1	0	0					
14	Число неиспользованных открепительных удостоверений	291	5	10	9	9	10	10	10	10	10	6	9	9	10	10	10	9	9	8	8	10	10	8	10	9	6	7	3	10	10	10	7	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	260	13	4	3	0	0	10	9	3	5	8	3	5	3	3	4	14	1	6	9	9	4	6	11	2	31	24	35	10	7	4	9	5	0					
