Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Усманская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830					
1	"Число избирателей, внесенных в список"	38405	1081	780	1521	1953	2045	1993	1830	1550	2046	556	585	309	490	701	1204	1354	1112	294	311	812	422	455	619	811	254	472	783	727	820	575	225	513	1086	2202	1019	379	236	353	587	1048	648	200	404	186	381	367	106					
2	Число полученных избирательных бюллетеней	38682	1235	789	1506	1908	2018	2027	1832	1590	1989	550	592	314	503	693	1197	1344	1115	298	314	830	420	452	621	890	281	484	775	721	820	569	223	515	1073	2250	1025	383	239	354	585	1069	652	199	406	181	377	364	110					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21527	658	425	786	1001	1145	1282	984	864	1052	343	285	181	304	367	737	770	709	173	182	507	239	213	464	470	147	310	336	389	436	299	102	233	589	1226	398	258	124	252	349	685	258	136	252	107	219	204	77					
5	"Число избирательных бюллетеней, выданных вне помещения"	6221	120	102	147	156	125	74	173	153	231	105	147	98	68	148	236	183	188	41	83	90	39	159	71	216	82	125	188	159	96	95	79	216	209	468	256	76	67	51	61	169	240	51	126	43	98	84	29					
6	Число погашенных избирательных бюллетеней	10934	457	262	573	751	748	671	675	573	706	102	160	35	131	178	224	391	218	84	49	233	142	80	86	204	52	49	251	173	288	175	42	66	275	556	371	49	48	51	175	215	154	12	28	31	60	76	4					
7	Число избирательных бюллетеней в переносных ящиках	6221	120	102	147	156	125	74	173	153	231	105	147	98	68	148	236	183	188	41	83	90	39	159	71	216	82	125	188	159	96	95	79	216	209	468	256	76	67	51	61	169	240	51	126	43	98	84	29					
8	Число бюллетеней в стационарных ящиках для голосования	21527	658	425	786	1001	1145	1282	984	864	1052	343	285	181	304	367	737	770	709	173	182	507	239	213	464	470	147	310	336	389	436	299	102	233	589	1226	398	258	124	252	349	685	258	136	252	107	219	204	77					
9	Число недействительных избирательных бюллетеней	328	13	0	7	8	31	19	16	7	11	5	3	6	2	12	0	11	14	0	3	4	9	5	7	9	3	1	11	4	10	3	1	8	14	21	6	2	1	7	3	20	4	0	1	1	1	3	1					
10	Число действительных избирательных бюллетеней	27420	765	527	926	1149	1239	1337	1141	1010	1272	443	429	273	370	503	973	942	883	214	262	593	269	367	528	677	226	434	513	544	522	391	180	441	784	1673	648	332	190	296	407	834	494	187	377	149	316	285	105					
