Выборы Президента Российской Федерации																																												
Дата голосования: 18.03.2018																																												
																																												
Наименование Избирательной комиссии:    Волоколамская																																												
																																												
Сводная таблица итогов голосования																																												
																																												
	Число участковых избирательных комиссий	33																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	33																																										
																																												
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №4215									
1	"Число избирателей, включенных в список избирателей"	42179	858	2272	1303	1607	333	1090	1667	2477	2379	1160	2027	2584	1223	1540	1036	991	497	1581	1223	784	1037	1163	792	1366	809	1130	1217	592	571	614	1103	2658	495									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39200	800	2200	1200	1500	300	1000	1500	2400	2300	1100	1900	2600	1100	1500	1000	1000	400	1500	900	700	900	1200	700	1100	700	1100	1100	500	500	500	1000	2500	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17712	355	922	489	538	133	353	659	922	964	425	860	942	464	510	442	316	199	782	649	337	461	567	360	718	346	425	487	255	265	270	469	1333	495									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	943	20	15	15	11	25	4	9	37	40	25	12	27	7	14	47	48	5	55	47	39	36	51	32	61	52	38	33	9	18	38	45	28	0									
6	Число погашенных избирательных бюллетеней	20544	425	1263	696	951	142	643	832	1441	1296	650	1027	1631	629	976	511	636	196	663	204	324	403	582	308	321	302	637	580	236	217	192	486	1139	5									
7	Число избирательных бюллетеней в переносных ящиках для голосования	943	20	15	15	11	25	4	9	37	40	25	12	27	7	14	47	48	5	55	47	39	36	51	32	61	52	38	33	9	18	38	45	28	0									
8	Число бюллетеней в стационарных ящиках для голосования	17709	355	922	489	538	133	353	658	922	964	425	859	941	464	510	442	316	199	782	649	337	461	567	360	718	346	425	487	255	265	270	469	1333	495									
9	Число недействительных избирательных бюллетеней	428	8	16	12	10	1	10	20	21	31	11	21	40	16	12	9	6	9	10	10	4	15	8	8	11	2	9	17	5	3	8	15	24	26									
10	Число действительных избирательных бюллетеней	18224	367	921	492	539	157	347	647	938	973	439	850	928	455	512	480	358	195	827	686	372	482	610	384	768	396	454	503	259	280	300	499	1337	469									
11	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
13	Бабурин Сергей Николаевич	119	1	4	3	1	1	3	7	6	8	1	7	6	3	5	3	3	2	4	3	1	2	5	0	8	0	2	4	0	2	3	4	17	0									
		0.64%	0.27%	0.43%	0.60%	0.18%	0.63%	0.84%	1.05%	0.63%	0.80%	0.22%	0.80%	0.62%	0.64%	0.95%	0.61%	0.82%	0.98%	0.48%	0.43%	0.27%	0.40%	0.81%	0.00%	1.03%	0.00%	0.43%	0.77%	0.00%	0.71%	0.97%	0.78%	1.25%	0.00%									
14	Грудинин Павел Николаевич	2635	45	131	88	85	16	58	118	147	131	90	145	181	62	75	98	38	28	123	71	62	61	99	58	86	47	53	52	45	54	22	82	180	4									
		14.13%	12.00%	13.98%	17.46%	15.48%	10.13%	16.25%	17.69%	15.33%	13.05%	20.00%	16.65%	18.70%	13.16%	14.31%	20.04%	10.44%	13.73%	14.70%	10.20%	16.49%	12.27%	16.02%	14.80%	11.04%	11.81%	11.45%	10.00%	17.05%	19.08%	7.14%	15.95%	13.23%	0.81%									
