Выборы Президента Российской Федерации								
								
Наименование Избирательной комиссии:    Восходненская поселковая								
								
Итоги голосования 								
								
		Сумма	УИК №195					
1	"Число избирателей, внесенных в список"	1362	1362					
2	Число полученных избирательных бюллетеней	1300	1300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	810	810					
5	"Число избирательных бюллетеней, выданных вне помещения"	6	6					
6	Число погашенных избирательных бюллетеней	484	484					
7	Число избирательных бюллетеней в переносных ящиках	6	6					
8	Число бюллетеней в стационарных ящиках для голосования	810	810					
9	Число недействительных избирательных бюллетеней	5	5					
10	Число действительных избирательных бюллетеней	811	811					
11	Число полученных открепительных  удостоверений	100	100					
12	Число выданных открепительных удостоверений	30	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	14					
14	Число неиспользованных открепительных удостоверений	70	70					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1					
16	Число утраченных избирательных бюллетеней	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0					
"Число голосов избирателей, поданных за каждый список"								
18	. Глазьев Сергей Юрьевич	43	43					
		5.27%	5.27%					
19	. Малышкин Олег Александрович	22	22					
		2.70%	2.70%					
20	. Миронов Сергей Михайлович	2	2					
		0.25%	0.25%					
21	. Путин Владимир Владимирович	594	594					
		72.79%	72.79%					
22	. Хакамада Ирина Муцуовна	41	41					
		5.02%	5.02%					
23	. Харитонов Николай Михайлович	70	70					
		8.58%	8.58%					
								
24	Против всех	39	39					
		4.78%	4.78%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
