Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Егорьевская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478					
1	"Число избирателей, внесенных в список"	82132	1735	624	2327	1079	1128	1042	2550	1447	2385	1487	2063	1014	1321	1493	2233	2512	2898	1563	2115	2263	1505	1647	2618	1580	2221	1619	2323	2477	2483	2183	916	254	322	677	2465	420	396	705	381	299	1269	2481	300	512	626	1671	132	2450	906	1023	1195	682	227	890	333	317	905	309	1023	95	204	1696	116					
2	Число полученных избирательных бюллетеней	78980	1650	590	2170	1025	1050	980	2400	1380	2265	1420	1950	965	1240	1410	2125	2390	2755	1485	1990	2130	1435	1585	2490	1500	2115	1535	2220	2355	2365	2085	870	247	343	645	2360	465	365	795	390	295	1285	2395	290	500	600	1640	130	2320	840	1090	1145	645	215	910	315	370	950	350	960	100	215	1745	140					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	38436	826	260	886	467	413	441	1385	672	1161	443	762	407	614	641	1064	1327	1496	629	982	925	724	858	1344	716	1038	741	1098	1171	1190	1068	396	247	322	241	1132	214	216	307	194	142	639	1085	90	235	321	978	47	1192	324	474	379	340	113	473	187	187	556	86	455	56	74	913	72					
5	"Число избирательных бюллетеней, выданных вне помещения"	5089	47	54	96	16	52	47	67	92	15	53	68	132	50	22	53	28	5	48	31	111	52	36	17	15	88	68	38	23	64	40	22	0	0	130	111	51	29	196	70	45	172	241	108	147	73	262	51	193	301	154	327	70	57	105	52	40	91	195	105	19	65	60	19					
6	Число погашенных избирательных бюллетеней	35455	777	276	1188	542	585	492	948	616	1089	924	1120	426	576	747	1008	1035	1254	808	977	1094	659	691	1129	769	989	726	1084	1161	1111	977	452	0	21	274	1117	200	120	292	126	108	474	1069	92	118	206	400	32	935	215	462	439	235	45	332	76	143	303	69	400	25	76	772	49					
7	Число избирательных бюллетеней в переносных ящиках	5089	47	54	96	16	52	47	67	92	15	53	68	132	50	22	53	28	5	48	31	111	52	36	17	15	88	68	38	23	64	40	22	0	0	130	111	51	29	196	70	45	172	241	108	147	73	262	51	193	301	154	327	70	57	105	52	40	91	195	105	19	65	60	19					
8	Число бюллетеней в стационарных ящиках для голосования	38345	826	260	886	465	413	441	1331	672	1161	443	762	407	614	641	1064	1327	1496	629	982	911	723	858	1344	701	1038	741	1098	1171	1190	1065	396	247	322	241	1131	214	216	307	194	142	639	1085	90	235	320	978	47	1192	324	474	379	340	113	473	187	187	556	86	455	56	74	913	72					
9	Число недействительных избирательных бюллетеней	499	4	2	9	8	5	7	5	21	7	3	6	4	7	5	8	14	9	7	15	14	12	5	18	12	23	9	14	22	22	9	6	2	5	5	26	5	2	8	6	2	10	18	2	2	5	14	0	10	7	12	5	2	0	2	3	0	8	1	11	0	0	13	1					
10	Число действительных избирательных бюллетеней	42935	869	312	973	473	460	481	1393	743	1169	493	824	535	657	658	1109	1341	1492	670	998	1008	763	889	1343	704	1103	800	1122	1172	1232	1096	412	245	317	366	1216	260	243	495	258	185	801	1308	196	380	388	1226	98	1375	618	616	701	408	170	576	236	227	639	280	549	75	139	960	90					
11	Число полученных открепительных  удостоверений	1545	25	10	50	28	25	25	50	18	50	22	40	12	50	20	50	50	50	15	50	50	18	40	50	40	50	20	28	50	40	50	15	0	0	18	30	57	5	11	5	5	32	30	4	22	8	26	2	30	10	29	7	9	3	12	7	5	37	5	13	2	3	23	4					
12	Число выданных открепительных удостоверений	703	14	1	24	8	8	8	9	14	21	5	10	4	7	10	25	26	38	6	12	15	14	13	20	8	19	5	19	19	12	5	4	0	0	8	24	56	1	3	1	2	27	15	0	14	4	26	1	25	4	29	3	6	0	6	6	4	25	0	9	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	415	7	8	14	8	10	4	12	7	14	2	7	4	16	8	8	12	16	4	5	7	10	8	14	1	6	0	6	8	4	2	3	10	0	4	13	3	12	2	2	0	7	5	3	8	8	8	1	7	14	3	13	3	4	4	2	0	8	10	9	5	3	7	2					
14	Число неиспользованных открепительных удостоверений	842	11	9	26	20	17	17	41	4	29	17	30	8	43	10	25	24	12	9	38	35	4	27	30	32	31	15	9	31	28	45	11	0	0	10	6	1	4	8	4	3	5	15	4	8	4	0	1	5	6	0	4	3	3	6	1	1	12	5	4	2	3	22	4					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																						
18	. Глазьев Сергей Юрьевич	1661	45	9	38	21	36	24	72	29	46	15	41	14	33	30	59	65	103	26	51	42	33	43	69	32	45	29	45	68	49	52	16	0	6	4	36	2	8	16	12	5	18	50	4	4	19	23	1	40	6	16	14	3	3	10	6	1	16	5	15	4	7	26	1					
		3.82%	5.15%	2.87%	3.87%	4.37%	7.74%	4.92%	5.15%	3.80%	3.91%	3.02%	4.94%	2.60%	4.97%	4.52%	5.28%	4.80%	6.86%	3.84%	5.03%	4.11%	4.26%	4.81%	5.07%	4.47%	4.00%	3.58%	3.96%	5.70%	3.91%	4.71%	3.83%	0.00%	1.86%	1.08%	2.90%	0.75%	3.27%	3.18%	4.55%	2.67%	2.22%	3.77%	2.02%	1.05%	4.83%	1.85%	1.02%	2.89%	0.96%	2.55%	1.98%	0.73%	1.76%	1.73%	2.51%	0.44%	2.47%	1.78%	2.68%	5.33%	5.04%	2.67%	1.10%					
19	. Малышкин Олег Александрович	911	20	6	22	10	1	6	37	12	24	9	23	7	18	20	18	33	24	6	19	35	17	11	23	8	23	19	17	13	29	17	19	9	20	8	26	9	0	5	6	6	20	37	5	13	8	29	2	22	6	14	12	20	5	11	10	9	8	9	20	0	3	12	1					
		2.10%	2.29%	1.91%	2.24%	2.08%	0.22%	1.23%	2.65%	1.57%	2.04%	1.81%	2.77%	1.30%	2.71%	3.02%	1.61%	2.44%	1.60%	0.89%	1.88%	3.42%	2.19%	1.23%	1.69%	1.12%	2.04%	2.35%	1.50%	1.09%	2.31%	1.54%	4.55%	3.64%	6.21%	2.16%	2.09%	3.40%	0.00%	0.99%	2.27%	3.21%	2.47%	2.79%	2.53%	3.40%	2.04%	2.34%	2.04%	1.59%	0.96%	2.23%	1.70%	4.88%	2.94%	1.90%	4.18%	3.96%	1.24%	3.20%	3.57%	0.00%	2.16%	1.23%	1.10%					
20	. Миронов Сергей Михайлович	283	7	4	12	4	1	7	10	5	4	8	2	4	9	6	5	16	7	4	7	5	2	4	14	3	4	1	8	5	4	4	2	1	4	1	7	3	0	3	1	0	2	8	2	1	3	6	2	14	2	8	7	0	0	1	0	1	5	3	15	1	0	4	0					
		0.65%	0.80%	1.27%	1.22%	0.83%	0.22%	1.43%	0.72%	0.65%	0.34%	1.61%	0.24%	0.74%	1.36%	0.90%	0.45%	1.18%	0.47%	0.59%	0.69%	0.49%	0.26%	0.45%	1.03%	0.42%	0.36%	0.12%	0.70%	0.42%	0.32%	0.36%	0.48%	0.40%	1.24%	0.27%	0.56%	1.13%	0.00%	0.60%	0.38%	0.00%	0.25%	0.60%	1.01%	0.26%	0.76%	0.48%	2.04%	1.01%	0.32%	1.27%	0.99%	0.00%	0.00%	0.17%	0.00%	0.44%	0.77%	1.07%	2.68%	1.33%	0.00%	0.41%	0.00%					
