Выборы Президента Российской Федерации																																																																																																		
Дата голосования: 02.03.2008																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Мытищинская																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
	Число участковых избирательных комиссий	91																																																																																																
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	91																																																																																																
																																																																																																		
		Сумма	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587					
1	"Число избирателей, включенных в списки избирателей"	153401	2109	1154	2520	2100	2138	2043	2502	1537	2036	2278	2193	1588	1934	1994	1556	2004	1604	2381	2149	2049	2476	2016	1818	2243	1988	1883	2275	1271	1863	1145	789	679	205	271	2133	242	2452	2478	2796	750	753	996	1264	414	437	198	553	664	1903	677	1205	179	669	1852	1736	1515	1668	1476	1377	1474	2383	2350	1668	2225	1444	1947	1714	1868	974	1032	1903	1035	2211	2392	2630	1869	1846	2051	1959	2789	2811	1296	2854	2620	1874	1415	1301	2041	2058	1516	2673					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	133900	1800	1200	2200	1900	1900	1700	2100	1400	1800	1900	1800	1500	1600	1800	1300	1700	1300	2100	2000	1800	2100	1800	1500	2000	1800	1500	1800	1200	1500	1100	700	600	200	300	1900	200	2000	2000	2300	800	700	1000	1200	400	500	200	550	500	1800	700	1100	150	700	1500	1500	1200	1300	1250	1200	1200	2200	2100	1400	1900	1400	1700	1500	1300	950	900	1800	1000	1800	2300	2400	1600	1600	1700	1600	2300	2300	1200	2400	2300	1600	1200	1500	1600	1700	1500	2400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	90085	1123	713	1456	1183	1126	1156	1349	874	1208	1207	1187	907	1197	1185	932	1133	937	1349	1323	1165	1543	1139	887	1264	1161	934	1292	892	884	650	498	398	129	190	1452	168	1902	1782	2006	556	482	625	751	255	263	118	381	452	1276	488	900	91	669	958	961	862	714	646	692	906	1303	1324	883	1331	877	1166	940	1191	461	619	1087	538	1170	1422	1495	1017	1004	1245	1130	1650	1647	738	1734	1456	1010	790	1019	1164	1199	1020	1528					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3025	24	12	18	63	40	18	34	11	81	42	25	27	20	28	42	61	24	34	29	53	9	47	17	67	96	54	42	20	17	25	126	54	35	45	35	27	93	52	70	15	64	61	58	26	64	51	18	7	6	73	48	39	0	11	9	44	38	19	5	100	33	16	16	4	23	9	18	24	18	31	15	5	26	46	37	19	18	15	22	36	10	27	14	14	28	25	22	20	17	14	30					
6	Число погашенных избирательных бюллетеней	40783	653	475	726	654	734	526	717	515	511	651	588	566	383	585	326	506	339	717	648	582	548	614	596	669	543	512	466	288	599	425	76	148	36	65	413	5	5	166	224	229	154	314	391	119	173	31	151	41	518	139	152	20	31	531	530	294	548	585	503	194	864	760	501	565	497	525	542	85	471	248	698	457	604	832	868	564	578	440	448	614	643	435	652	830	562	385	459	416	484	466	842					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3025	24	12	18	63	40	18	34	11	81	42	25	27	20	28	42	61	24	34	29	53	9	47	17	67	96	54	42	20	17	25	126	54	35	45	35	27	93	52	70	15	64	61	58	26	64	51	18	7	6	73	48	39	0	11	9	44	38	19	5	100	33	16	16	4	23	9	18	24	18	31	15	5	26	46	37	19	18	15	22	36	10	27	14	14	28	25	22	20	17	14	30					
8	Число бюллетеней в стационарных ящиках для голосования	89888	1121	713	1454	1183	1124	1150	1345	874	1208	1206	1186	906	1197	1157	932	1131	936	1299	1323	1165	1543	1136	885	1262	1160	934	1292	889	884	650	498	398	129	190	1445	168	1901	1782	1989	556	480	625	749	255	263	118	381	452	1276	488	899	91	669	958	961	859	713	643	692	906	1301	1324	882	1329	877	1166	937	1186	458	619	1086	538	1165	1415	1495	1016	1004	1245	1125	1645	1642	737	1734	1454	1010	790	1019	1164	1198	1020	1528					
9	Число недействительных избирательных бюллетеней	2002	26	19	30	18	29	22	37	19	38	23	42	20	32	28	19	24	15	45	30	26	48	23	14	47	30	22	30	13	21	10	8	14	0	5	32	2	23	26	51	15	16	15	12	2	4	2	7	3	11	5	11	1	11	22	22	26	18	14	8	25	23	20	11	23	19	17	22	34	11	9	22	13	28	45	40	26	23	38	19	39	38	37	36	30	13	19	38	20	27	16	35					
10	Число действительных избирательных бюллетеней	90911	1119	706	1442	1228	1135	1146	1342	866	1251	1225	1169	913	1185	1157	955	1168	945	1288	1322	1192	1504	1160	888	1282	1226	966	1304	896	880	665	616	438	164	230	1448	193	1971	1808	2008	556	528	671	795	279	323	167	392	456	1271	556	936	129	658	947	948	877	733	648	689	981	1311	1320	887	1310	881	1158	933	1176	465	641	1079	530	1163	1416	1492	1009	999	1222	1128	1642	1614	727	1712	1438	1025	796	1003	1164	1188	1018	1523					
11	Число полученных открепительных  удостоверений	4327	50	50	55	50	55	55	70	30	50	65	50	35	50	60	40	50	50	50	50	100	60	70	40	50	50	40	50	50	50	40	40	40	10	40	100	10	80	60	60	20	30	20	40	20	20	10	20	20	50	60	50	10	0	50	40	40	40	40	30	30	50	50	50	50	50	50	50	50	40	40	50	40	50	50	50	50	40	67	100	95	60	50	64	66	50	50	50	40	80	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3357	48	29	52	50	51	48	57	28	47	52	38	25	37	60	26	44	22	47	47	66	60	67	31	47	34	39	37	29	36	26	25	21	7	16	77	4	80	60	60	20	22	15	21	8	14	8	13	11	37	28	23	4	0	40	21	20	25	31	22	27	50	42	36	37	29	42	40	34	9	35	38	18	32	48	40	39	30	49	55	82	59	24	64	64	41	34	45	38	72	41	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4341	14	10	16	75	25	55	57	68	23	9	20	92	141	50	34	23	21	26	22	33	59	21	24	37	53	37	37	63	33	14	21	22	6	53	118	19	31	239	332	11	75	36	20	45	27	7	17	201	30	26	156	27	102	11	24	39	29	28	40	44	43	19	34	20	25	25	13	98	41	35	26	49	95	35	61	21	29	102	43	22	59	26	38	35	30	40	64	24	61	76	24					
14	Число неиспользованных открепительных удостоверений	970	2	21	3	0	4	7	13	2	3	13	12	10	13	0	14	6	28	3	3	34	0	3	9	3	16	1	13	21	14	14	15	19	3	24	23	6	0	0	0	0	8	5	19	12	6	2	7	9	13	32	27	6	0	10	19	20	15	9	8	3	0	8	14	13	21	8	10	16	31	5	12	22	18	2	10	11	10	18	45	13	1	26	0	2	9	16	5	2	8	9	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	167	0	1	4	1	5	3	2	3	9	5	3	7	1	4	4	3	4	2	4	0	1	1	2	2	0	0	1	3	2	0	1	1	0	0	0	0	1	5	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	6	0	0	4	0	0	3	5	2	1	0	0	0	4	0	2	4	2	2	0	1	1	1	1	0	3	2	1	2	1	1	0	5	8	4	3	5					
16	Число утраченных избирательных бюллетеней	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																		
18	Богданов Андрей Владимирович	2157	27	14	42	21	29	38	51	22	25	29	36	13	29	23	19	37	25	31	22	34	51	28	26	42	35	25	31	17	23	20	8	8	5	9	25	5	33	30	26	21	15	12	8	6	10	2	16	5	17	7	12	1	18	35	33	25	21	9	22	17	40	29	16	33	16	31	18	33	10	8	18	15	31	29	21	28	23	32	33	46	38	25	38	37	24	15	27	29	24	29	35					
		2.32%	2.36%	1.93%	2.85%	1.69%	2.49%	3.25%	3.70%	2.49%	1.94%	2.32%	2.97%	1.39%	2.38%	1.94%	1.95%	3.10%	2.60%	2.33%	1.63%	2.79%	3.29%	2.37%	2.88%	3.16%	2.79%	2.53%	2.32%	1.87%	2.55%	2.96%	1.28%	1.77%	3.05%	3.83%	1.69%	2.56%	1.65%	1.64%	1.26%	3.68%	2.76%	1.75%	0.99%	2.14%	3.06%	1.18%	4.01%	1.09%	1.33%	1.25%	1.27%	0.77%	2.69%	3.61%	3.40%	2.77%	2.80%	1.36%	3.16%	1.69%	2.99%	2.16%	1.78%	2.48%	1.78%	2.64%	1.88%	2.73%	2.10%	1.23%	1.63%	2.76%	2.60%	1.98%	1.37%	2.71%	2.25%	2.54%	2.88%	2.74%	2.30%	3.27%	2.17%	2.52%	2.31%	1.84%	2.59%	2.45%	1.98%	2.80%	2.25%					
19	Жириновский Владимир Вольфович	10090	142	79	162	140	139	118	149	114	113	128	104	103	136	120	88	129	104	131	137	111	191	151	101	119	113	83	143	68	77	79	47	52	21	22	193	18	169	233	270	62	35	78	103	23	32	12	47	54	185	62	127	13	94	95	105	89	86	85	83	108	138	152	94	126	81	148	112	185	52	68	120	57	147	143	142	142	93	148	91	188	192	69	228	146	103	75	105	152	133	131	154					
		10.86%	12.40%	10.90%	11.01%	11.24%	11.94%	10.10%	10.80%	12.88%	8.77%	10.26%	8.59%	11.04%	11.18%	10.13%	9.03%	10.82%	10.83%	9.83%	10.13%	9.11%	12.31%	12.76%	11.20%	8.95%	8.99%	8.40%	10.72%	7.48%	8.55%	11.70%	7.53%	11.50%	12.80%	9.36%	13.04%	9.23%	8.48%	12.70%	13.11%	10.86%	6.43%	11.37%	12.76%	8.19%	9.79%	7.10%	11.78%	11.76%	14.43%	11.05%	13.41%	10.00%	14.05%	9.80%	10.82%	9.86%	11.45%	12.84%	11.91%	10.74%	10.34%	11.34%	10.47%	9.45%	9.00%	12.60%	11.73%	15.29%	10.92%	10.46%	10.90%	10.50%	12.34%	9.79%	9.27%	13.72%	9.10%	11.75%	7.93%	11.18%	11.62%	9.03%	13.04%	9.95%	9.92%	9.20%	10.09%	12.84%	10.95%	12.67%	9.88%					
20	Зюганов Геннадий Андреевич	19655	281	169	303	296	251	169	300	226	325	265	324	181	270	237	272	312	245	307	330	283	244	258	204	256	273	274	327	189	205	157	69	67	21	51	231	47	253	337	349	106	85	135	153	51	45	38	82	100	319	67	217	24	117	179	172	191	149	147	138	226	291	298	215	302	204	235	212	236	111	141	214	124	266	339	342	219	228	242	290	459	360	195	386	281	199	189	194	215	280	176	313					
