Выборы Президента Российской Федерации																																																																																																																																			
Дата голосования: 04.03.2012																																																																																																																																			
																																																																																																																																			
Наименование Избирательной комиссии:    Ногинская																																																																																																																																			
																																																																																																																																			
Сводная таблица итогов голосования																																																																																																																																			
																																																																																																																																			
	Число участковых избирательных комиссий	120																																																																																																																																	
	Число участковых избирательных комиссий, приступивших к передаче сведений	120																																																																																																																																	
																																																																																																																																			
		Сумма	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №3384	УИК №3387	УИК №3388									
1	Число избирателей, включенных в список избирателей	175080	2196	1620	1362	1085	1219	2148	1314	1776	2101	781	2324	1880	1163	1952	1709	1390	2458	1945	2015	1224	1632	1176	1848	1315	1505	1382	1320	1540	465	739	1632	1364	1597	1509	2234	1232	2220	1192	727	1023	2286	1852	1680	2248	2164	1817	2701	2248	1421	2205	1680	2656	1597	1155	169	558	279	1230	2225	2314	2801	2315	2016	1408	1358	618	1326	2796	2938	2863	1582	2676	1517	1431	2226	2955	2291	1745	710	1854	2406	2052	2144	771	2229	793	776	333	483	423	469	1251	1611	725	1806	868	366	985	429	177	378	271	258	828	1494	512	759	2607	534	1078	311	232	678	340	1994	1901	1909	846	1024	804									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	170850	2100	1600	1300	1000	1100	2100	1200	1700	2000	700	2300	1800	1100	1900	1600	1400	2400	2000	2000	1200	1600	1100	1800	1300	1400	1300	1300	1500	400	700	1600	1300	1500	1300	2400	1400	2200	1200	700	1000	2300	1700	1600	2200	2100	1800	2500	2200	1300	2200	1600	2500	1500	1100	200	500	300	1200	2100	2200	2700	2200	1900	1200	1200	600	1300	2700	2800	2700	2600	2600	1300	1300	2000	2800	2200	1600	600	1800	2300	2000	2100	700	2100	700	700	400	400	400	450	2200	1600	700	1800	800	350	900	400	150	350	250	250	800	1400	450	750	2500	500	1000	300	250	600	300	2100	2100	2200	1000	1100	800									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	93998	1146	811	718	477	694	1067	625	851	1036	438	1168	959	616	1096	990	835	1357	1215	1245	672	856	568	1057	751	891	626	640	772	280	397	752	667	748	818	1233	689	1168	531	336	526	1241	1046	919	1222	1226	1081	1568	1347	767	1112	847	1249	736	640	163	18	279	574	1060	1264	1536	1167	1084	1002	641	305	787	1426	1488	1412	1497	1420	630	667	1051	1562	1188	845	346	1106	1167	1025	1103	380	1193	523	356	265	314	277	357	694	780	343	924	416	132	483	192	56	154	127	123	402	750	267	391	1470	299	687	208	204	415	212	1032	972	1048	821	932	663									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	5544	28	26	45	29	38	29	43	26	30	56	32	48	14	42	29	27	38	20	44	50	24	17	25	23	16	12	40	45	14	5	32	28	8	29	15	11	45	6	4	7	19	18	11	26	22	17	80	41	13	36	19	243	32	38	0	481	0	27	32	28	18	74	36	41	45	59	13	31	83	32	85	26	120	30	273	25	86	100	105	59	150	14	25	106	298	65	80	68	42	25	93	32	53	20	23	56	94	29	65	53	55	22	25	4	11	9	9	14	55	46	12	3	66	35	7	12	10	25	45	64									
6	Число погашенных избирательных бюллетеней	71306	926	763	537	494	368	1004	532	823	934	206	1100	793	470	762	581	538	1005	765	711	478	720	515	718	526	493	662	620	683	106	298	816	605	744	453	1152	700	987	663	360	467	1040	636	669	952	852	702	852	812	519	1052	734	1008	732	422	37	1	21	599	1008	908	1146	959	780	157	514	236	500	1243	1229	1256	1018	1154	550	603	676	1213	926	655	149	635	983	961	972	214	609	112	264	67	44	98	0	1474	767	337	853	328	124	388	143	41	141	101	102	394	639	174	350	1016	146	267	80	43	119	53	1061	1116	1142	154	123	73									
