Выборы Президента Российской Федерации																																																																																																																			
Дата голосования: 02.03.2008																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Раменская																																																																																																																			
																																																																																																																			
Сводная таблица результатов выборов																																																																																																																			
																																																																																																																			
	Число участковых избирательных комиссий	108																																																																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	108																																																																																																																	
																																																																																																																			
		Сумма	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462					
1	"Число избирателей, включенных в списки избирателей"	151503	2367	2306	2389	2354	2056	2345	2301	1790	240	1890	2189	2008	2188	1877	1003	1376	1756	1833	2099	2004	1878	1687	1804	2445	2288	2411	907	1910	1989	2023	1917	1449	1799	1598	102	1217	807	1039	2119	1567	1011	440	351	1015	856	620	1017	864	1929	1112	1918	1931	1917	2023	1745	1065	590	1284	1826	725	2198	357	1192	711	1603	663	990	1481	1288	1370	1831	1658	335	1413	1386	618	443	1229	1448	1653	1507	313	1052	920	1727	2407	872	619	248	524	763	1465	886	1068	945	484	2129	2081	940	647	718	1991	965	1327	1245	745	1821	1661					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	127980	1850	1800	1850	1800	1850	1800	1700	1450	240	1500	1750	1550	1800	1500	850	1100	1350	1450	1700	1650	1500	1350	1450	1950	1850	1950	800	1550	1650	1600	1550	1300	1500	1350	100	1050	700	850	1700	1250	900	430	300	800	700	550	850	750	1650	900	1500	1700	1850	1700	1550	900	550	1250	1750	650	1900	350	1100	600	1300	600	900	1250	950	1100	1450	1400	300	1200	1200	600	420	1050	1350	1550	1350	300	900	850	1550	2000	850	600	240	500	750	1350	750	900	900	450	2000	1900	800	550	700	1600	800	1200	1200	650	1600	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	108615	1563	1381	1421	1522	1685	1485	1483	1107	117	1239	1481	1447	1323	1220	586	771	1069	1165	1434	1562	1099	1081	1142	1551	1609	1595	702	1382	1446	1402	1237	1235	1229	1209	93	961	494	706	1559	988	766	351	242	676	474	386	713	718	1609	790	1411	1672	1699	1567	1232	849	396	916	1505	542	1737	318	984	450	1152	541	738	1005	817	907	1044	1232	211	1043	989	432	378	730	1162	1388	1198	221	755	768	1441	1820	842	544	218	436	738	1315	589	803	836	319	1859	1625	703	491	515	1336	661	947	982	517	1335	1248					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	6030	46	50	94	26	30	55	20	43	109	69	59	66	96	202	75	137	45	42	33	44	43	23	20	35	42	20	28	20	22	43	29	35	73	27	7	20	100	43	1	126	55	33	35	26	80	35	52	29	29	34	40	28	22	49	181	25	73	80	85	80	103	32	94	74	62	21	32	115	54	20	132	39	35	41	43	119	42	51	28	34	34	45	97	36	14	46	5	36	22	40	12	35	60	86	56	116	51	34	52	50	21	157	99	101	71	92	142	80					
6	Число погашенных избирательных бюллетеней	13335	241	369	335	252	135	260	197	300	14	192	210	37	381	78	189	192	236	243	233	44	358	246	288	364	199	335	70	148	182	155	284	30	198	114	0	69	106	101	140	136	79	46	23	98	146	129	85	3	12	76	49	0	129	84	137	26	81	254	160	28	60	0	22	76	86	38	130	130	79	173	274	129	54	116	168	49	0	269	160	128	118	34	48	46	95	134	3	20	0	24	0	0	101	11	8	15	90	241	45	9	164	107	40	152	147	41	123	72					
