Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Серпуховская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647					
1	"Число избирателей, внесенных в список"	32934	314	1083	277	176	794	335	653	813	790	1192	637	219	528	169	336	2366	2408	126	203	106	697	2128	173	233	723	333	190	612	269	275	125	842	153	899	2281	1002	2355	2310	1510	2299					
2	Число полученных избирательных бюллетеней	29955	280	1000	260	173	700	290	520	670	750	1110	570	190	470	170	310	2150	2200	115	185	103	625	1950	170	250	660	310	191	540	240	250	126	780	187	820	2050	890	2150	2150	1350	2050					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17515	152	545	138	61	389	158	369	381	555	570	314	48	278	109	150	1217	1160	69	75	44	425	1086	79	143	398	156	106	316	112	158	101	395	98	414	1144	452	1230	1539	1026	1355					
5	"Число избирательных бюллетеней, выданных вне помещения"	1777	70	45	33	50	24	25	80	72	0	63	13	78	108	29	72	35	46	24	48	18	5	65	55	0	39	57	22	55	32	19	0	114	0	180	87	65	23	16	5	5					
6	Число погашенных избирательных бюллетеней	10663	58	410	89	62	287	107	71	217	195	477	243	64	84	32	88	898	994	22	62	41	195	799	36	107	223	97	63	169	96	73	25	271	89	226	819	373	897	595	319	690					
7	Число избирательных бюллетеней в переносных ящиках	1777	70	45	33	50	24	25	80	72	0	63	13	78	108	29	72	35	46	24	48	18	5	65	55	0	39	57	22	55	32	19	0	114	0	180	87	65	23	16	5	5					
8	Число бюллетеней в стационарных ящиках для голосования	17505	152	545	138	61	389	158	369	381	552	570	314	48	278	109	150	1213	1160	69	75	44	425	1086	79	143	398	156	106	316	112	158	101	395	98	414	1144	452	1230	1536	1026	1355					
9	Число недействительных избирательных бюллетеней	245	2	11	3	0	9	1	11	5	3	11	11	0	4	1	2	24	7	0	3	0	8	19	1	1	7	3	1	4	1	3	0	5	0	9	13	13	10	7	7	25					
10	Число действительных избирательных бюллетеней	19037	220	579	168	111	404	182	438	448	549	622	316	126	382	137	220	1224	1199	93	120	62	422	1132	133	142	430	210	127	367	143	174	101	504	98	585	1218	504	1243	1545	1024	1335					
