Выборы Президента Российской Федерации																																																																													
Дата голосования: 02.03.2008																																																																													
																																																																													
Наименование Избирательной комиссии:    Химкинская городская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
	Число участковых избирательных комиссий	70																																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	70																																																																											
																																																																													
		Сумма	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044					
1	"Число избирателей, включенных в списки избирателей"	135678	2671	1943	1842	2252	2372	2316	2062	1889	2155	2016	1840	2484	2333	2428	2066	1504	2492	2567	2536	2598	2350	1463	2482	2421	2240	2655	2483	2170	2193	1511	2327	2119	2094	2458	2313	2220	2611	2658	2732	1354	2073	1243	2314	2365	2373	2507	2157	1135	1251	1991	2706	2479	1978	521	2246	547	1296	2132	717	1496	1659	1546	2170	1648	611	1293	403	790	422	389					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	133200	2600	2450	1750	2200	2310	2070	1950	1750	2000	1800	1700	2280	2170	2100	2820	1500	2400	2500	2460	2400	2100	1500	2400	2350	2260	2500	2450	2070	2220	1400	2300	2000	2020	2380	2350	2200	2550	2610	2600	1150	1900	1050	2270	2550	2300	2400	2200	1100	1400	2000	2650	2400	2000	550	2180	520	1200	2050	690	1490	1660	1490	2140	1600	590	1400	500	1000	650	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	108747	2314	1876	1421	1351	2272	1329	1270	1286	1265	1634	1507	2182	2049	1366	2040	1241	1780	2016	2161	2256	1739	1316	2109	2041	1956	2454	2238	1830	2106	1330	2055	1918	1688	1362	2124	2019	1448	1422	2129	710	1744	982	1901	2019	1425	1990	1830	959	795	1907	2252	1981	1595	510	1851	427	1116	1872	538	1397	1567	743	1985	1316	477	1093	340	714	422	389					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2557	45	67	52	28	33	23	28	37	73	45	34	40	36	30	26	37	21	9	17	17	86	7	24	17	20	6	21	15	32	30	31	20	34	42	25	20	24	20	24	5	4	1	22	9	47	20	47	16	446	2	9	151	31	2	18	20	26	36	11	34	36	24	13	155	97	23	18	38	0	0					
6	Число погашенных избирательных бюллетеней	21877	241	507	277	817	5	718	652	427	662	121	159	58	85	704	754	222	599	475	282	127	275	177	267	292	284	40	191	225	82	40	214	56	298	976	197	158	1078	1166	447	435	152	67	347	522	828	390	323	125	159	91	389	268	374	38	311	73	58	142	141	59	57	723	142	129	16	284	142	248	228	261					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2549	45	67	52	28	33	23	28	37	73	45	34	40	36	30	26	37	21	9	17	17	86	7	24	17	20	6	21	15	32	30	31	20	34	42	17	20	24	20	24	5	4	1	22	9	47	20	47	16	446	2	9	151	31	2	18	20	26	36	11	34	36	24	13	155	97	23	18	38	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	108369	2314	1876	1421	1347	2001	1329	1264	1281	1265	1630	1507	2179	2049	1366	2040	1241	1763	2016	2161	2256	1733	1316	2101	2041	1956	2454	2238	1830	2102	1330	2055	1918	1681	1356	2124	2019	1448	1420	2122	710	1744	982	1901	2019	1425	1990	1824	959	795	1907	2236	1981	1595	510	1851	427	1114	1872	538	1397	1567	743	1981	1316	477	1093	340	714	422	389					
9	Число недействительных избирательных бюллетеней	3120	27	43	18	38	49	34	43	37	41	31	30	28	45	34	0	0	30	29	39	37	40	37	37	26	29	291	43	29	41	10	47	171	205	30	192	51	32	26	54	12	30	11	50	30	30	21	33	28	36	81	35	34	0	4	12	5	80	168	6	145	140	54	24	10	8	1	5	3	0	0					
10	Число действительных избирательных бюллетеней	107798	2332	1900	1455	1337	1985	1318	1249	1281	1297	1644	1511	2191	2040	1362	2066	1278	1754	1996	2139	2236	1779	1286	2088	2032	1947	2169	2216	1816	2093	1350	2039	1767	1510	1368	1949	1988	1440	1414	2092	703	1718	972	1873	1998	1442	1989	1838	947	1205	1828	2210	2098	1626	508	1857	442	1060	1740	543	1286	1463	713	1970	1461	566	1115	353	749	422	389					
11	Число полученных открепительных  удостоверений	3745	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	60	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	300	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	135	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2935	50	50	39	48	44	42	46	38	48	50	27	38	36	33	47	28	35	49	50	41	49	20	50	46	48	50	50	49	50	34	60	44	44	47	31	47	50	46	50	22	42	7	44	50	50	50	45	30	18	292	42	36	27	1	50	7	13	39	8	37	40	32	39	32	10	24	9	135	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3389	36	39	40	26	28	28	26	19	21	31	64	148	60	47	83	51	19	21	39	130	29	28	30	35	28	21	24	49	33	44	49	24	101	24	17	19	23	34	44	95	148	51	22	23	21	74	24	23	38	43	10	23	14	29	42	6	55	28	16	6	9	25	30	41	33	0	19	18	422	389					
