Выборы Президента Российской Федерации																																																																
Дата голосования: 18.03.2018																																																																
																																																																
Наименование Избирательной комиссии:    Шатурская городская																																																																
																																																																
Сводная таблица итогов голосования																																																																
																																																																
	Число участковых избирательных комиссий	53																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	53																																																														
																																																																
		Сумма	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360	УИК №3361	УИК №3362	УИК №3363	УИК №3364	УИК №3365	УИК №3585	УИК №4139	УИК №4140	УИК №4141	УИК №4142	УИК №4143	УИК №4144	УИК №4145									
1	"Число избирателей, включенных в список избирателей"	54341	1370	1132	1477	2162	1160	1731	1367	1394	1628	1655	951	1935	954	360	1103	896	475	1511	1157	1650	1362	1354	1562	336	407	1743	464	344	673	1133	411	800	1059	1043	319	891	299	132	281	414	982	523	255	1301	1585	583	980	1433	1269	1379	1175	815	966									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51600	1300	1100	1350	1900	1000	1600	1350	1300	1550	1550	900	1850	900	300	1000	850	450	1450	1150	1600	1400	1400	1600	300	350	1750	450	350	600	1100	400	800	1000	1000	300	900	300	140	250	360	1000	500	250	900	1500	550	950	1400	1200	1300	1150	800	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28832	760	679	820	1084	616	1023	788	814	939	1036	519	1044	593	214	560	332	241	740	560	833	631	657	739	189	234	720	214	218	314	734	116	518	611	531	51	435	124	69	97	152	561	243	74	572	885	298	583	843	700	751	712	558	503									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2411	12	85	22	23	24	24	18	10	7	11	4	22	22	9	20	7	20	32	24	32	75	82	75	12	9	61	23	24	31	16	94	79	82	96	79	47	43	26	68	157	41	69	38	226	231	43	9	14	6	16	17	36	58									
6	Число погашенных избирательных бюллетеней	20357	528	336	508	793	360	553	544	476	604	503	377	784	285	77	420	511	189	678	566	735	694	661	786	99	107	969	213	108	255	350	190	203	307	373	170	418	133	45	85	51	398	188	138	102	384	209	358	543	494	533	421	206	339									
