Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Вачская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472					
1	"Число избирателей, внесенных в список"	17886	648	207	209	106	1064	878	176	1817	1510	1592	413	230	170	228	172	221	322	976	456	157	459	969	322	634	264	1140	773	168	173	593	120	138	92	391	98					
2	Число полученных избирательных бюллетеней	16821	600	200	200	103	950	800	179	1660	1320	1460	410	220	165	225	173	219	315	900	435	155	450	910	310	620	275	1080	700	172	168	600	131	147	89	380	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10741	469	72	151	51	535	526	107	1285	932	976	210	153	124	137	135	178	207	567	268	89	195	522	175	272	172	668	534	111	89	402	37	70	35	234	53					
5	"Число избирательных бюллетеней, выданных вне помещения"	3591	115	107	42	50	312	78	52	96	170	224	142	56	33	71	30	30	64	226	100	55	182	206	92	229	61	174	97	42	71	76	67	51	41	111	38					
6	Число погашенных избирательных бюллетеней	2482	16	21	7	2	103	196	20	279	218	260	58	11	8	17	8	11	44	107	67	11	73	182	43	119	42	238	69	19	8	115	27	26	13	35	9					
7	Число избирательных бюллетеней в переносных ящиках	3598	115	107	42	50	312	78	52	96	170	224	142	56	33	71	30	30	64	226	100	55	182	206	92	229	61	174	97	42	71	83	67	51	41	111	38					
8	Число бюллетеней в стационарных ящиках для голосования	10740	469	72	151	51	535	526	107	1284	932	976	210	153	124	137	135	178	207	567	268	89	195	522	175	272	172	668	534	111	89	402	37	70	35	234	53					
9	Число недействительных избирательных бюллетеней	138	2	2	0	0	7	5	4	20	9	9	6	4	2	0	1	2	0	11	4	0	4	1	2	7	3	10	10	0	0	4	0	1	0	8	0					
10	Число действительных избирательных бюллетеней	14200	582	177	193	101	840	599	155	1360	1093	1191	346	205	155	208	164	206	271	782	364	144	373	727	265	494	230	832	621	153	160	481	104	120	76	337	91					
11	Число полученных открепительных  удостоверений	687	24	3	3	3	27	23	2	50	32	25	13	10	16	3	8	3	3	55	15	8	35	62	8	47	5	43	28	4	1	91	8	10	10	8	1					
12	Число выданных открепительных удостоверений	552	20	0	2	3	10	11	1	32	18	21	12	8	12	3	8	3	1	48	12	8	35	51	8	32	5	42	28	4	0	85	8	10	6	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	148	4	1	1	1	1	3	0	13	21	15	7	6	6	2	2	2	3	9	1	1	8	6	2	1	1	6	4	1	0	11	2	2	2	1	2					
14	Число неиспользованных открепительных удостоверений	135	4	3	1	0	17	12	1	18	14	4	1	2	4	0	0	0	2	7	3	0	0	11	0	15	0	1	0	0	1	6	0	0	4	3	1					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	411	16	4	1	2	16	22	6	49	45	45	5	5	1	7	5	2	2	30	9	2	13	24	9	19	1	18	21	3	4	15	0	1	1	6	2					
		2.87%	2.74%	2.23%	0.52%	1.98%	1.89%	3.64%	3.77%	3.55%	4.08%	3.75%	1.42%	2.39%	0.64%	3.37%	3.03%	0.96%	0.74%	3.78%	2.45%	1.39%	3.45%	3.30%	3.37%	3.79%	0.43%	2.14%	3.33%	1.96%	2.50%	3.09%	0.00%	0.83%	1.32%	1.74%	2.20%					
19	. Малышкин Олег Александрович	370	14	3	8	1	21	15	7	33	24	28	13	8	1	6	2	6	5	21	9	2	5	20	4	14	5	29	20	2	0	20	2	6	3	7	6					
		2.58%	2.40%	1.68%	4.15%	0.99%	2.48%	2.48%	4.40%	2.39%	2.18%	2.33%	3.69%	3.83%	0.64%	2.88%	1.21%	2.88%	1.85%	2.65%	2.45%	1.39%	1.33%	2.75%	1.50%	2.79%	2.15%	3.44%	3.17%	1.31%	0.00%	4.12%	1.92%	4.96%	3.95%	2.03%	6.59%					
20	. Миронов Сергей Михайлович	117	6	0	1	0	6	11	1	12	6	9	0	2	1	0	0	1	1	8	3	0	7	6	0	12	1	10	2	3	2	3	1	0	0	2	0					
		0.82%	1.03%	0.00%	0.52%	0.00%	0.71%	1.82%	0.63%	0.87%	0.54%	0.75%	0.00%	0.96%	0.64%	0.00%	0.00%	0.48%	0.37%	1.01%	0.82%	0.00%	1.86%	0.82%	0.00%	2.40%	0.43%	1.19%	0.32%	1.96%	1.25%	0.62%	0.96%	0.00%	0.00%	0.58%	0.00%					
21	. Путин Владимир Владимирович	10680	438	146	137	80	658	423	98	977	807	860	287	143	118	157	145	178	223	595	287	122	297	538	196	322	199	610	473	125	136	376	82	73	62	248	64					
		74.49%	75.00%	81.56%	70.98%	79.21%	77.69%	70.03%	61.64%	70.80%	73.23%	71.67%	81.53%	68.42%	75.16%	75.48%	87.88%	85.58%	82.29%	75.03%	77.99%	84.72%	78.78%	73.90%	73.41%	64.27%	85.41%	72.45%	74.96%	81.70%	85.00%	77.53%	78.85%	60.33%	81.58%	71.88%	70.33%					
22	. Хакамада Ирина Муцуовна	250	7	2	1	1	19	14	5	43	23	21	5	3	1	10	1	0	1	17	9	2	5	10	0	7	2	13	11	3	0	3	0	6	0	4	1					
