Выборы Президента Российской Федерации																																																																						
Дата голосования: 02.03.2008																																																																						
																																																																						
"Наименование Избирательной комиссии:    Дзержинская, Свердловская"																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
	Число участковых избирательных комиссий	63																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	63																																																																				
																																																																						
		Сумма	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №941	УИК №2194					
1	"Число избирателей, включенных в списки избирателей"	109530	1445	1683	1702	1655	1670	1055	1237	1214	1664	1931	1248	2072	2126	1726	2453	2002	2183	1537	2420	1370	2847	2447	2326	1869	1480	1217	1896	1533	1330	1521	805	912	953	2432	2157	2266	2441	2133	1993	2374	2130	1884	1892	1708	1680	2529	2497	2388	2349	1206	1447	1297	1231	2303	1689	1296	2185	2455	1694	1929	110	188	118					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	91450	1000	1500	1500	1500	1500	1000	1000	1000	1500	1500	1000	1500	1500	1500	2000	1500	2000	1500	2000	1000	2500	2000	2000	1500	1100	1000	1500	1500	1000	1500	800	700	700	2000	2000	2000	2000	2000	1500	2000	1500	1500	1500	1500	1500	2000	2000	2000	2000	1000	1100	1000	1000	2000	1500	1000	2000	2000	1500	1500	150	200	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	56610	719	885	838	802	836	522	629	619	841	910	539	1112	938	860	1339	1111	1163	796	1269	700	1344	1322	1227	949	794	651	992	850	627	750	439	381	398	1275	1178	1185	1348	1147	1033	1255	1138	863	945	904	808	1476	1272	1501	1162	562	758	711	599	1130	851	680	1151	1249	960	1054	103	101	59					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2317	28	24	42	34	38	30	37	27	22	34	54	27	37	17	30	41	44	35	26	6	31	52	35	47	17	16	40	80	20	32	198	58	55	43	29	34	18	52	26	35	6	34	46	19	14	42	104	78	88	19	10	13	14	20	24	27	12	24	11	24	0	78	59					
6	Число погашенных избирательных бюллетеней	32523	253	591	620	664	626	448	334	354	637	556	407	361	525	623	631	348	793	669	705	294	1125	626	738	504	289	333	468	570	353	718	163	261	247	682	793	781	634	801	441	710	356	603	509	577	678	482	624	421	750	419	332	276	387	850	625	293	837	727	529	422	47	21	82					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2317	28	24	42	34	38	30	37	27	22	34	54	27	37	17	30	41	44	35	26	6	31	52	35	47	17	16	40	80	20	32	198	58	55	43	29	34	18	52	26	35	6	34	46	19	14	42	104	78	88	19	10	13	14	20	24	27	12	24	11	24	0	78	59					
8	Число бюллетеней в стационарных ящиках для голосования	56603	718	885	838	802	836	522	629	618	840	910	539	1112	938	860	1339	1111	1163	796	1269	700	1344	1322	1227	949	794	651	992	850	627	750	439	381	398	1275	1178	1184	1346	1147	1033	1255	1138	863	945	904	808	1476	1272	1501	1161	562	758	711	599	1130	851	680	1151	1249	960	1054	103	101	59					
9	Число недействительных избирательных бюллетеней	714	10	15	7	14	11	4	6	2	20	10	7	18	5	11	9	12	7	13	17	10	15	12	15	14	13	10	15	8	11	7	10	4	4	20	9	19	20	24	21	20	15	3	16	10	19	25	16	26	3	4	9	11	5	14	7	3	7	7	13	15	4	2	1					
10	Число действительных избирательных бюллетеней	58206	736	894	873	822	863	548	660	643	842	934	586	1121	970	866	1360	1140	1200	818	1278	696	1360	1362	1247	982	798	657	1017	922	636	775	627	435	449	1298	1198	1199	1344	1175	1038	1270	1129	894	975	913	803	1493	1360	1553	1246	577	759	713	608	1136	868	704	1156	1266	958	1063	99	177	117					
