Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Ковернинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999	УИК  1000	УИК  1001	УИК  1002					
1	"Число избирателей, внесенных в список"	16481	2526	2331	875	812	293	151	1127	391	451	393	1610	927	856	344	634	503	180	539	677	244	617					
2	Число полученных избирательных бюллетеней	16820	2570	2340	900	850	300	170	1150	390	480	390	1600	930	900	360	670	500	190	540	700	240	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7827	1258	1161	399	293	71	64	644	150	204	218	855	394	348	167	278	251	71	237	357	139	268					
5	"Число избирательных бюллетеней, выданных вне помещения"	2920	82	124	106	222	133	55	171	154	191	98	135	213	211	83	184	125	81	164	114	70	204					
6	Число погашенных избирательных бюллетеней	6073	1230	1055	395	335	96	51	335	86	85	74	610	323	341	110	208	124	38	139	229	31	178					
7	Число избирательных бюллетеней в переносных ящиках	2920	82	124	106	222	133	55	171	154	191	98	135	213	211	83	184	125	81	164	114	70	204					
8	Число бюллетеней в стационарных ящиках для голосования	7827	1258	1161	399	293	71	64	644	150	204	218	855	394	348	167	278	251	71	237	357	139	268					
9	Число недействительных избирательных бюллетеней	66	13	5	4	3	0	1	2	2	2	3	12	3	1	1	3	0	0	2	4	0	5					
10	Число действительных избирательных бюллетеней	10681	1327	1280	501	512	204	118	813	302	393	313	978	604	558	249	459	376	152	399	467	209	467					
11	Число полученных открепительных  удостоверений	400	50	40	20	20	11	8	30	10	22	11	40	20	20	10	15	12	8	13	16	9	15					
12	Число выданных открепительных удостоверений	96	13	7	3	16	0	0	3	1	22	3	1	8	13	0	2	2	0	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	8	3	5	1	4	0	4	2	4	2	3	3	3	1	4	0	1	1	1	1	1					
14	Число неиспользованных открепительных удостоверений	304	37	33	17	4	11	8	27	9	0	8	39	12	7	10	13	10	8	13	14	9	15					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	253	50	34	8	13	2	1	16	5	4	9	26	11	10	12	11	9	0	7	11	3	11					
		2.35%	3.73%	2.65%	1.58%	2.52%	0.98%	0.84%	1.96%	1.64%	1.01%	2.85%	2.63%	1.81%	1.79%	4.80%	2.38%	2.39%	0.00%	1.75%	2.34%	1.44%	2.33%					
19	. Малышкин Олег Александрович	297	20	28	16	16	3	6	21	4	11	10	33	9	18	8	11	19	7	16	24	4	13					
		2.76%	1.49%	2.18%	3.17%	3.11%	1.47%	5.04%	2.58%	1.32%	2.78%	3.16%	3.33%	1.48%	3.22%	3.20%	2.38%	5.05%	4.61%	3.99%	5.10%	1.91%	2.75%					
20	. Миронов Сергей Михайлович	97	19	13	3	4	0	3	5	2	2	3	7	6	6	3	3	3	0	2	6	4	3					
		0.90%	1.42%	1.01%	0.59%	0.78%	0.00%	2.52%	0.61%	0.66%	0.51%	0.95%	0.71%	0.99%	1.07%	1.20%	0.65%	0.80%	0.00%	0.50%	1.27%	1.91%	0.64%					
21	. Путин Владимир Владимирович	8057	936	901	379	390	171	84	686	232	303	214	720	482	457	188	376	256	125	341	311	164	341					
		74.97%	69.85%	70.12%	75.05%	75.73%	83.82%	70.59%	84.17%	76.32%	76.71%	67.72%	72.73%	79.41%	81.75%	75.20%	81.39%	68.09%	82.24%	85.04%	66.03%	78.47%	72.25%					
22	. Хакамада Ирина Муцуовна	198	32	32	19	12	0	3	3	4	5	7	16	19	4	3	7	8	0	1	12	7	4					
		1.84%	2.39%	2.49%	3.76%	2.33%	0.00%	2.52%	0.37%	1.32%	1.27%	2.22%	1.62%	3.13%	0.72%	1.20%	1.52%	2.13%	0.00%	0.25%	2.55%	3.35%	0.85%					
23	. Харитонов Николай Михайлович	1566	233	232	68	62	27	21	71	53	59	66	135	69	55	31	47	75	18	31	98	26	89					
		14.57%	17.39%	18.05%	13.47%	12.04%	13.24%	17.65%	8.71%	17.43%	14.94%	20.89%	13.64%	11.37%	9.84%	12.40%	10.17%	19.95%	11.84%	7.73%	20.81%	12.44%	18.86%					
																												
24	Против всех	213	37	40	8	15	1	0	11	2	9	4	41	8	8	4	4	6	2	1	5	1	6					
		1.98%	2.76%	3.11%	1.58%	2.91%	0.49%	0.00%	1.35%	0.66%	2.28%	1.27%	4.14%	1.32%	1.43%	1.60%	0.87%	1.60%	1.32%	0.25%	1.06%	0.48%	1.27%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
