Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Краснобаковская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024					
1	"Число избирателей, внесенных в список"	17443	963	1624	1750	1512	483	1380	1649	1620	450	489	411	181	394	586	927	238	599	167	209	405	984	422					
2	Число полученных избирательных бюллетеней	17200	930	1590	1690	1480	440	1370	1640	1610	450	490	420	173	390	600	910	230	590	167	200	420	990	420					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8870	490	846	991	804	264	701	663	821	190	199	187	77	143	324	700	168	317	90	125	160	435	175					
5	"Число избирательных бюллетеней, выданных вне помещения"	1852	104	76	60	90	66	89	126	94	110	169	110	43	126	115	16	15	86	38	14	148	101	56					
6	Число погашенных избирательных бюллетеней	6478	336	668	639	586	110	580	851	695	150	122	123	53	121	161	194	47	187	39	61	112	454	189					
7	Число избирательных бюллетеней в переносных ящиках	1850	102	76	60	90	66	89	126	94	110	169	110	43	126	115	16	15	86	38	14	148	101	56					
8	Число бюллетеней в стационарных ящиках для голосования	8869	490	846	991	804	264	701	663	821	190	199	187	77	143	323	700	168	317	90	125	160	435	175					
9	Число недействительных избирательных бюллетеней	83	4	7	3	3	4	9	7	16	2	3	1	1	1	4	4	2	3	0	0	3	4	2					
10	Число действительных избирательных бюллетеней	10636	588	915	1048	891	326	781	782	899	298	365	296	119	268	434	712	181	400	128	139	305	532	229					
11	Число полученных открепительных  удостоверений	320	25	30	25	30	10	15	15	20	10	20	10	5	10	10	25	10	10	5	5	10	10	10					
12	Число выданных открепительных удостоверений	136	10	10	8	5	2	6	9	5	4	14	3	1	6	8	25	4	1	0	1	7	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	146	1	10	9	5	23	10	6	9	2	1	4	5	5	1	35	4	2	0	3	3	3	5					
14	Число неиспользованных открепительных удостоверений	184	15	20	17	25	8	9	6	15	6	6	7	4	4	2	0	6	9	5	4	3	5	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	281	15	42	35	23	5	20	25	18	3	6	4	0	11	5	28	5	8	0	1	16	7	4					
		2.62%	2.53%	4.56%	3.33%	2.57%	1.52%	2.53%	3.17%	1.97%	1.00%	1.63%	1.35%	0.00%	4.09%	1.14%	3.91%	2.73%	1.99%	0.00%	0.72%	5.19%	1.31%	1.73%					
19	. Малышкин Олег Александрович	277	20	22	28	21	6	14	23	20	6	5	11	5	11	5	34	1	9	3	5	12	12	4					
		2.58%	3.38%	2.39%	2.66%	2.35%	1.82%	1.77%	2.92%	2.19%	2.00%	1.36%	3.70%	4.17%	4.09%	1.14%	4.75%	0.55%	2.23%	2.34%	3.60%	3.90%	2.24%	1.73%					
20	. Миронов Сергей Михайлович	124	13	8	11	11	4	17	12	10	4	2	5	0	1	3	10	1	5	0	0	2	2	3					
		1.16%	2.20%	0.87%	1.05%	1.23%	1.21%	2.15%	1.52%	1.09%	1.33%	0.54%	1.68%	0.00%	0.37%	0.68%	1.40%	0.55%	1.24%	0.00%	0.00%	0.65%	0.37%	1.30%					
21	. Путин Владимир Владимирович	7835	414	625	754	668	221	595	575	706	236	250	237	98	196	359	410	151	311	104	117	207	431	170					
		73.09%	69.93%	67.79%	71.74%	74.72%	66.97%	75.32%	72.88%	77.16%	78.67%	67.93%	79.80%	81.67%	72.86%	81.96%	57.26%	82.51%	77.17%	81.25%	84.17%	67.21%	80.41%	73.59%					
22	. Хакамада Ирина Муцуовна	242	20	28	26	24	15	19	23	14	5	3	3	0	3	3	13	5	12	1	5	6	9	5					
		2.26%	3.38%	3.04%	2.47%	2.68%	4.55%	2.41%	2.92%	1.53%	1.67%	0.82%	1.01%	0.00%	1.12%	0.68%	1.82%	2.73%	2.98%	0.78%	3.60%	1.95%	1.68%	2.16%					
23	. Харитонов Николай Михайлович	1606	92	156	144	123	72	99	110	104	42	93	35	15	42	57	163	18	51	20	8	59	64	39					
		14.98%	15.54%	16.92%	13.70%	13.76%	21.82%	12.53%	13.94%	11.37%	14.00%	25.27%	11.78%	12.50%	15.61%	13.01%	22.77%	9.84%	12.66%	15.62%	5.76%	19.16%	11.94%	16.88%					
																													
24	Против всех	271	14	34	50	21	3	17	14	27	2	6	1	1	4	2	54	0	4	0	3	3	7	4					
		2.53%	2.36%	3.69%	4.76%	2.35%	0.91%	2.15%	1.77%	2.95%	0.67%	1.63%	0.34%	0.83%	1.49%	0.46%	7.54%	0.00%	0.99%	0.00%	2.16%	0.97%	1.31%	1.73%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
