Выборы Президента Российской Федерации																																																																																			
Дата голосования: 04.03.2012																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Кстовская																																																																																			
																																																																																			
Сводная таблица итогов голосования																																																																																			
																																																																																			
	Число участковых избирательных комиссий	72																																																																																	
	Число участковых избирательных комиссий, приступивших к передаче сведений	72																																																																																	
																																																																																			
		Сумма	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130									
1	Число избирателей, включенных в список избирателей	91349	1583	1428	1441	1379	1520	2778	1910	2534	2326	1831	1715	1171	1635	1330	1438	1665	1186	1546	1927	1437	1817	1431	1846	2535	1801	1581	2683	1091	1029	2863	309	465	546	508	2233	455	404	2551	342	1406	1689	1146	1864	1231	2730	1685	357	1541	630	366	443	308	182	92	2180	353	281	1869	1896	1501	288	132	362	1028	1785	196	710	289	1253	283	186	817									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	74097	1200	1100	1200	1200	1200	2200	1500	2000	1800	1500	1400	1000	1400	1100	1200	1400	1000	1200	1400	1200	1500	1200	1500	2000	1500	1300	2100	900	800	2300	250	400	450	400	1800	400	350	2100	300	1200	1350	950	1500	1000	2200	1350	300	1250	500	300	350	250	150	80	1800	300	250	1500	1500	1250	250	117	300	850	1400	150	600	250	1000	250	150	700									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	51487	895	789	815	1010	993	1825	1171	1478	1535	1218	1263	603	1018	783	858	960	763	812	1060	881	1109	901	1035	1583	1151	937	1461	648	574	1469	102	228	234	248	1156	226	169	1359	151	703	833	645	1020	554	1890	769	158	937	347	131	283	188	103	21	1100	112	102	900	1016	869	139	56	158	516	770	59	388	63	646	78	83	379									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3364	105	87	29	31	11	104	23	33	65	4	34	30	65	62	31	50	11	15	226	123	21	36	27	7	13	43	86	41	27	26	54	4	19	63	71	13	38	13	9	10	7	44	6	53	15	44	64	93	17	73	8	11	8	17	40	76	37	124	62	83	32	47	54	48	214	36	78	56	14	88	32	23									
6	Число погашенных избирательных бюллетеней	19246	200	224	356	159	196	271	306	489	200	278	103	367	317	255	311	390	226	373	114	196	370	263	438	410	336	320	553	211	199	805	94	168	197	89	573	161	143	728	140	487	510	261	474	393	295	537	78	220	136	96	59	51	39	42	660	112	111	476	422	298	79	14	88	286	416	55	134	131	340	84	35	298									
