Выборы Президента Российской Федерации																																																																											
Дата голосования: 02.03.2008																																																																											
																																																																											
Наименование Избирательной комиссии:    Павловская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
	Число участковых избирательных комиссий	68																																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	68																																																																									
																																																																											
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908					
1	"Число избирателей, включенных в списки избирателей"	82113	1484	1812	1496	2106	2126	1998	1840	1917	1003	2622	2238	1773	1754	1167	1256	1118	2271	1702	1775	1799	2048	2088	1803	1869	2344	1065	1540	513	1454	1313	1373	1416	1384	1618	1309	988	807	117	2653	1459	1458	283	481	172	139	1218	457	467	150	192	237	1194	101	1053	159	747	1477	1327	604	113	1406	1306	559	70	284	183	318	1540					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	77585	1400	1750	1400	1900	2000	1950	1750	1800	900	2450	2150	1700	1550	1050	1150	1050	2200	1600	1700	1700	2000	2000	1650	1750	2250	1000	1450	500	1350	1200	1300	1300	1300	1500	1250	950	800	100	2500	1300	1350	280	485	160	140	1150	450	450	140	185	235	1150	110	1000	160	760	1400	1300	600	110	1350	1250	550	65	280	190	285	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	48803	1026	1301	1075	1424	1441	1271	1129	1213	575	1546	1274	1074	1049	664	806	652	1311	1041	1086	1157	1306	1309	1198	1115	1316	634	971	146	648	625	664	681	660	997	675	694	591	69	1504	732	826	127	205	98	118	688	277	191	86	104	81	737	87	668	100	425	811	851	344	94	855	600	253	52	170	130	119	1056					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4711	64	17	26	37	108	61	45	45	47	87	24	36	33	31	38	46	62	38	37	35	29	34	19	37	89	23	57	333	86	40	34	115	119	5	76	62	57	27	175	118	65	45	88	41	14	181	72	161	31	36	97	108	9	69	32	137	156	38	67	0	69	282	178	10	43	25	142	63					
6	Число погашенных избирательных бюллетеней	24071	310	432	299	439	451	618	576	542	278	817	852	590	468	355	306	352	827	521	577	508	665	657	433	598	845	343	422	21	616	535	602	504	521	498	499	194	152	4	821	450	459	108	192	21	8	281	101	98	23	45	57	305	14	263	28	198	433	411	189	16	426	368	119	3	67	35	24	281					
