Выборы Президента Российской Федерации																																														
Дата голосования: 18.03.2018																																														
																																														
Наименование Избирательной комиссии:    Пильнинская																																														
																																														
Сводная таблица итогов голосования																																														
																																														
	Число участковых избирательных комиссий	35																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	35																																												
																																														
		Сумма	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596									
1	"Число избирателей, включенных в список избирателей"	16113	1594	1369	1676	1613	802	258	630	266	446	190	784	255	233	155	397	114	175	160	54	101	231	225	321	71	624	185	178	237	152	684	746	504	81	255	347									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15050	1500	1300	1600	1500	700	250	600	250	420	180	700	230	230	140	370	100	170	150	50	100	200	200	300	65	600	180	170	210	140	650	700	500	75	220	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9204	878	743	1028	907	364	106	297	148	251	79	435	159	107	76	222	59	144	81	33	60	158	100	178	31	391	135	127	132	92	418	422	371	47	189	236									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1492	31	41	40	55	152	80	97	67	89	71	127	20	35	35	37	32	14	28	11	17	26	64	44	21	86	17	9	24	24	23	14	23	7	11	20									
6	Число погашенных избирательных бюллетеней	4354	591	516	532	538	184	64	206	35	80	30	138	51	88	29	111	9	12	41	6	23	16	36	78	13	123	28	34	54	24	209	264	106	21	20	44									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1492	31	41	40	55	152	80	97	67	89	71	127	20	35	35	37	32	14	28	11	17	26	64	44	21	86	17	9	24	24	23	14	23	7	11	20									
8	Число бюллетеней в стационарных ящиках для голосования	9202	878	743	1028	905	364	106	297	148	251	79	435	159	107	76	222	59	144	81	33	60	158	100	178	31	391	135	127	132	92	418	422	371	47	189	236									
9	Число недействительных избирательных бюллетеней	93	9	4	10	14	5	0	3	1	6	0	6	3	0	0	3	0	2	0	0	0	0	3	0	0	2	1	1	2	2	2	4	8	0	0	2									
10	Число действительных избирательных бюллетеней	10601	900	780	1058	946	511	186	391	214	334	150	556	176	142	111	256	91	156	109	44	77	184	161	222	52	475	151	135	154	114	439	432	386	54	200	254									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
13	Бабурин Сергей Николаевич	77	10	7	13	9	3	1	2	0	0	1	5	1	1	0	1	0	1	4	1	0	0	1	3	0	0	1	1	1	0	2	4	2	0	2	0									
		0.72%	1.10%	0.89%	1.22%	0.94%	0.58%	0.54%	0.51%	0.00%	0.00%	0.67%	0.89%	0.56%	0.70%	0.00%	0.39%	0.00%	0.63%	3.67%	2.27%	0.00%	0.00%	0.61%	1.35%	0.00%	0.00%	0.66%	0.74%	0.64%	0.00%	0.45%	0.92%	0.51%	0.00%	1.00%	0.00%									
14	Грудинин Павел Николаевич	1347	177	163	174	173	62	11	41	18	23	23	41	14	18	9	26	4	4	13	2	2	17	5	16	6	29	22	12	12	10	49	63	41	10	30	27									
		12.60%	19.47%	20.79%	16.29%	18.02%	12.02%	5.91%	10.41%	8.37%	6.76%	15.33%	7.30%	7.82%	12.68%	8.11%	10.04%	4.40%	2.53%	11.93%	4.55%	2.60%	9.24%	3.05%	7.21%	11.54%	6.08%	14.47%	8.82%	7.69%	8.62%	11.11%	14.45%	10.41%	18.52%	15.00%	10.55%									
15	Жириновский Владимир Вольфович	701	81	71	94	80	30	11	19	20	26	9	48	22	12	8	20	7	11	12	1	8	3	11	13	1	21	6	4	9	8	5	5	9	5	3	8									
		6.56%	8.91%	9.06%	8.80%	8.33%	5.81%	5.91%	4.82%	9.30%	7.65%	6.00%	8.54%	12.29%	8.45%	7.21%	7.72%	7.69%	6.96%	11.01%	2.27%	10.39%	1.63%	6.71%	5.86%	1.92%	4.40%	3.95%	2.94%	5.77%	6.90%	1.13%	1.15%	2.28%	9.26%	1.50%	3.13%									
16	Путин Владимир Владимирович	8271	603	522	743	660	407	160	322	172	283	117	446	136	110	90	207	79	140	80	40	67	161	137	185	43	424	121	116	130	96	377	351	329	37	163	217									
		77.34%	66.34%	66.58%	69.57%	68.75%	78.88%	86.02%	81.73%	80.00%	83.24%	78.00%	79.36%	75.98%	77.46%	81.08%	79.92%	86.81%	88.61%	73.39%	90.91%	87.01%	87.50%	83.54%	83.33%	82.69%	88.89%	79.61%	85.29%	83.33%	82.76%	85.49%	80.50%	83.50%	68.52%	81.50%	84.77%									
17	Собчак Ксения Анатольевна	76	10	3	17	11	4	0	2	3	1	0	1	1	0	0	1	0	0	0	0	0	1	4	1	0	0	0	1	0	0	5	8	2	0	0	0									
		0.71%	1.10%	0.38%	1.59%	1.15%	0.78%	0.00%	0.51%	1.40%	0.29%	0.00%	0.18%	0.56%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	2.44%	0.45%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	1.13%	1.83%	0.51%	0.00%	0.00%	0.00%									
18	Сурайкин Максим Александрович	75	12	6	9	3	2	3	4	1	0	0	11	2	0	4	1	1	0	0	0	0	2	2	1	2	0	0	1	1	0	0	1	2	2	1	1									
		0.70%	1.32%	0.77%	0.84%	0.31%	0.39%	1.61%	1.02%	0.47%	0.00%	0.00%	1.96%	1.12%	0.00%	3.60%	0.39%	1.10%	0.00%	0.00%	0.00%	0.00%	1.09%	1.22%	0.45%	3.85%	0.00%	0.00%	0.74%	0.64%	0.00%	0.00%	0.23%	0.51%	3.70%	0.50%	0.39%									
19	Титов Борис Юрьевич	30	3	5	6	3	1	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	1	0	1	0									
		0.28%	0.33%	0.64%	0.56%	0.31%	0.19%	0.00%	0.25%	0.00%	0.29%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.21%	0.00%	0.00%	0.64%	0.00%	0.23%	0.00%	0.25%	0.00%	0.50%	0.00%									
20	Явлинский Григорий Алексеевич	24	4	3	2	7	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1									
		0.22%	0.44%	0.38%	0.19%	0.73%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.45%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%									
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
