Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Волотовская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117					
1	"Число избирателей, внесенных в список"	4347	1618	344	72	294	175	315	146	230	397	231	330	195					
2	Число полученных избирательных бюллетеней	4315	1644	335	71	278	175	300	146	222	405	226	318	195					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2627	929	218	46	196	121	194	90	127	231	158	193	124					
5	"Число избирательных бюллетеней, выданных вне помещения"	451	37	48	12	41	25	27	23	25	72	38	65	38					
6	Число погашенных избирательных бюллетеней	1237	678	69	13	41	29	79	33	70	102	30	60	33					
7	Число избирательных бюллетеней в переносных ящиках	451	37	48	12	41	25	27	23	25	72	38	65	38					
8	Число бюллетеней в стационарных ящиках для голосования	2627	929	218	46	196	121	194	90	127	231	158	193	124					
9	Число недействительных избирательных бюллетеней	9	4	0	0	0	0	0	1	2	0	0	1	1					
10	Число действительных избирательных бюллетеней	3069	962	266	58	237	146	221	112	150	303	196	257	161					
11	Число полученных открепительных  удостоверений	100	45	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	44	26	3	0	0	0	5	0	1	5	1	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	1	3	1	0	1	1	3	1	3	2	5	0					
14	Число неиспользованных открепительных удостоверений	56	19	2	5	5	5	0	5	4	0	4	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	54	29	1	2	0	6	4	4	4	2	0	1	1					
		1.75%	3.00%	0.38%	3.45%	0.00%	4.11%	1.81%	3.54%	2.63%	0.66%	0.00%	0.39%	0.62%					
19	. Малышкин Олег Александрович	98	28	6	4	9	13	8	3	10	6	2	3	6					
		3.18%	2.90%	2.26%	6.90%	3.80%	8.90%	3.62%	2.65%	6.58%	1.98%	1.02%	1.16%	3.70%					
20	. Миронов Сергей Михайлович	20	8	2	2	1	1	0	0	1	0	2	3	0					
		0.65%	0.83%	0.75%	3.45%	0.42%	0.68%	0.00%	0.00%	0.66%	0.00%	1.02%	1.16%	0.00%					
21	. Путин Владимир Владимирович	2260	728	185	34	173	97	165	91	94	250	153	172	118					
		73.42%	75.36%	69.55%	58.62%	73.00%	66.44%	74.66%	80.53%	61.84%	82.51%	78.06%	66.67%	72.84%					
22	. Хакамада Ирина Муцуовна	73	32	4	1	6	3	6	2	6	5	3	2	3					
		2.37%	3.31%	1.50%	1.72%	2.53%	2.05%	2.71%	1.77%	3.95%	1.65%	1.53%	0.78%	1.85%					
23	. Харитонов Николай Михайлович	496	114	61	11	46	22	35	12	28	33	31	72	31					
		16.11%	11.80%	22.93%	18.97%	19.41%	15.07%	15.84%	10.62%	18.42%	10.89%	15.82%	27.91%	19.14%					
																			
24	Против всех	68	23	7	4	2	4	3	0	7	7	5	4	2					
		2.21%	2.38%	2.63%	6.90%	0.84%	2.74%	1.36%	0.00%	4.61%	2.31%	2.55%	1.55%	1.23%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
