Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Болотнинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119					
1	"Число избирателей, внесенных в список"	24224	418	298	390	685	195	586	277	517	100	493	166	595	123	424	87	99	94	257	378	143	408	90	472	641	198	434	589	115	2043	1969	1200	1917	1436	1712	568	690	369	1297	1751					
2	Число полученных избирательных бюллетеней	24250	420	300	400	700	200	590	280	520	100	500	180	600	130	430	90	100	100	260	390	140	400	100	470	650	200	430	600	120	2050	1980	1190	1900	1400	1700	560	700	370	1300	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13366	291	246	235	446	170	347	149	334	80	336	148	329	93	359	74	63	83	223	263	77	238	70	280	375	125	255	336	104	987	922	533	969	696	782	224	368	196	768	792					
5	"Число избирательных бюллетеней, выданных вне помещения"	1418	0	0	18	71	10	38	31	37	2	30	11	36	8	4	0	11	0	0	32	36	73	0	18	30	15	49	108	0	98	76	107	62	46	79	51	62	55	55	59					
6	Число погашенных избирательных бюллетеней	9466	129	54	147	183	20	205	100	149	18	134	21	235	29	67	16	26	17	37	95	27	89	30	172	245	60	126	156	16	965	982	550	869	658	839	285	270	119	477	849					
7	Число избирательных бюллетеней в переносных ящиках	1418	0	0	18	71	10	38	31	37	2	30	11	36	8	4	0	11	0	0	32	36	73	0	18	30	15	49	108	0	98	76	107	62	46	79	51	62	55	55	59					
8	Число бюллетеней в стационарных ящиках для голосования	13366	291	246	235	446	170	347	149	334	80	336	148	329	93	359	74	63	83	223	263	77	238	70	280	375	125	255	336	104	987	922	533	969	696	782	224	368	196	768	792					
9	Число недействительных избирательных бюллетеней	227	0	4	5	11	3	7	1	4	0	9	2	5	0	4	0	0	1	2	4	4	0	0	2	6	0	1	9	0	14	8	9	12	8	60	0	5	5	13	9					
10	Число действительных избирательных бюллетеней	14557	291	242	248	506	177	378	179	367	82	357	157	360	101	359	74	74	82	221	291	109	311	70	296	399	140	303	435	104	1071	990	631	1019	734	801	275	425	246	810	842					
