Выборы Президента Российской Федерации																																																							
Дата голосования: 18.03.2018																																																							
																																																							
Наименование Избирательной комиссии:    Венгеровская																																																							
																																																							
Сводная таблица итогов голосования																																																							
																																																							
	Число участковых избирательных комиссий	44																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	44																																																					
																																																							
		Сумма	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №1110	УИК №1114	УИК №1129									
1	"Число избирателей, включенных в список избирателей"	14738	1080	1068	1122	492	86	201	399	266	125	149	466	266	115	561	202	223	67	291	450	73	179	408	293	88	526	524	135	233	304	94	57	172	60	71	466	197	91	300	73	1017	1119	105	294	230									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11908	790	771	759	399	86	172	359	207	127	148	386	221	124	412	163	186	67	236	385	75	178	338	247	87	426	438	143	165	250	95	57	158	58	76	436	163	97	250	73	756	805	109	237	193									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8700	580	579	606	275	63	95	248	173	73	102	280	157	66	286	138	123	50	208	310	45	139	294	155	63	307	329	94	136	191	59	32	107	40	50	321	104	65	182	36	529	608	70	174	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1222	56	80	84	44	5	31	26	21	7	14	50	36	18	74	18	20	1	10	30	5	12	20	55	7	81	25	8	26	34	5	8	21	3	1	67	21	5	22	9	43	76	6	25	12									
6	Число погашенных избирательных бюллетеней	1986	154	112	69	80	18	46	85	13	47	32	56	28	40	52	7	43	16	18	45	25	27	24	37	17	38	84	41	3	25	31	17	30	15	25	48	38	27	46	28	184	121	33	38	23									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1222	56	80	84	44	5	31	26	21	7	14	50	36	18	74	18	20	1	10	30	5	12	20	55	7	81	25	8	26	34	5	8	21	3	1	67	21	5	22	9	43	76	6	25	12									
8	Число бюллетеней в стационарных ящиках для голосования	8700	580	579	606	275	63	95	248	173	73	102	280	157	66	286	138	123	50	208	310	45	139	294	155	63	307	329	94	136	191	59	32	107	40	50	321	104	65	182	36	529	608	70	174	158									
9	Число недействительных избирательных бюллетеней	68	9	6	3	1	1	1	1	0	0	0	2	5	0	1	0	0	1	4	2	0	0	2	1	0	1	4	1	0	3	2	0	0	0	1	2	1	0	1	0	4	5	0	1	2									
10	Число действительных избирательных бюллетеней	9854	627	653	687	318	67	125	273	194	80	116	328	188	84	359	156	143	50	214	338	50	151	312	209	70	387	350	101	162	222	62	40	128	43	50	386	124	70	203	45	568	679	76	198	168									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
