Выборы Президента Российской Федерации																																													
Дата голосования: 18.03.2018																																													
																																													
Наименование Избирательной комиссии:    Колыванская																																													
																																													
Сводная таблица итогов голосования																																													
																																													
	Число участковых избирательных комиссий	34																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	34																																											
																																													
		Сумма	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №445	УИК №446	УИК №447	УИК №448									
1	"Число избирателей, включенных в список избирателей"	20284	1454	1379	1318	1427	1512	1435	1059	621	416	811	238	445	1016	439	272	1538	312	105	479	159	119	549	392	103	96	472	137	269	539	598	41	69	305	160									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19510	1300	1300	1250	1400	1450	1400	1000	600	390	800	220	450	1000	430	270	1480	280	90	480	150	110	540	390	100	90	480	130	250	500	600	50	70	290	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11731	857	776	735	772	887	815	609	355	247	437	161	283	577	245	147	1031	190	74	270	86	37	298	221	61	47	277	71	131	332	359	31	46	171	95									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	976	45	33	82	36	52	40	36	19	7	30	10	19	32	20	18	65	13	0	20	4	12	17	11	7	13	58	12	43	38	126	0	1	22	35									
6	Число погашенных избирательных бюллетеней	6803	398	491	433	592	511	545	355	226	136	333	49	148	391	165	105	384	77	16	190	60	61	225	158	32	30	145	47	76	130	115	19	23	97	40									
7	Число избирательных бюллетеней в переносных ящиках для голосования	976	45	33	82	36	52	40	36	19	7	30	10	19	32	20	18	65	13	0	20	4	12	17	11	7	13	58	12	43	38	126	0	1	22	35									
8	Число бюллетеней в стационарных ящиках для голосования	11730	856	776	735	772	887	815	609	355	247	437	161	283	577	245	147	1031	190	74	270	86	37	298	221	61	47	277	71	131	332	359	31	46	171	95									
9	Число недействительных избирательных бюллетеней	151	9	10	6	11	15	13	8	7	2	4	1	4	11	3	2	22	1	0	0	1	2	2	2	0	0	4	0	4	3	3	0	0	1	0									
