Выборы Президента Российской Федерации																																																
Дата голосования: 02.03.2008																																																
																																																
Наименование Избирательной комиссии:    Мошковская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
	Число участковых избирательных комиссий	41																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	41																																														
																																																
		Сумма	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798					
1	"Число избирателей, включенных в списки избирателей"	29075	1084	2483	2413	1736	1331	1862	495	1176	171	258	282	2277	2034	348	566	112	166	265	168	663	230	462	182	139	337	634	174	531	134	134	609	2063	693	108	806	578	150	223	657	229	112					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30093	1147	2507	2548	1668	1402	1898	558	1211	172	268	307	2378	2156	372	599	112	171	295	196	723	259	462	212	137	344	676	175	540	133	131	618	2074	706	102	834	582	151	229	684	242	114					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	17680	648	1369	1473	1083	699	1051	356	722	117	157	197	1505	1191	251	403	76	109	154	118	376	179	271	113	104	242	374	87	279	91	85	354	1110	398	63	526	345	136	159	446	157	106					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1572	91	93	69	26	108	136	13	63	20	25	17	59	67	19	25	13	14	35	22	63	13	52	11	5	20	45	17	68	19	14	25	99	66	24	31	34	0	19	27	5	0					
6	Число погашенных избирательных бюллетеней	10841	408	1045	1006	559	595	711	189	426	35	86	93	814	898	102	171	23	48	106	56	284	67	139	88	28	82	257	71	193	23	32	239	865	242	15	277	203	15	51	211	80	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1572	91	93	69	26	108	136	13	63	20	25	17	59	67	19	25	13	14	35	22	63	13	52	11	5	20	45	17	68	19	14	25	99	66	24	31	34	0	19	27	5	0					
8	Число бюллетеней в стационарных ящиках для голосования	17680	648	1369	1473	1083	699	1051	356	722	117	157	197	1505	1191	251	403	76	109	154	118	376	179	271	113	104	242	374	87	279	91	85	354	1110	398	63	526	345	136	159	446	157	106					
9	Число недействительных избирательных бюллетеней	253	8	32	16	15	20	29	7	9	3	3	0	13	12	0	1	0	3	2	0	9	3	6	1	0	1	4	0	4	1	3	6	19	5	2	3	4	0	0	6	0	3					
10	Число действительных избирательных бюллетеней	18999	731	1430	1526	1094	787	1158	362	776	134	179	214	1551	1246	270	427	89	120	187	140	430	189	317	123	109	261	415	104	343	109	96	373	1190	459	85	554	375	136	178	467	162	103					
11	Число полученных открепительных  удостоверений	516	41	30	42	38	16	55	35	24	2	2	2	28	33	1	7	0	3	7	2	17	10	13	5	2	7	17	1	3	5	0	8	29	5	0	8	2	1	6	6	2	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	493	41	26	42	38	16	55	35	24	2	2	2	22	33	1	7	0	3	7	2	17	10	5	5	1	3	17	1	3	5	0	8	29	5	0	8	2	1	6	6	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	229	9	24	13	10	6	13	11	9	10	1	5	7	14	9	1	1	7	5	0	6	3	4	3	1	1	2	1	4	5	3	1	8	7	6	8	2	3	3	2	1	0					
14	Число неиспользованных открепительных удостоверений	23	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	8	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	111	9	15	16	8	4	1	1	17	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	27	0	0	0	0	1	4	0	0	1	0	0	2	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	Богданов Андрей Владимирович	211	10	24	16	8	9	9	6	40	2	3	6	10	11	2	3	0	2	1	0	2	1	1	0	0	3	2	0	1	0	1	0	8	8	1	8	1	0	1	6	3	2					
