Выборы Президента Российской Федерации																																																																																
Дата голосования: 02.03.2008																																																																																
																																																																																
"Наименование Избирательной комиссии:    Новосибирск, Дзержинская"																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
	Число участковых избирательных комиссий	73																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	73																																																																														
																																																																																
		Сумма	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520					
1	"Число избирателей, включенных в списки избирателей"	121207	1097	2015	1960	1563	1582	1490	1934	1975	2850	1526	1304	1369	1062	1285	2135	1978	1437	2151	1425	1016	1414	1488	1366	955	2369	2276	1359	1166	1209	537	1331	1217	1440	1846	1035	1136	1440	1920	970	535	329	1823	2061	1977	2118	2260	1852	2241	2409	2552	1463	1526	2070	1778	1888	2106	1997	1877	1656	1591	208	1725	1743	1801	1360	2073	1990	1906	1959	2162	2202	2125	2216					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	115392	1000	1800	1800	1400	1300	1400	1800	1900	2850	1400	1200	1200	1000	1100	2000	2000	1300	2000	1300	1000	1300	1300	1200	900	2200	2100	1200	1000	1100	450	1200	1200	1400	1700	1000	1000	1300	1800	900	535	355	1700	2000	2000	2100	2100	1800	2200	2300	2400	1400	1500	2000	1700	1900	2100	2000	1800	1600	1600	202	1700	1700	1800	1300	2000	2000	1900	2000	2200	2200	2100	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	67337	531	997	930	752	779	744	992	934	2840	875	709	835	560	668	1171	1152	740	1207	864	573	867	850	801	508	1424	1386	790	680	649	251	746	668	838	999	416	436	610	1009	571	535	329	1088	1112	1137	1228	1204	1033	1252	1391	1416	698	883	1175	1005	1058	1075	1127	1098	876	748	202	941	895	822	691	1096	1162	1073	940	1074	1235	1176	1210					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4222	87	178	141	77	115	59	70	69	10	120	44	59	34	36	76	32	46	33	51	30	30	54	53	37	48	51	46	61	51	43	42	41	38	59	104	82	82	121	22	0	0	53	62	35	47	54	113	56	55	109	48	52	50	45	58	88	34	30	47	89	0	57	51	89	54	31	47	50	71	58	49	67	41					
6	Число погашенных избирательных бюллетеней	43833	382	625	729	571	406	597	738	897	0	405	447	306	406	396	753	816	514	760	385	397	403	396	346	355	728	663	364	259	400	156	412	491	524	642	480	482	608	670	307	0	26	559	826	828	825	842	654	892	854	875	654	565	775	650	784	937	839	672	677	763	0	702	754	889	555	873	791	777	989	1068	916	857	949					
