Выборы Президента Российской Федерации																																																																									
																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Заельцовская"																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587					
1	"Число избирателей, внесенных в список"	110961	2018	2372	1493	1880	1219	1875	1884	1824	2507	2199	2172	1557	2428	1977	2702	2211	2307	1342	2386	1738	2129	2084	446	1659	1776	1342	2229	2612	2228	1645	1503	1944	1939	1854	1793	1466	1533	1148	1596	2082	95	1503	1569	1319	1445	1355	1543	1591	87	2662	1420	1603	1659	1343	441	1558	1271	2233	1075	2072	1268	1499	1604	2528	687	432					
2	Число полученных избирательных бюллетеней	107345	2000	2300	1450	1850	1150	1850	1850	1750	2500	2150	2100	1500	2400	1900	2600	2200	2300	1300	2350	1750	2050	2000	400	1600	1750	1300	2200	2600	2200	1600	1450	1900	1900	1800	1750	1400	1450	1100	1305	1900	300	1450	1500	1250	1400	1300	1500	1550	100	2550	1150	1500	1600	1300	440	1500	1200	2200	1000	2000	1200	1450	1550	2500	600	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	60683	1182	1309	847	1115	718	1141	1149	1097	1577	1348	1217	959	1374	1035	1433	1174	1396	800	1380	959	1270	978	161	965	1154	720	1191	1428	1240	815	815	1158	1105	1009	1020	902	914	659	823	1271	39	681	513	542	577	497	860	891	37	1362	902	951	912	739	228	863	744	1232	575	1189	563	548	663	1339	289	139					
5	"Число избирательных бюллетеней, выданных вне помещения"	2519	23	37	12	18	37	24	21	46	17	32	50	21	57	45	24	26	27	14	40	24	23	65	13	13	18	12	110	68	39	15	44	42	45	43	27	25	17	52	3	32	56	18	31	60	75	79	28	42	50	27	11	35	23	34	132	38	19	39	54	13	48	81	97	37	29	62					
6	Число погашенных избирательных бюллетеней	44143	795	954	591	717	395	685	680	607	906	770	833	520	969	820	1143	1000	877	486	930	767	757	957	226	622	578	568	899	1104	921	770	591	700	750	748	703	473	519	389	479	597	205	751	956	648	748	724	612	617	13	1161	237	514	665	527	80	599	437	929	371	798	589	821	790	1124	282	149					
7	Число избирательных бюллетеней в переносных ящиках	2519	23	37	12	18	37	24	21	46	17	32	50	21	57	45	24	26	27	14	40	24	23	65	13	13	18	12	110	68	39	15	44	42	45	43	27	25	17	52	3	32	56	18	31	60	75	79	28	42	50	27	11	35	23	34	132	38	19	39	54	13	48	81	97	37	29	62					
8	Число бюллетеней в стационарных ящиках для голосования	60641	1181	1308	847	1115	718	1141	1147	1090	1575	1342	1212	959	1374	1035	1432	1174	1393	800	1380	958	1269	978	161	965	1154	720	1191	1427	1239	815	815	1154	1105	1008	1020	902	914	659	823	1271	39	679	513	542	577	497	860	891	37	1362	902	951	909	739	228	863	744	1232	575	1189	563	548	663	1339	289	139					
9	Число недействительных избирательных бюллетеней	586	10	18	4	4	10	10	8	5	11	8	5	10	10	7	13	12	10	4	12	13	8	13	8	15	15	4	4	10	9	12	2	12	8	15	9	7	8	6	6	10	0	10	8	2	4	7	14	10	0	12	11	10	12	8	22	7	13	8	7	13	4	6	9	19	3	2					
10	Число действительных избирательных бюллетеней	62574	1194	1327	855	1129	745	1155	1160	1131	1581	1366	1257	970	1421	1073	1443	1188	1410	810	1408	969	1284	1030	166	963	1157	728	1297	1485	1269	818	857	1184	1142	1036	1038	920	923	705	820	1293	95	687	536	600	648	569	874	923	87	1377	902	976	920	765	338	894	750	1263	622	1189	607	623	751	1357	315	199					
11	Число полученных открепительных  удостоверений	1225	25	25	20	20	20	20	20	20	25	25	25	20	25	20	25	25	25	20	25	15	25	25	10	25	15	15	25	25	25	15	15	25	15	15	15	15	15	15	15	25	0	15	15	15	15	15	15	25	0	25	15	15	25	15	10	15	15	25	15	25	15	15	15	25	10	10					
12	Число выданных открепительных удостоверений	710	12	17	15	20	12	10	11	11	23	11	18	11	12	19	6	8	9	5	18	13	25	20	0	16	8	5	17	20	17	13	8	15	12	12	8	12	6	6	11	21	0	7	5	6	12	2	4	17	0	21	7	12	13	6	0	15	7	9	1	11	6	5	12	17	2	0					
