Выборы Президента Российской Федерации																																												
Дата голосования: 18.03.2018																																												
																																												
"Наименование Избирательной комиссии:    Новосибирск, Центральная"																																												
																																												
Сводная таблица итогов голосования																																												
																																												
	Число участковых избирательных комиссий	33																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	33																																										
																																												
		Сумма	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013									
1	"Число избирателей, включенных в список избирателей"	57382	1835	1827	2188	1700	1666	2209	1113	1700	1290	1508	1508	1468	2264	2326	2816	1752	2222	1902	2316	1437	1830	1223	1012	2250	1140	1046	2137	2217	2229	1507	1540	1130	1074									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49750	1500	1500	2000	1500	1500	2000	1000	1500	1200	1300	1250	1200	2000	2100	2600	1500	1900	1700	2000	1300	1600	1000	800	2000	1000	900	1900	1600	1900	1300	1400	900	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34616	1190	1090	1310	1003	1038	1402	672	1065	740	935	1050	910	1391	1286	1545	1095	1280	1205	1380	908	1149	681	634	1390	627	630	1216	1247	1405	938	900	681	623									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1063	18	127	26	29	13	42	6	25	29	20	35	6	35	16	37	31	137	16	30	27	24	67	7	26	7	4	51	85	17	22	24	16	8									
6	Число погашенных избирательных бюллетеней	14071	292	283	664	468	449	556	322	410	431	345	165	284	574	798	1018	374	483	479	590	365	427	252	159	584	366	266	633	268	478	340	476	203	269									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1063	18	127	26	29	13	42	6	25	29	20	35	6	35	16	37	31	137	16	30	27	24	67	7	26	7	4	51	85	17	22	24	16	8									
8	Число бюллетеней в стационарных ящиках для голосования	34614	1190	1090	1310	1003	1038	1402	672	1065	740	935	1050	910	1391	1286	1545	1094	1280	1205	1380	908	1148	681	634	1390	627	630	1216	1247	1405	938	900	681	623									
9	Число недействительных избирательных бюллетеней	333	13	10	7	12	11	4	2	9	7	11	11	6	16	14	16	15	22	6	13	9	11	7	8	7	5	6	13	13	16	11	7	6	9									
10	Число действительных избирательных бюллетеней	35344	1195	1207	1329	1020	1040	1440	676	1081	762	944	1074	910	1410	1288	1566	1110	1395	1215	1397	926	1161	741	633	1409	629	628	1254	1319	1406	949	917	691	622									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
13	Бабурин Сергей Николаевич	288	16	8	6	15	11	14	7	5	10	9	2	6	15	8	7	11	12	8	21	8	11	5	2	10	0	6	7	14	7	11	8	4	4									
		0.81%	1.32%	0.66%	0.45%	1.45%	1.05%	0.97%	1.03%	0.46%	1.30%	0.94%	0.18%	0.66%	1.05%	0.61%	0.44%	0.98%	0.85%	0.66%	1.49%	0.86%	0.94%	0.67%	0.31%	0.71%	0.00%	0.95%	0.55%	1.05%	0.49%	1.15%	0.87%	0.57%	0.63%									
14	Грудинин Павел Николаевич	6076	241	193	232	171	166	216	101	193	131	163	148	174	215	230	258	195	233	217	264	153	260	120	123	254	109	99	176	247	216	178	169	129	102									
