Выборы Президента Российской Федерации																																																											
Дата голосования: 02.03.2008																																																											
																																																											
Наименование Избирательной комиссии:    Татарская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
	Число участковых избирательных комиссий	52																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	52																																																									
																																																											
		Сумма	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008					
1	"Число избирателей, включенных в списки избирателей"	12806	543	87	237	52	89	496	54	94	132	553	416	236	316	366	151	249	68	425	135	412	383	73	54	122	639	198	197	71	47	633	113	118	44	891	171	142	352	285	98	102	318	51	598	58	83	581	351	119	362	83	241	117					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13330	565	95	250	55	95	515	63	95	137	570	435	245	335	380	160	260	72	440	140	430	402	76	66	124	665	207	204	80	50	650	115	120	46	925	180	150	365	300	100	107	335	53	620	65	86	590	365	125	368	88	250	116					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	9759	393	72	173	46	75	350	53	87	112	404	277	161	262	250	104	238	58	353	111	289	266	68	54	91	417	157	145	62	41	450	79	110	44	562	107	96	316	248	86	97	242	43	472	54	71	441	345	116	251	72	192	96					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	876	71	6	20	0	7	57	0	0	0	60	40	20	10	57	27	0	0	20	0	35	46	2	0	0	48	14	6	5	4	81	14	4	0	58	18	18	8	6	0	0	0	0	21	0	6	33	0	0	28	6	14	6					
6	Число погашенных избирательных бюллетеней	2695	101	17	57	9	13	108	10	8	25	106	118	64	63	73	29	22	14	67	29	106	90	6	12	33	200	36	53	13	5	119	22	6	2	305	55	36	41	46	14	10	93	10	127	11	9	116	20	9	89	10	44	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	876	71	6	20	0	7	57	0	0	0	60	40	20	10	57	27	0	0	20	0	35	46	2	0	0	48	14	6	5	4	81	14	4	0	58	18	18	8	6	0	0	0	0	21	0	6	33	0	0	28	6	14	6					
8	Число бюллетеней в стационарных ящиках для голосования	9759	393	72	173	46	75	350	53	87	112	404	277	161	262	250	104	238	58	353	111	289	266	68	54	91	417	157	145	62	41	450	79	110	44	562	107	96	316	248	86	97	242	43	472	54	71	441	345	116	251	72	192	96					
9	Число недействительных избирательных бюллетеней	82	2	0	1	1	0	2	2	0	0	2	2	3	0	4	1	2	0	4	0	2	4	0	1	0	8	0	3	0	0	4	0	0	0	9	1	3	2	3	0	0	2	0	4	0	0	5	0	0	3	0	2	0					
10	Число действительных избирательных бюллетеней	10553	462	78	192	45	82	405	51	87	112	462	315	178	272	303	130	236	58	369	111	322	308	70	53	91	457	171	148	67	45	527	93	114	44	611	124	111	322	251	86	97	240	43	489	54	77	469	345	116	276	78	204	102					
11	Число полученных открепительных  удостоверений	383	15	6	10	0	5	10	7	5	5	10	12	10	15	10	5	10	0	10	5	13	11	5	5	4	15	5	5	5	2	20	5	0	0	20	5	3	8	10	5	5	10	0	10	5	5	10	10	5	10	5	12	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	316	15	6	9	0	4	10	7	0	3	10	12	5	15	7	5	7	0	7	2	10	11	1	4	0	13	5	5	4	2	20	0	0	0	20	5	3	8	10	0	3	9	0	10	5	1	10	10	2	4	5	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	8	0	4	0	1	5	0	1	1	3	2	3	1	1	0	1	0	1	0	1	2	0	0	1	5	4	2	0	1	9	0	0	0	1	2	0	1	2	0	0	2	0	1	0	0	9	3	0	4	1	1	1					
14	Число неиспользованных открепительных удостоверений	67	0	0	1	0	1	0	0	5	2	0	0	5	0	3	0	3	0	3	3	3	0	4	1	4	2	0	0	1	0	0	5	0	0	0	0	0	0	0	5	2	1	0	0	0	4	0	0	3	6	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	17	1	3	0	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	Богданов Андрей Владимирович	92	3	1	2	1	0	5	0	0	1	4	3	0	2	2	1	4	0	1	1	3	1	0	0	2	4	4	1	2	0	3	1	3	0	4	2	0	2	2	0	2	5	0	5	0	0	6	1	0	5	1	2	0					
		0.87%	0.65%	1.28%	1.04%	2.17%	0.00%	1.23%	0.00%	0.00%	0.89%	0.86%	0.95%	0.00%	0.74%	0.65%	0.76%	1.68%	0.00%	0.27%	0.90%	0.93%	0.32%	0.00%	0.00%	2.20%	0.86%	2.34%	0.66%	2.99%	0.00%	0.56%	1.08%	2.63%	0.00%	0.65%	1.60%	0.00%	0.62%	0.79%	0.00%	2.06%	2.07%	0.00%	1.01%	0.00%	0.00%	1.27%	0.29%	0.00%	1.79%	1.28%	0.97%	0.00%					
19	Жириновский Владимир Вольфович	1446	49	21	16	2	13	48	21	20	11	72	45	25	51	28	19	39	7	32	17	27	41	7	9	14	66	16	10	16	9	109	22	28	12	113	38	18	32	26	8	20	20	3	34	12	9	61	25	20	35	8	31	11					
		13.60%	10.56%	26.92%	8.29%	4.35%	15.85%	11.79%	39.62%	22.99%	9.82%	15.52%	14.20%	13.81%	18.75%	9.12%	14.50%	16.39%	12.07%	8.58%	15.32%	8.33%	13.14%	10.00%	16.67%	15.38%	14.19%	9.36%	6.62%	23.88%	20.00%	20.53%	23.66%	24.56%	27.27%	18.23%	30.40%	15.79%	9.88%	10.24%	9.30%	20.62%	8.26%	6.98%	6.90%	22.22%	11.69%	12.87%	7.25%	17.24%	12.54%	10.26%	15.05%	10.78%					
20	Зюганов Геннадий Андреевич	2392	116	25	54	12	39	68	11	36	8	51	102	53	92	51	41	61	8	93	49	105	105	15	3	29	117	23	15	26	16	162	39	6	1	123	17	39	23	19	17	2	57	27	99	17	11	63	74	37	45	17	46	27					
		22.49%	25.00%	32.05%	27.98%	26.09%	47.56%	16.71%	20.75%	41.38%	7.14%	10.99%	32.18%	29.28%	33.82%	16.61%	31.30%	25.63%	13.79%	24.93%	44.14%	32.41%	33.65%	21.43%	5.56%	31.87%	25.16%	13.45%	9.93%	38.81%	35.56%	30.51%	41.94%	5.26%	2.27%	19.84%	13.60%	34.21%	7.10%	7.48%	19.77%	2.06%	23.55%	62.79%	20.08%	31.48%	14.29%	13.29%	21.45%	31.90%	16.13%	21.79%	22.33%	26.47%					
21	Медведев Дмитрий Анатольевич	6623	294	31	120	30	30	284	19	31	92	335	165	100	127	222	69	132	43	243	44	187	161	48	41	46	270	128	122	23	20	253	31	77	31	371	67	54	265	204	61	73	158	13	351	25	57	339	245	59	191	52	125	64					
		62.28%	63.36%	39.74%	62.18%	65.22%	36.59%	69.78%	35.85%	35.63%	82.14%	72.20%	52.05%	55.25%	46.69%	72.31%	52.67%	55.46%	74.14%	65.15%	39.64%	57.72%	51.60%	68.57%	75.93%	50.55%	58.06%	74.85%	80.79%	34.33%	44.44%	47.65%	33.33%	67.54%	70.45%	59.84%	53.60%	47.37%	81.79%	80.31%	70.93%	75.26%	65.29%	30.23%	71.20%	46.30%	74.03%	71.52%	71.01%	50.86%	68.46%	66.67%	60.68%	62.75%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
